Genes	Fold Change	P	Description	Expression
SPP1	9.73	< .001	Secreted phosphoprotein 1 (osteopontin)	CNS versus non-CNS up-regulated
TF	8.33	< .001	Transferrin	CNS versus non-CNS up-regulated
DDR1	6.08	< .001	Discoidin domain receptor family, member 1	CNS versus non-CNS up-regulated
NM_178012	5.13	< .001	Tubulin, beta polypeptide paralog	CNS versus non-CNS up-regulated
SERPINA3	4.67	< .001	Serine (or cysteine) proteinase inhibitor, clade A, member 3	CNS versus non-CNS up-regulated
S-100B	4.07	< .001	S-100 calcium binding protein, beta (neural)	CNS versus non-CNS up-regulated
C9orf58	4.03	< .001	Chromosome 9 open reading frame 58	CNS versus non-CNS up-regulated
BC020630	3.61	< .001	Calcium/calmodulin-dependent protein kinase II	CNS versus non-CNS up-regulated
CRYAB	3.36	< .001	Crystallin, alpha B (CRYAB)	CNS versus non-CNS up-regulated
NM_018584	3.26	< .001	Calcium/calmodulin-dependent protein kinase II	CNS versus non-CNS up-regulated
AF034208	3.24	0.015	RIG-like 7–1 mRNA, complete cds	CNS versus non-CNS up-regulated
CXCL13	3.22	0.009	Chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	CNS versus non-CNS up-regulated
NM_152680	3.01	0.032	Hypothetical protein FLJ32028 (FLJ32028)	CNS versus non-CNS up-regulated
TCL1A	2.96	< .001	T-cell leukemia/lymphoma 1A	CNS versus non-CNS up-regulated
DKK3	2.91	< .001	Dickkopf homolog 3	CNS versus non-CNS up-regulated
FOXG1B	2.85	0.003	Forkhead box G1B	CNS versus non-CNS up-regulated
UGT2B17	2.81	0.041	UDP glycosyltransferase 2 family, polypeptide B17	CNS versus non-CNS up-regulated
TACSTD1	2.79	0.006	Tumor-associated calcium signal transducer 1	CNS versus non-CNS up-regulated
FEZ1	2.78	0.004	Fasciculation and elongation protein zeta 1 (zygin I)	CNS versus non-CNS up-regulated
CHI3L1	2.72	< .001	Chitinase 3-like 1 (cartilage glycoprotein-39)	CNS versus non-CNS up-regulated
CA2	2.7	< .001	Carbonic anhydrase II	CNS versus non-CNS up-regulated
MGST1	2.64	0.037	Microsomal glutathione S-transferase, transcript variant 1c	CNS versus non-CNS up-regulated
DNAJC12	2.63	< .001	DnaJ (Hsp40) homolog, subfamily C, member 12	CNS versus non-CNS up-regulated
AK097976	2.6	0.026	cDNA FLJ40657 fis, clone THYMU2019436	CNS versus non-CNS up-regulated
NM_018357	2.57	0.042	Acheron (FLJ11196)	CNS versus non-CNS up-regulated
HBA2	2.5	0.019	Hemoglobin, alpha 2 (HBA2)	CNS versus non-CNS up-regulated
NM_024897	2.44	0.01	Progestin and adipoQ receptor family member VI (PAQR6)	CNS versus non-CNS up-regulated
RGS13	2.4	0.027	Regulator of G-protein signalling 13	CNS versus non-CNS up-regulated
FCGR3A	2.37	0.004	Fc fragment of IgG, low affinity IIIa, receptor for (CD16)	CNS versus non-CNS up-regulated
CNP	2.25	< .001	2?,3?-cyclic nucleotide 3? phosphodiesterase	CNS versus non-CNS up-regulated
FBP1	2.24	0.04	Fructose-1,6-bisphosphatase 1	CNS versus non-CNS up-regulated
BC000525	2.21	0.001	Glutamic-oxaloacetic transaminase 2	CNS versus non-CNS up-regulated
BMP7	2.11	0.017	Bone morphogenetic protein 7	CNS versus non-CNS up-regulated
NM_013332	2.08	0.021	Hypoxia-inducible protein 2 (HIG2)	CNS versus non-CNS up-regulated
C1QB	2.03	0.023	Complement component 1, q subcomponent, beta polypeptide	CNS versus non-CNS up-regulated
IRF4	2.02	0.004	Interferon regulatory factor 4	CNS versus non-CNS up-regulated
DECR2	2.01	0.006	2,4-dienoyl CoA reductase 2	CNS versus non-CNS up-regulated
CX3CR1	0.5	0.003	Chemokine (C-X3-C motif) receptor 1	CNS versus non-CNS down-regulated
AK091178	0.49	0.042	cDNA FLJ33859 fis, clone CTONG2006223	CNS versus non-CNS down-regulated
D42043	0.49	0.002	KIAA0084 mRNA, partial cds	CNS versus non-CNS down-regulated
SQLE	0.49	0.004	Squalene epoxidase (SQLE)	CNS versus non-CNS down-regulated
P2RY8	0.49	0.006	Purinergic receptor P2Y, G-protein coupled, 8	CNS versus non-CNS down-regulated
LXN	0.48	0.026	Latexin	CNS versus non-CNS down-regulated
LPP	0.47	0.002	LIM domain containing preferred translocation partner in lipoma	CNS versus non-CNS down-regulated
S56205	0.47	0.005	Insulin-like growth factor binding protein 3 {3? region}	CNS versus non-CNS down-regulated
Z24727	0.47	0.008	Tropomyosin isoform mRNA, complete CDS	CNS versus non-CNS down-regulated
STEAP	0.46	0.015	Six transmembrane epithelial antigen of the prostate	CNS versus non-CNS down-regulated
COL6A1	0.45	< .001	Collagen, type VI, alpha 1	CNS versus non-CNS down-regulated
COL12A1	0.45	0.002	Collagen, type XII, alpha 1	CNS versus non-CNS down-regulated
AK022110	0.44	0.023	cDNA FLJ12048 fis, clone HEMBB1001990	CNS versus non-CNS down-regulated
NR2F2	0.43	0.006	Nuclear receptor subfamily 2, group F, member 2	CNS versus non-CNS down-regulated
NNMT	0.43	< .001	Nicotinamide N-methyltransferase	CNS versus non-CNS down-regulated
