Rank	Clone ID	Accession	Unigene ID (Build 188)	Gene name	Symbol	Sign	Average P-value
1	366966	AA026562	Hs.500466	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	PTEN	-30	0.000056
2	340722	W56360	Hs.85195	Myeloid leukemia factor 1	MLF1	30	0.000315
3	138168	N/A	N/A	N/A	N/A	-30	0.000551
4	2366057	AI740827	Hs.113684	Cadherin 12, type 2 (N-cadherin 2)	CDH12	30	0.000599
5	325600	W51744	Hs.437256	Glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A	GRINL1A	-30	0.000715
6	462926	AA682321	Hs.153704	NIMA (never in mitosis gene a)-related kinase 2	NEK2	30	0.000753
7	415089	W93379	Hs.153704	NIMA (never in mitosis gene a)-related kinase 2	NEK2	30	0.000941
8	1472719	AA872379	Hs.474005	SMT3 suppressor of mif two 3 homolog 3 (yeast)	SUMO3	30	0.001363
9	811162	AA485748	Hs.519168	Fibromodulin	FMOD	-30	0.001646
10	510396	AA053694	MULTIPLE: Hs.211601|Hs.546271	Mitogen-activated protein kinase kinase kinase 12|Poly(rC) binding protein 2	MAP3K12|PCBP2	-30	0.001671
11	884653	AA629908	Hs.571666	Full-length cDNA clone CS0DN002YM12 of Adult brain of Homo sapiens (hum	N/A	30	0.001762
12	197888	R96220	Hs.5662	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	GNB2L1	-30	0.001835
13	270134	N27933	Hs.432548	Chromosome 10 open reading frame 18	C10orf18	30	0.001904
14	760344	AA426227	Hs.2057	Uridine monophosphate synthetase (orotate phosphoribosyl transferase and	UMPS	30	0.001995
15	200136	R97785	Hs.53454	Topoisomerase (DNA) II binding protein 1	TOPBP1	30	0.002022
16	52031	H22936	Hs.556016	Chromosome 1 open reading frame 96	LOC126731	30	0.002073
17	1472719	AA872379	Hs.474005	SMT3 suppressor of mif two 3 homolog 3 (yeast)	SUMO3	30	0.00208
18	878259	AA775803	Hs.180909	Peroxiredoxin 1	PRDX1	30	0.002265
19	2566105	AW005923	Hs.211601	Mitogen-activated protein kinase kinase kinase 12	MAP3K12	-30	0.002296
20	428231	AA002125	Hs.127799	Baculoviral IAP repeat-containing 3	BIRC3	30	0.0023
21	345430	W76227	Hs.553498	Phosphoinositide-3-kinase, catalytic, alpha polypeptide	PIK3CA	30	0.002302
22	713886	AA284856	Hs.169718	Calponin 2	CNN2	-30	0.002493
23	823855	AA490464	Hs.438991	Chromosome 10 open reading frame 61	C10orf61	-30	0.002531
24	810035	AA455279	Hs.55918	Likely ortholog of mouse D11lgp2	LGP2	30	0.002701
25	824962	AA489087	Hs.159557	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	KPNA2	30	0.002839
26	BC DOX 5 A05	N/A	N/A	N/A	N/A	-30	0.003171
27	358083	W94774	Hs.478868	KIAA0226	KIAA0226	30	0.003206
28	2566903	AW072298	Hs.559132	Full-length cDNA clone CS0DE002YE21 of Placenta of Homo sapiens (human	N/A	-30	0.003392
29	35105	R45413	MULTIPLE: Hs.18861|Hs.50984	KIAA1276 protein|Tetraspanin 31	KIAA1276|SAS	-30	0.003481
30	2496749	N/A	N/A	N/A	N/A	-30	0.003524
31	2220229	AI798411	Hs.371218	EPH receptor A4	EPHA4	-30	0.003593
32	284042	N53394	Hs.343664	ACA7 small nucleolar RNA	TIP120B	-30	0.003675
33	845321	AA773461	Hs.22857	Cysteine and histidine-rich domain (CHORD)-containing 1	CHORDC1	30	0.003874
