Gene	Fold change	Gene symbol	Gen Bank no.	Chromosomal location	Description
211796_s_at	28.12	TCRBV13S1-TCRBJ2S1	AF043179	—	HomosapiensT-cell receptor   chain (TCRBV13S1-TCRBJ2S1) mRNA, complete cds
217022_s_at	27.97	MGC27165	S55735	14q32.33	Hypothetical protein MGC27165
204959_at	19.34	MNDA	NM_002432	1q22	Myeloid cell nuclear differentiation antigen
1405_i_at	17.93	CCL5	M21121	17q11.2–q12	Chemokine (C-C motif) ligand 5
218847_at	12.72	IMP-2	NM_006548	3q28	IGF-II mRNA-binding protein 2
219279_at	12.58	—	NM_017718	2q36.3	—
201743_at	12.53	CD14	NM_000591	5q22-q32	CD14 antigen
34210_at	12.48	CDW52	N90866	1p36	CDW52 antigen (CAMPATH-1 antigen)
216035_x_at	12.48	TCF7L2	AV721430	10q25.3	Transcription factor 7-like 2 (T-cell specific, HMG-box)
211991_s_at	12.38	HLA-DPA1	M27487	6p21.3	Major histocompatibility complex, class II, DP 1
213539_at	12.18	CD3D	NM_000732	11q23	CD3D antigen, sigma polypeptide (TiT3 complex)
212651_at	11.96	RHOBTB1	AB018283	10q21.3	Rho-related BTB domain containing 1
218223_s_at	11.36	CKIP-1	NM_016274	1q21.3	CK2 interacting protein 1; HQ0024c protein
200800_s_at	10.97	HSPA1A	NM_005345	6p21.3	Heat shock 70-kDa protein 1A
214677_x_at	10.96	IGLJ3	X57812	22q11.1–q11.2	Immunoglobulin  gamma joining 3
211675_s_at	10.62	—	AF054589	7q31.2 /// 7q31.2	—
210982_s_at	10.19	HLA-DRA	M60333	6p21.3	Major histocompatibility complex, class II, DR a
209138_x_at	10.17	—	M87790	22q11.1–q11.2	—
215379_x_at	9.819	IGLJ3	AV698647	22q11.1–q11.2	Immunoglobulin  joining 3
211368_s_at	9.609	CASP1	U13700	11q23	Caspase-1, apoptosis-related cysteine protease (interleukin 1, B  , convertase)
205081_at	9.594	CRIP2	NM_001311	7q11.23	Cysteine-rich protein 2
218559_s_at	9.557	MAFB	NM_005461	20q11.2–q13.1	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
