Accession no.	Gene title	Biochemical category	Ek d1	Ek d3	Ek d7	Ek d14	wt d1	wt d3	wt d7	wt d14	Factor	Toxicological category
AI233740	AKR1B8 (aldo-keto reductase 1B8)	Biotransformation, phase I	2.2	3.4	2.5	23.3	1.8	2	2.7	2.7	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_012844	EPHX1 (epoxide hydrolase 1; microsomal)	Biotransformation, phase I	1.7	1.7	1.5	1.9	1.2	1.3	1.4	1.8	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
AW142784	CYP4A10 (cytochrome P450 4a10)	Biotransformation, phase I	2	1.6	1.6	2.1	1.6	1.8	1.9	1.8	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
J02679	NQO1 (NADPH-quinone oxidoreductase)	Biotransformation, phase I	2.4	1.9	1.6	3.1	2	2.1	1.5	2	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
U27518	UGT2B8 (UDP-glucuronosyltransferase 2B8, microsomal)	Biotransformation, phase II	6.1	4.5	3.3	4.7	3.1	2.5	1.7	1.7	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_031980	UGT2B12 (UDP-glucuronosyltransferase 2B12, microsomal)	Biotransformation, phase II	2	2.1	1.9	2.2	2.2	2	2	1.9	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
M31109	UGT2B3 (UDP-glucuronosyltransferase 2B3, microsomal)	Biotransformation, phase II	4.1	4.6	4.5	6.7	2.7	2	4.7	3.6	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
M28241	GSTM1 (glutathione S-transferase M1)	Biotransformation, phase II	4.2	5.5	5.4	15.8	3.9	3.1	3.6	7.1	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_031154	GSTM3 (glutathione S-transferase M3)	Biotransformation, phase II	1.1	2	1.6	2	1.3	1.3	1.4	2.1	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_053293	GSTT1 (glutathione S-transferase T1)	Biotransformation, phase II	1.3	1.6	2	2	1.3	1.3	1.6	1.8	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
AA945082	GSTA2 (glutathione S-transferase A2)	Biotransformation, phase II	4.1	4.5	2.9	3.8	3.9	4.3	4.2	5	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
X02904	GSTP1 (glutathione S-transferase P1)	Biotransformation, phase II	4.8	5.7	3.9	4.8	4.9	4.9	5.3	6	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_013215	AKR7A3 (aldo-keto reductase family 7, member A3)	Biotransformation, phase I	1.8	1.7	1.5	2	1.5	1.4	1.5	1.7	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_017084	GNMT (glycine-N-methyltransferase)	Biotransformation, phase I	1.4	1.6	1.8	1.6	1.2	1.2	1	1.9	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_133586	CES2 (carboxylesterase 2; intestine, liver)	Biotransformation, phase I	-1.1	1.1	1.1	2.1	-1.4	1.1	1.5	2.9	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
AW142784	CYP51 (cytochrome P450 51)	Biotransformation, phase I	1.1	-1.4	-1.7	-1.1	1	1	-1.6	-1.1	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
BI285792	GSTM7-7 (similar to glutathione transferase GSTM7-7)	Biotransformation, phase II	1.5	1.7	1.5	2.1	1.3	1.5	1.3	1.5	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
AI169331	GSTM2 (glutathione S-transferase M2)	Biotransformation, phase II	1.1	1.2	1.7	2.1	1	1.2	1.3	1.9	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
AF461738	UGT1A (UDP-glucuronosyltransferase 1A, microsomal)	Biotransformation, phase II	1.9	1.7	1.5	1.8	1.5	1.6	1.6	1.5	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_133547	SULT1C2 (sulfotransferase K1; SULTK1)	Biotransformation, phase II	-1.3	-1.2	-1.3	-2	1	-1.3	-1.1	-1.3	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
AY082609	MDR1B (Multidrug resistance 1B; ABCB1b)	Drug transport	1.1	1.2	1.2	5.5	-1.1	1.1	1.6	2.5	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_012833	MRP2 (Multidrug resistance-associated protein 2)	Drug transport	1.5	1.5	1.2	4.6	1.1	1.3	1.1	1.6	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
L46791	CES3 (Carboxylesterase 3)	Biotransformation, phase I	1.1	1.5	1.5	1.7	1.4	1.6	1.6	2.3	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_134349	MGST1 (microsomal glutathione S-transferase 1)	Biotransformation, phase II	1.5	1.4	1.3	1.5	1.6	1.4	1.5	1.8	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
AF072816	MRP3 (multidrug resistance-associated protein 3)	Drug transport	4.1	-1.7	1.3	2.2	2.3	1.3	1.9	7.8	Fold deregulation (mean of three replicate animals per time point)	Metabolism and Biotransformation
NM_012861	MGMT (O6-methylguanine-DNA methyltranferase)	DNA repair	-1.1	1.2	1.7	3.1	1.1	1.2	1.9	2.7	Fold deregulation (mean of three replicate animals per time point)	DNA damage response (incl. Oxidative stress response)
AW520812	PHLDA3 (Pleckstrin homology-like domain family A3)	DNA damage response	1.1	1.1	1.3	3.2	1.4	1.4	2.4	3.2	Fold deregulation (mean of three replicate animals per time point)	DNA damage response (incl. Oxidative stress response)
Q64315	CDKN1A (cyclin-dependent kinase inhibitor 1A; p21)	Cell cycle checkpoint	1.5	1.1	6.9	14.2	1.1	2.7	2.8	9.8	Fold deregulation (mean of three replicate animals per time point)	DNA damage response (incl. Oxidative stress response)
NM_031821	SNK (serum-inducible kinase; PLK2)	Cell cycle checkpoint	1.2	1.3	2.2	6.6	1.4	1.2	2	4.3	Fold deregulation (mean of three replicate animals per time point)	DNA damage response (incl. Oxidative stress response)
NM_012923	CCNG1 (cyclin G1)	Cell cycle checkpoint	1.1	1.5	2.3	3.8	1.1	1.6	2.1	4.1	Fold deregulation (mean of three replicate animals per time point)	DNA damage response (incl. Oxidative stress response)
BI296301	MDM2 (ubiquitin E3 ligase Mdm2; predicted)	Cell cycle checkpoint	1	1.7	1.4	4.9	-1.2	1	1.9	2.4	Fold deregulation (mean of three replicate animals per time point)	DNA damage response (incl. Oxidative stress response)
NM_022547	FTHFD (10-formyltetrahydrofolate dehydrogenase)	Cell cycle	2	1.9	1.5	1.8	1.7	1.7	1.6	1.8	Fold deregulation (mean of three replicate animals per time point)	DNA damage response (incl. Oxidative stress response)
AI411345	PRODH EST [similar to Proline dehydrogenase (oxidase) 1]	Proapoptotic	1.4	2.5	1.7	2	1.2	1.7	1.8	1.9	Fold deregulation (mean of three replicate animals per time point)	DNA damage response (incl. Oxidative stress response)
NM_057153	OXR1 (oxidation resistance 1)	DNA damage response	-1.1	1.2	1.6	1.5	1.2	-1.1	1.2	1.7	Fold deregulation (mean of three replicate animals per time point)	DNA damage response (incl. Oxidative stress response)
AA801395	TNFAIP8 (tumor necrosis factor ?–induced protein 8)	Antiapoptotic	1.1	-1.3	-1.4	-2.5	1	1.1	1.2	-1.4	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
M14050	HSPA5 (heat shock 70 kDa protein 5; GRP78)	Antiapoptotic	1.5	-1.7	-1.6	-1.4	1	1.2	1.1	-1.3	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
AF106659	USP2 (ubiquitin-specific protease 2)	Proapoptotic	-1.1	1.9	1.6	3.5	1	2	1.5	1.4	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
BF288101	SNN (stannin)	Proapoptotic	-1.2	1.1	1.1	1.9	-1.1	1.1	1	1.8	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
AI714002	Ki-67 (predicted)	DNA replication	-2.4	-2.2	-1.9	-1.2	1.5	-1.4	1	-1.4	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
AI072892	FRZB (Frizzled-related protein)	Signaling cascades	-1.1	1.2	1.8	1.3	1.6	1.2	1	1.3	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
M15481	IGF1 (insulin-like growth factor 1)	Regulation of proliferation	-1.1	-1.2	-1.7	-2.4	1	1.2	-1.1	-2	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
NM_022266	CTGF (connective tissue growth factor)	Cell adhesion/migration	1.2	-1.1	-1.1	-1.9	1.4	1.1	1.2	-1.9	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
BI275994	TGM2 (tissue-type transglutaminase)	Cell adhesion/migration	-1.7	-1.5	-1.5	-2.9	-1.9	-2	-1.9	-1.9	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
AI102530	NAB2 (Ngfi-A binding protein 2; predicted)	Transcriptional corepressor	-1.1	1.2	1.8	2	1.1	1	1	1.7	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
BF417638	CDCA3 (cell division cycle-associated 3; TOME1)	Cell cycle (G2-M)	1.1	-1.1	-1.3	1.3	-1.2	-1.7	-1.6	-1.5	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
X64589	CCNB1 (cyclin B1, G2-M specific)	Cell cycle (G2-M)	1	-1.3	-1.3	1	-1.4	-2.2	-1.3	-1.6	Fold deregulation (mean of three replicate animals per time point)	Inhibited cell survival and proliferation
