NCBI Acc. No.	OGS	Name	t-value	P-value
NM_032024.2	C10orf11	Chromosome 10 open reading frame 11	6.06	8.14E-05
NM_003898.2	SYNJ2	Synaptojanin 2	5.77	1.25E-04
NM_007375.3	TARDBP	TAR DNA binding protein	5.65	1.50E-04
NM_015481.1	ZNF385	Zinc finger protein 385	5.61	1.58E-04
NM_032603.2	LOXL3	Lysyl oxidase-like 3	5.03	3.84E-04
NM_139344.1	BIN1	Bridging integrator 1	4.41	1.05E-03
NM_001427.2	EN2	Engrailed homolog 2	4.38	1.09E-03
NM_199160.1	LHX6	LIM homeobox 6	4.38	1.10E-03
NM_175080.1	P2RX5	Purinergic receptor P2X, ligand-gated ion channel, 5	4.33	1.19E-03
NM_030758.2	OSBP2	Oxysterol binding protein 2	4.27	1.31E-03
NM_016429.1	COPZ2	Coatomer protein complex, subunit zeta 2	4.23	1.40E-03
NM_003670.1	BHLHB2	Basic helix–loop–helix domain containing, class B, 2	4.22	1.43E-03
NM_014381.1	MLH3	MutL homolog 3	4.15	1.62E-03
NM_002355.2	M6PR	Mannose-6-phosphate receptor (cation dependent)	4.07	1.85E-03
NM_003304.4	TRPC1	Transient receptor potential cation channel, subfamily C, member 1	4.07	1.86E-03
NM_018647.2	TNFRSF19	Tumor necrosis factor receptor superfamily, member 19	3.97	2.19E-03
NM_006000.1	TUBA4A	Tubulin, alpha 4a	3.97	2.20E-03
NM_001979.4	EPHX2	Epoxide hydrolase 2, cytoplasmic	3.91	2.42E-03
NM_001755.2	CBFB	Core-binding factor, beta subunit	3.91	2.44E-03
NM_001044385.1	ALS2CR4	Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4	3.87	2.59E-03
NM_004086.1	COCH	Coagulation factor C homolog, cochlin (Limulus polyphemus)	3.82	2.86E-03
NM_005899.3	NBR1	Neighbor of BRCA1 gene 1	3.78	3.05E-03
NM_001077445.1	PHF16	PHD finger protein 16	3.7	3.48E-03
NM_018330.3	KIAA1598	KIAA1598	3.61	4.12E-03
NM_003656.3	CAMK1	Calcium/calmodulin-dependent protein kinase I	3.59	4.26E-03
NM_018950.1	HLA-F	Major histocompatibility complex, class I, F	3.58	4.29E-03
NM_145177.1	DHRSX	Dehydrogenase/reductase (SDR family) X-linked	3.57	4.38E-03
