Functional classifications	Gene Nameb	Gene Bank ID	Fold Expressionc	Gene Annotation
Undifferentiated cell marker (6)	GAL	M77140	33	Galanin
Undifferentiated cell marker (6)	POU5F1	Z11898	28	POU domain, class 5, transcription factor 1
Undifferentiated cell marker (6)	PODXL	U97519	14	Podocalyxin-like
Undifferentiated cell marker (6)	GDF3	NM_020634	13	Growth differentiation factor 3
Undifferentiated cell marker (6)	GJA1	NM_000165	10	Gap junction protein, alpha 1, 43kDa (connexin43)
Undifferentiated cell marker (6)	Nanog (FLJ12581)	NM_024865	6	Nanog
Differentiation markers (5)	KRT18	M26326	23	Keratin 18
Differentiation markers (5)	ACTC	J00073	22	Actin, alpha, cardiac muscle
Differentiation markers (5)	KRT8	X74929	17	Keratin 8
Differentiation markers (5)	TNNT1	M19309	7	Troponin T1, skeletal, slow
Differentiation markers (5)	TUBB-5	AF070600	5	Beta-5 tubulin
Cell signal/cell cycle /cell development (19)	LIN-28	NM_024674	28	RNA-binding protein LIN-28
Cell signal/cell cycle /cell development (19)	SEMA6A	AF225425	25	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
Cell signal/cell cycle /cell development (19)	CRABP2	M97815	19	Cellular retinoic acid binding protein 2
Cell signal/cell cycle /cell development (19)	LEFTB	AF081507	18	Left-right determination,factor B
Cell signal/cell cycle /cell development (19)	NME2	M36981	11	Non-metastatic cells 2, protein (NM23B) expressed in
Cell signal/cell cycle /cell development (19)	CCNB1	M25753	10	Cyclin B1
Cell signal/cell cycle /cell development (19)	CDC2	X05360	9	Cell division cycle 2, G1 to S and G2 to M
Cell signal/cell cycle /cell development (19)	SFRP2	AF311912	8	Secreted frizzled-related protein 2
Cell signal/cell cycle /cell development (19)	IMP-2	NM_006548	8	IGF-II mRNA-binding protein 2 (embryogenesis and morphogenesis)
Cell signal/cell cycle /cell development (19)	PITX2	AF048722	7	Paired-like homeodomaintranscription factor 2
Cell signal/cell cycle /cell development (19)	CALU	AF257659	5	Calumenin
Cell signal/cell cycle /cell development (19)	PTTG1	AJ223953	6	Pituitary tumor-transforming 1
Cell signal/cell cycle /cell development (19)	SET	M93651	6	SET translocation (myeloid leukemia-associated)
Cell signal/cell cycle /cell development (19)	BRIX	AK001962	6	BRIX
Cell signal/cell cycle /cell development (19)	PSIP1	AF063020	6	PC4 and SFRS1 interacting protein 1
Cell signal/cell cycle /cell development (19)	CRABP1	S74445	5	Cellular retinoic acid binding protein 1
Cell signal/cell cycle /cell development (19)	TDGF1	X14253	5	Teratocarcinoma-derivedgrowth factor 1
Cell signal/cell cycle /cell development (19)	MAD2L2	NM_006341	4	MAD2 mitotic arrest deficient-like 2 (yeast)
Cell signal/cell cycle /cell development (19)	STK12	AF015254	4	Serine/threonine kinase 12
Metabolism 1) DNA / RNA related (21)	SNRPF	X85372	23	Small nuclear ribonucleoprotein polypeptide F
Metabolism 1) DNA / RNA related (21)	NPM1	NM_002520	23	Nucleophosmin (nucleolar phosphoprotein B23, numatrin)
Metabolism 1) DNA / RNA related (21)	SSB	X69804	20	Sjogren syndrome antigen B (autoantigen La)
Metabolism 1) DNA / RNA related (21)	EIF4A1	D13748	18	Eukaryotic translation initiation factor 4A, isoform 1
Metabolism 1) DNA / RNA related (21)	RPL6	X69391	17	Ribosomal protein L6
Metabolism 1) DNA / RNA related (21)	RPS24	M31520	15	Ribosomal protein S24
Metabolism 1) DNA / RNA related (21)	DDX21	U41387	14	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide21
