Gene title	Gene symbol	fdr	DN vs E fold a	Accession No.
Oligophrenin 1	OPHN1	4.77E-02	-0.76	NM_002547
Glutathione S-transferase A1	GSTA1	2.57E-02	-1.14	NM_000846
TP53TG3 protein	TP53TG3	4.71E-02	-1.16	NM_015369
Lipopolysaccharide-induced TNF factor	LITAF	2.51E-02	-1.18	NM_004862
B-cell translocation gene 1, anti-proliferative	BTG1	1.22E-03	-1.21	AL535380
Rho family GTPase 3	RND3	4.75E-03	-1.29	BG054844
Protein tyrosine phosphatase, receptor type, R	PTPRR	4.80E-02	-1.51	U77917
Gap junction protein,  2, 26 kDa (connexin 26)	GJB2	4.89E-02	-1.54	M86849
Baculoviral IAP repeat-containing 3	BIRC3	3.22E-02	-1.56	U37546
Regulator of G-protein signalling 2, 24 kDa	RGS2	4.83E-03	-1.59	NM_002923
Matrix metallopeptidase 16 (membrane-inserted)	MMP16	3.66E-02	-1.66	NM_022564
Egl nine homolog 3 (C. elegans)	EGLN3	2.73E-02	-1.75	AI378406
Matrilin 2	MATN2	2.44E-02	-1.89	NM_002380
LIM domain only 4	LMO4	3.35E-03	-1.92	BC003600
Proteasome subunit,  type 8	PSMB8	1.83E-02	-1.98	U17496
Protein tyrosine phosphatase, receptor type R	PTPRR	1.91E-02	-2	NM_002849
CD24 molecule	CD24	1.67E-02	-2.05	BG327863
Phospholipase A2	PLA2G2A	4.75E-03	-2.05	NM_000300
Tumor necrosis factor (ligand) superfamily, member 15	TNFSF15	2.92E-02	-2.08	NM_005118
Chemokine orphan receptor 1	CMKOR1	2.88E-03	-2.2	AI817041
Epidermal growth factor	EGF	4.29E-03	-2.22	NM_001963
Cadherin 3, type 1, P-cadherin (placental)	CDH3	4.98E-03	-2.25	NM_001793
Melanoma antigen family A 4	MAGEA4	2.16E-03	-2.3	AW438674
