Gene function	Accession no.	Symbol	Expression
Growth factor and chemokine receptors/hormone receptors	BC014972	IL2RG	+
Growth factor and chemokine receptors/hormone receptors	BC015961	ADM	+
Growth factor and chemokine receptors/hormone receptors	AB014887	ORM1	+
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AB025105	CDH1	+
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AL137667	MAPK8	+
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF078803	CAMK2B	+
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF153609	SGK	-
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC014243	TYK2	-
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC038231	DUSP8	+
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AK023775	PTPRF	-
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF000231	RAB11A	-
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF129756	AIF1	+
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF361886	KEAP1	-
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AB026491	PRKCABP	+
Intracellular transducers/modulators/kinase network/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF010193	MADH7	-
Transcription/transcription activators and repressor/RNA polymerase	AF055028	POLR2B	+
Transcription/transcription activators and repressor/RNA polymerase	J03066	EN2	+
Transcription/transcription activators and repressor/RNA polymerase	AB032481	HOXD13	+
Transcription/transcription activators and repressor/RNA polymerase	AL137295	MLLT10	+
Transcription/transcription activators and repressor/RNA polymerase	AF299094	HSF1	-
Transcription/transcription activators and repressor/RNA polymerase	AF053318	CNOT8	+
Transcription/transcription activators and repressor/RNA polymerase	AF113003	NCOR2	-
Transcription/transcription activators and repressor/RNA polymerase	AB030304	HUMGT198A	+
Transcription/transcription activators and repressor/RNA polymerase	AB016485	LDB1	-
Oncogenes and tumor suppressors	BC002706	ERBB3	-
Oncogenes and tumor suppressors	AF000959	CLDN5	+
Cell adhesion/matrix adhesion receptors/cell-cell adhesion receptors	AB001090	CDH13	+
Extracellular transport/proteins	BC014781	LCAT	+
Extracellular transport/proteins	AB032372	CKTSF1B1	+
Caspases	BC015799	CASP7	+
DNA replication/polymerases, replication factors, and topoisomerases	BC011539	ORCIL	+
DNA replication/polymerases, replication factors, and topoisomerases	AY032603	MCM3	-
DNA replication/polymerases, replication factors, and topoisomerases	AF017146	TOP3B	+
Metabolism	AB009598	B3GAT3	+
Metabolism	AK122769	CKMT2	+
Metabolism	AF013160	NDUFS2	+
Metabolism	BC004537	ATP6V0C	-
Metabolism	AF020351	NDUFS4	+
Metabolism	BC001390	QP-C	+
Metabolism	BC037246	PNMT	+
Metabolism	AL133324	GSS	+
Metabolism	AB017103	YWHAE	-
Translation factors	BC015460	QPCT	+
Posttranslational modification	AL133335	PFDN4	+
Posttranslational modification	AY341427	AP2B1	+
RNA processing, turnover, and transport	AK055170	RAE1	+
Cell surface antigens	BC009409	TACSTD2	+
Heat shock proteins	AF275719	HSPCB	+
Symporters and antiporters	AF078544	SLC25A14	+
Targeting/exocytosis	BC006268	PEX7	+
Targeting/exocytosis	BC016804	TRAM2	-
Targeting/exocytosis	BX537448	SEC14L1	-
Targeting/exocytosis	BC022069	CRABP1	+
Targeting/exocytosis	AK093558	PFDN1	+
Inhibitors of proteases	BC000866	TIMP1	+
Protein phosphatases	AF263016	PTPRR	-
Functionally unclassified	AB012853	INGIL	+
Functionally unclassified	NM_004998	MYO1E	+
Functionally unclassified	BC020746	DXS1283E	+
Functionally unclassified	AF127761	RBM8A	+
Functionally unclassified	AF072814	M96	+
Functionally unclassified	AI879202	ETHE1	-
Not classified	AB046613	MYL6	+
Not classified	BC031043	PRH1	+
Not classified	AB051340	MRPL23	+
Not classified	AF142482	TEAD3	-
Not classified	BC003015	DGCR14	+
Not classified	AB007887	KIAA0427	-
Not classified	AF124491	GIT2	+
Not classified	AF155595	RCOR	-
Not classified	AB029331	C6orf18	+
Not classified	AB037187	CHST7	+
Not classified	AK074531	PRR3	-
Not classified	AF241235	FXYD2	+
Not classified	BC013789	NHLH1	+
Not classified	AF332577	PSMA6	+
Not classified	BC008861	ATP6V0D1	-
Not classified	AB028953	KIAA1030	+
Not classified	BC014932	KIAA0280	-
Not classified	AB028980	USP24	+
Not classified	BC005407	KIAA0169	+
Not classified	BC009899	PIK3R4	+
Not classified	AF441399	HSGP25L2G	+
Not classified		GGF2	+
Not classified		NF1A	+
