Accession no.	Gene description/gene name	Function	Expression	Functional category
AK124593	Patched homolog 1 (Drosophila)/PTCH1	Tumor suppressor gene, Adhesion/migration	?	Tumorigenesis
NM_014269	Metallopeptidase domain 29/ADAM29	Adhesion	?	Tumorigenesis
NM_012342	BMP and activin membrane-bound inhibitor homolog/BAMBI	Cytoskeletal organization	?	Tumorigenesis
NM_006889	CD86	Cell-cell interactions, costimulation	?	Tumorigenesis
NM_002209	Integrin ?L/ITGAL/CD11a	Adhesion	+	Tumorigenesis
NM_001079	ZAP-70	Intracellular signaling	+	Tumorigenesis
NM_144710	Septin 10/SEPT10	Migration	+	Tumorigenesis
NM_000237	Lipoprotein lipase/LPL	Lipoprotein metabolism	+	Metabolism
NM_080283	ATP-binding cassette, subfamily A, member 9/ABCA9	Cholesterol responsive gene	+	Metabolism
NM_005504	Branched chain aminotransferase 1/BCAT1	Amino acid transamination	+	Metabolism
NM_002343	Lactotransferrin/LTF	Iron metabolism	+	Metabolism
NM_144651	Peroxidasin homolog-like (Drosophila)/PXDNL	Ion binding	?	Metabolism
NM_173497	HECT domain containing 2/HECTD2	Ubiquitin cycle	?	Metabolism
NM_173464/AK026733	L(3)mbt-like 4 (Drosophila)/L3MBTL4	Transcription factor activity	+	Transcription
NM_175065	Histone cluster 2, H2ab/HIST2H2AB	Transcription regulation, DNA repair	?	Transcription
