Accession number	Gene	Differential expression	Expression
 U20391	FOLR1	18.7	Downregulated gene (>3-fold)
 AF154830	CPS1	12.5	Downregulated gene (>3-fold)
 U36798	PDE3A	10.3	Downregulated gene (>3-fold)
 NM_003937	KYNU	8.8	Downregulated gene (>3-fold)
 V00522	HLA-DRB3	8.3	Downregulated gene (>3-fold)
 D26070	IP3R1	6.9	Downregulated gene (>3-fold)
 AB040057	MST4	6.5	Downregulated gene (>3-fold)
 BE536069	S100P	6.4	Downregulated gene (>3-fold)
 D32076	MAGEA6	6.1	Downregulated gene (>3-fold)
 NM_020130	C8orf4	6.1	Downregulated gene (>3-fold)
 U76702	FSTL3	5.3	Downregulated gene (>3-fold)
 BE393272	ASS	5.2	Downregulated gene (>3-fold)
 BE616306	ANXA8	5.2	Downregulated gene (>3-fold)
 AW385690	FN1	5.1	Downregulated gene (>3-fold)
 X63556	FBN1	5.1	Downregulated gene (>3-fold)
 BE741354	CD74	4.7	Downregulated gene (>3-fold)
 X69516	FOLR2	4.7	Downregulated gene (>3-fold)
 AF096290	SLC27A2	4.7	Downregulated gene (>3-fold)
 L15702	BF	4.6	Downregulated gene (>3-fold)
 U60521	CASP9	4.6	Downregulated gene (>3-fold)
 AW377189	EPAS1	4.5	Downregulated gene (>3-fold)
 X62009	FBN2	4.4	Downregulated gene (>3-fold)
 M80244	SLC7A5	4.2	Downregulated gene (>3-fold)
 NM_004481	GALNT2	4.1	Downregulated gene (>3-fold)
 M62403	IGFBP4	4	Downregulated gene (>3-fold)
 J02939	SLC3A2	4	Downregulated gene (>3-fold)
 S78825	ID1	4	Downregulated gene (>3-fold)
 M18767	C1S	4	Downregulated gene (>3-fold)
 X13223	B4galt1	4	Downregulated gene (>3-fold)
 BE676430	CRIP1	4	Downregulated gene (>3-fold)
 X03100	HLA-DPA1	4	Downregulated gene (>3-fold)
 NM_000064	C3	3.9	Downregulated gene (>3-fold)
 AI421214	PTGES	3.8	Downregulated gene (>3-fold)
 NM_000804	FOLR3	3.8	Downregulated gene (>3-fold)
 U10694	MAGEA9	3.8	Downregulated gene (>3-fold)
 NM_003392	WNT5A	3.7	Downregulated gene (>3-fold)
 AV652811	C4BPB	3.4	Downregulated gene (>3-fold)
 AF153609	SGK	3.4	Downregulated gene (>3-fold)
 AI336522	FLJ22182	3.3	Downregulated gene (>3-fold)
 D28235	COX2	3.3	Downregulated gene (>3-fold)
 AI418605	HLA-DMA	3.3	Downregulated gene (>3-fold)
 AV704811	ARHB	3.2	Downregulated gene (>3-fold)
 AA421326	FLJ21918	3.2	Downregulated gene (>3-fold)
 AA307373	KRT7	3.1	Downregulated gene (>3-fold)
 U88629	ELL2	3.1	Downregulated gene (>3-fold)
 AJ222700	TSC22	3.1	Downregulated gene (>3-fold)
 AU127127	SORD	3.1	Downregulated gene (>3-fold)
 AI986271	PRMT3	3	Downregulated gene (>3-fold)
 BF337264	CLU	3	Downregulated gene (>3-fold)
 NM_005833	RAB9P40	3	Downregulated gene (>3-fold)
 NM_014793	KIAA0547	3	Downregulated gene (>3-fold)
 BE877317	G0S2	-7.7	Upregulated gene (<-3-fold)
 AA451928	VIM	-6.7	Upregulated gene (<-3-fold)
 AW072424	CD73	-6.1	Upregulated gene (<-3-fold)
 AV705672	IFI27	-4.6	Upregulated gene (<-3-fold)
 X78947	CTGF	-4.3	Upregulated gene (<-3-fold)
 NM_006768	BRAP	-3.9	Upregulated gene (<-3-fold)
 AW663903	INSIG1	-3.6	Upregulated gene (<-3-fold)
 AA410508	FLJ14241	-3.6	Upregulated gene (<-3-fold)
 L20688	ARHGDIB	-3.3	Upregulated gene (<-3-fold)
 AF003594	CTR61	-3.1	Upregulated gene (<-3-fold)
 M15476	PLAU	-3.1	Upregulated gene (<-3-fold)
