Gene Symbol	Gene Name	Accession Number	Fold Change
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	BC000627	14.02925
FGG	fibrinogen, gamma polypeptide	NM_000509	6.31786
FGB	fibrinogen, B beta polypeptide	BG545288	5.86271
FGA	fibrinogen, A alpha polypeptide	NM_000508	5.4178
AKAP2	A kinase (PRKA) anchor protein 2	NM_007203	5.03752
LBP	lipopolysaccharide binding protein	NM_004139	4.54253
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	NM_006931	4.24708
IGFBP1	insulin-like growth factor binding protein 1	NM_000596	4.11986
CCL2	chemokine (C-C motif) ligand 2	S69738	4.11116
SOCS3	suppressor of cytokine signaling 3	BG035761	3.92949
ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	NM_005502	3.88478
SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	AA778684	3.65108
NPC1	Niemann-Pick disease, type C1	NM_000271	3.42023
ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	NM_003407	3.41924
UGCG	UDP-glucose ceramide glucosyltransferase	NM_003358	3.40843
EFNB2	ephrin-B2	BF001670	3.2662
SOD2	superoxide dismutase 2, mitochondrial	X15132	3.07171
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	NM_005195	3.01762
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	NM_004566	2.99052
ATF3	activating transcription factor 3	NM_001674	2.8937
MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	AL021977	2.87145
LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	NM_000527	2.82377
AGT	angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8)	NM_000029	2.82277
AKAP12	A kinase (PRKA) anchor protein (gravin) 12	AB003476	2.74377
PPAP2B	phosphatidic acid phosphatase type 2B	AB000889	2.73372
ADM	adrenomedullin	NM_001124	2.63547
KIAA1237	KIAA1237 protein	AI148659	2.62669
EFNA1	ephrin-A1	NM_004428	2.59892
GFPT2	glutamine-fructose-6-phosphate transaminase 2	NM_005110	2.59264
ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	NM_000201	2.50961
