Gene	GenBank accession no.	Description	PML/RAR?Fold change	P†	PLZF/RAR?Fold change	P†	Expression
ELA2	M20203	Neutrophil elastase	4713.3	<.0001	3053.6	<.0001	Down-regulated gene
PRTN3	X55668	Proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	1217.5	0.0002	1217.5	0.0002	Down-regulated gene
PAI2	M31551	Plasminogen activator inhibitor, type II	1109.8	<.0001	1109.8	<.0001	Down-regulated gene
CEBPA	U34070	CCAAT/enhancer binding protein (C/EBP), alpha	85.1	0.02	85.1	0.02	Down-regulated gene
GAL	M77140	Galanin	230.5	0.01	314.7	0.009	Down-regulated gene
PPP5	X89416	Protein phosphatase 5, catalytic subunit	373.4	0.01	252.8	0.07	Down-regulated gene
NFKBIE	U91616	Nuclear factor of kappa light polypeptide gene enhancer in B-cell inhibitor, epsilon	59.5	0.008	47.3	0.01	Down-regulated gene
PECAM1	L34657	Platelet-endothelial cell adhesion molecule (CD31 antigen)	182.5	0.03	146.9	0.03	Down-regulated gene
MEF2	HG4668-HT5083	Transcription factor Mef2, alt Splice 2	129.5	0.05	179.7	0.04	Down-regulated gene
RAB31	U59877	Ras-associated protein RAB31; Low Mr GTP-binding protein of the Rab subfamily	162	0.001	162	0.003	Down-regulated gene
NMB	X76534	Glycoprotein NMB; GPNMB; neuromedin B	31.7	0.0003	221.7	0.0003	Down-regulated gene
NFIL6	HG3494-HT3688	Nuclear factor, NF-IL6 (C/EBP beta)	6.2	0.04	10.8	0.03	Down-regulated gene
IFI30	J03909	Interferon-gamma-inducible protein 30; GILT	97.2	0.06	21	0.06	Down-regulated gene
ELA2	M27783	Elastase 2, neutrophil	1816.2	0.001	19.9	0.001	Down-regulated gene
MNDA	M81750	Myeloid cell nuclear differentiation antigen	6.1	0.03	14.8	0.02	Down-regulated gene
CGII	U61836	Cyclin G1 interacting protein	92.9	0.007	8.6	0.007	Down-regulated gene
IL-8	M28130	Human interleukin-8 gene	3	0.02	8.7	0.006	Down-regulated gene
LYZ	M21119	Lysozyme	13.9	0.001	17.5	0.001	Down-regulated gene
SPI1	X52056	Spleen focus-forming virus (SFFV) proviral integration oncogene spi1	8.7	0.03	143.3	0.03	Down-regulated gene
MCAM	M29277	Melanoma adhesion molecule	8.2	0.5	9.5	0.8	Down-regulated gene
CYBB	X04011	Cytochrome b-245, beta polypeptide (chronic granulomatous disease); p91-phox	98	0.008	55.6	<.0001	Down-regulated gene
LSP1	M33552	Lymphocyte-specific protein 1 (LSP1)	260.1	0.02	261.9	0.02	Down-regulated gene
EPR1	L32866	Human effector cell protease receptor-1; EPR-1	117.1	0.02	11.8	0.03	Down-regulated gene
PRG1	X17042	Proteoglycan 1, secretory granule	35.2	<.0001	16.2	<.0001	Down-regulated gene
APP	Y00264	Amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	40.6	0.006	91.5	0.005	Down-regulated gene
IL-8	Y00787	Interleukin-8	14.5	0.0005	274.7	0.0001	Down-regulated gene
GLVR1	L20859	Solute carrier family 20, member 1 (SLC20A1)	4.7	0.01	5.1	0.01	Down-regulated gene
MCP1	HG4069-HT4339	Monocyte chemotactic protein 1	6.4	0.002	8.7	0.002	Down-regulated gene
