Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	q-value	Sam
39729_at	PRDX2	Chr:19p13.2	L19185	-4.50408	0.19334	1.377152129	cluster2
203372_s_at	SOCS2	Chr:12q	AB004903	5.20131	2.5667	0.434532433	cluster3
203373_at	SOCS2	Chr:12q	NM_003877	5.071821	2.61354	0.546786645	cluster3
204468_s_at	TIE	Chr:1p34-p33	NM_005424	5.77389	2.24977	0.246670667	cluster3
209184_s_at	IRS2	Chr:13q34	BF700086	-4.35961	0.4713	0.246670667	cluster3
209905_at	HOXA9	Chr:7p15-p14	AI246769	4.147647	1.86246	0.959274816	cluster3
214651_s_at	HOXA9	Chr:7p15-p14	U41813	4.306589	2.03456	0.866196665	cluster3
201473_at	JUNB	Chr:19p13.2	NM_002229	-6.75776	0.31975	0.109866108	cluster4
202449_s_at	RXRA	Chr:9q34.3	NM_002957	-6.10996	0.32569	0.109866108	cluster4
205883_at	ZNF145	Chr:11q23.1	NM_006006	5.410215	2.16641	0.2241429	cluster4
209184_s_at	IRS2	Chr:13q34	BF700086	-6.65768	0.31619	0.109866108	cluster4
209185_s_at	IRS2	Chr:13q34	AF073310	-7.85413	0.22776	0.109866108	cluster4
209905_at	HOXA9	Chr:7p15-p14	AI246769	-4.02982	0.23224	1.866837827	cluster4
214651_s_at	HOXA9	Chr:7p15-p14	U41813	-4.5245	0.19274	0.258318211	cluster4
218902_at	NOTCH1	Chr:9q34.3	NM_017617	7.37871	2.57801	0.109866108	cluster4
201050_at	PLD3	Chr:19q13.2	NM_012268	9.381004	2.65163	0.007222864	cluster5
201473_at	JUNB	Chr:19p13.2	NM_002229	6.122352	1.70155	0.007222864	cluster5
202426_s_at	RXRA	Chr:9q34.3	BE675800	12.53498	2.77988	0.007222864	cluster5
202449_s_at	RXRA	Chr:9q34.3	NM_002957	9.646754	2.19765	0.007222864	cluster5
203372_s_at	SOCS2	Chr:12q	AB004903	-4.92132	0.28035	0.007222864	cluster5
203373_at	SOCS2	Chr:12q	NM_003877	-5.15244	0.24915	0.007222864	cluster5
204468_s_at	TIE	Chr:1p34-p33	NM_005424	-6.40932	0.38617	0.007222864	cluster5
205076_s_at	CRA	Chr:1q12-q21	NM_006697	4.192333	1.66282	0.013448429	cluster5
205883_at	ZNF145	Chr:11q23.1	NM_006006	-4.92323	0.58403	0.007222864	cluster5
207550_at	MPL	Chr:1p34	NM_005373	-5.8493	0.38128	0.007222864	cluster5
209184_s_at	IRS2	Chr:13q34	BF700086	5.384737	1.65014	0.007222864	cluster5
209185_s_at	IRS2	Chr:13q34	AF073310	5.085472	1.62972	0.007222864	cluster5
212678_at	NF1	Chr:17q11.2	AW054826	-7.47561	0.65009	0.007222864	cluster5
216115_at	NF1	Chr:17q11.2	AK024873	-5.87653	0.62879	0.007222864	cluster5
201008_s_at	TXNIP	Chr:1q21.2	AA812232	-4.46099	0.47026	4.740828702	cluster6
201010_s_at	TXNIP	Chr:1q21.2	NM_006472	-4.10452	0.56669	4.740828702	cluster6
