Probe ID	Gene Symbol	Description	CM/ES Fold change	CM/EB Fold change	FH/ES Fold change	FH/EB Fold change	AH/ES Fold change	AH/EB Fold change
5820681	ZNF206	zinc finger protein 206	-7359.58	-215.53	-1146.24	-33.57	-450.99	-13.21
1030274	USP44	ubiquitin specific peptidase 44	-5378.69	-382.72	-5378.69	-382.72	-5378.69	-382.72
460465	DPPA4	developmental pluripotency associated 4	-5009.55	-499.09	-1062.29	-105.83	-9910.76	-987.38
6560497	GRPR	gastrin-releasing peptide receptor	-4338.35	-63.18	-4338.35	-63.18	-947.61	-13.8
2340152	LIN28	lin-28 homolog (C. elegans)	-4150.76	-586.52	-85381.65	-12064.74	-85381.65	-12064.74
2900424	UTF1	undifferentiated embryonic cell transcription factor 1	-3047.26	-16.45	-3047.26	-16.45	-1320.35	-7.13
3710255	DPPA2	developmental pluripotency associated 2	-2680.63	-209.56	-761.67	-59.54	-237.94	-18.6
7050195	UNQ3045	AAAL3045	-2399.2	-387.67	-937.39	-151.47	-685.92	-110.83
150202	GPR114	G protein-coupled receptor 114	-2310.47	-188.06	-2310.47	-188.06	-1334.73	-108.64
6550161	IL8	interleukin 8	-1788.5	-28.62	-109.95	-1.76	-1948.07	-31.18
7320411	ZDHHC19	Zinc finger, DHHC-type containing 19	-1362.82	-151.73	-83.96	-9.35	-1362.82	-151.73
7380192	GAL	galanin	-1269.05	-24.54	-3146.99	-60.85	-14162.88	-273.83
6180427	GPR160	G protein-coupled receptor 160	-1209.1	-10.25	-1209.1	-10.25	-1209.1	-10.25
4200170	CACNA1F	calcium channel, voltage-dependent, alpha 1F subunit	-1058.13	-20.16	-1058.13	-20.16	-1058.13	-20.16
6280044	POU5F1	POU domain, class 5, transcription factor 1	-920.42	-20.49	-3731.63	-83.07	-1138.34	-25.34
3840193	NPTX1	neuronal pentraxin I	-886.7	-74.74	-2346.44	-197.78	-3733.9	-314.73
4570450	PTPRN	protein tyrosine phosphatase, receptor type, N	-796.35	-279.75	-177.35	-62.3	-328.36	-115.35
3520379	BCMO1	beta-carotene 15,15-monooxygenase 1	-790.17	-394.68	-790.17	-394.68	-790.17	-394.68
5050593	SYN2	synapsin II	-767.24	-176.72	-10.6	-2.44	-217.1	-50.01
2940672	POU5F1	POU domain, class 5, transcription factor 1	-747.68	-15.9	-562.04	-11.95	-1128.28	-23.99
3440500	IL6	interleukin 6 (interferon, beta 2)	-697.9	-58.83	-8.45	-0.71	-135.2	-11.4
2850349	LOC138255	chromosome 9 open reading frame 135	-681.88	-68.28	-5062.53	-506.9	-13509.31	-1352.66
6270553	NODAL	nodal homolog (mouse)	-646.7	-27.51	-1986.69	-84.51	-86.47	-3.68
3890682	SH2D2A	SH2 domain protein 2A	-612.67	-128.42	-15.09	-3.16	-89.51	-18.76
4060674	IL1RN	interleukin 1 receptor antagonist	-592.6	-13.88	-66.77	-1.56	-661.08	-15.48
5310494	HHLA2	HERV-H LTR-associating 2	-550.76	-8.65	-92.69	-1.45	-40.21	-0.63
6040196	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	-546.12	-34.03	-3.78	-0.24	-12.31	-0.77
620220	SLC16A6	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)	-545.36	-83.61	-65.48	-10.04	-120.21	-18.43
6250561	ECAT11	LINE-1 type transposase domain containing 1	-531.5	-57.41	-709.84	-76.67	-335.23	-36.21
2970767	MMP3	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	-528.48	-6	-4113.35	-46.71	-15356.94	-174.4
4150224	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	-527.03	-83.84	-8.01	-1.27	-858.48	-136.56
6480189	CRABP1	cellular retinoic acid binding protein 1	-499.49	-536.13	-128.22	-137.63	-6745.95	-7240.84
2140064	FAM77C	family with sequence similarity 77, member C	-480.48	-194.67	-242.03	-98.06	-480.48	-194.67
830360	CRYBA4	crystallin, beta A4	-480.08	-44.14	-410.73	-37.76	-1157.05	-106.38
5890717	SUSD3	sushi domain containing 3	-478.11	-308.41	-5.97	-3.85	-31.52	-20.33
2710463	ZNF483	zinc finger protein 483	-472.44	-22.33	-84.36	-3.99	-170.32	-8.05
6560088	HLA-DOA	major histocompatibility complex, class II, DO alpha	-469.15	-38.87	-45.98	-3.81	-7.71	-0.64
4570246	KIAA1944	transmembrane protein 132D	-467.12	-108.59	-576.9	-134.1	-813.64	-189.14
6400019	PADI3	peptidyl arginine deiminase, type III	-467.02	-27.92	-467.02	-27.92	-467.02	-27.92
4070341	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	-437.03	-159.42	-810.2	-295.54	-810.2	-295.54
