Accession	Gene name	Locus	log 2 ratiosa	Functions b	Expresson
 NM_003308	Testis specific protein, Y-linked (TSPY)	Yp11.2	5.3	Oncogenesis, cell proliferation	Up regulated genes
 NM_000477	Albumin (ALB)	4q11–13	3.8	Carrier protein	Up regulated genes
 NM_002343	Lactotransferrin (LTF)	3q21–q23	3.5	Iron homeostasis, immune response	Up regulated genes
 NM_004950	Dermatan sulfate proteoglycan 3 (DSPG3)	12q21	2.6	Regulation of fibrillogenesis	Up regulated genes
 NM_003062	Slit homolog 3 (SLIT3)	5q35	2.3	Development	Up regulated genes
 NM_004467	Fibrinogen-like 1 (FGL1)	8p22–p21.3	2.7	Liver regeneration	Up regulated genes
 NM_001276	Chitinase 3-like 1 (YKL-40/CHI3L1)	1q32.1	2.3	Cell migration, cancer metastasis	Up regulated genes
 NM_001645	Apolipoprotein C–I (APOC1)	19q13.2	2	Lipid metabolism and transport	Up regulated genes
 NM_019010	Cytokeratin 20 (KRT20)	17q21.2	2.2	Cytoskeleton	Up regulated genes
 NM_001982	V-erb-b2 erythroblastic leukemia viral Oncogene 3 (ERBB3)	12q13	1.8	Cell proliferation, metastasis	Up regulated genes
 NM_000607	Orosomucoid 1 (ORM1)	9q31–q32	2.1	Acute-phase response, inflammation	Up regulated genes
 NM_002421	Matrix metalloproteinase 1 (MMP1)	11q22.3	1.9	ECM degradation, tumor invasion	Up regulated genes
 NM_002423	Matrix metalloproteinase 7 (MMP7)	11q21–q22	1.6	Collagen catabolism, invasion, metastasis	Up regulated genes
 NM_003966	Semaphorin 5A (SEMA5A)	5p15.2	1.8	Development, neurogenesis	Up regulated genes
 NM_006096	N-myc downstream regulated gene 1 (NDRG1)	8q24.3	1.6	Cell growth and differentiation	Up regulated genes
 NM_001266	Carboxylesterase 1 (CES1)	16q13	1.7	Detoxification	Up regulated genes
 NM_001831	Clusterin (CLU)	8p21–p12	1.7	Apoptosis, metastasis	Up regulated genes
 NM_000846	Glutathione S-transferase A2 (GSTA2)	6p12.1	2.6	Response to stress, metabolism	Up regulated genes
 NM_000847	Glutathione S-transferase A3 (GSTA3)	6p12.1	2.6	Response to stress, metabolism	Up regulated genes
 NM_002730	Protein kinase, cAMP-dependent, catalytic, alpha (PRKACA)	19p13.1	1.6	Signal transduction	Up regulated genes
 NM_000331	Serum amyloid A1 (SAA1)	11p15.1	1.3	Acute-phase response	Up regulated genes
 NM_006512	Serum amyloid A4, constitutive (SAA4)	11p15.1	1.4	Acute-phase response	Up regulated genes
 NM_012219	Muscle RAS oncogene homolog (MRAS)	3q22.3	1.3	Signal transduction, development	Up regulated genes
 NM_000596	Insulin-like growth factor binding protein 1 (IGFBP1)	7p13–p12	1.5	Cell migration and invasion	Up regulated genes
 NM_000144	Friedreich ataxia (FRDA)	9q13–q21.1	1.4	Iron homeostasis	Up regulated genes
 NM_205768	Zinc-finger protein 238 (ZNF238)	1q44-qter	1.2	Chromatin assembly	Up regulated genes
 NM_000041	Apolipoprotein E (APOE)	19q13.2	1.4	Immune response, lipid metabolism	Up regulated genes
 NM_004079	Cathepsin S (CTSS)	1q21	1.1	Cell invasion, ECM degradation	Up regulated genes
 NM_000100	Cystatin B (CSTB)	21q22.3	1.4	Cysteine protease inhibitor	Up regulated genes
 NM_000169	Galactosidase, alpha (GLA)	Xq22	1.2	Carbohydrate metabolism	Up regulated genes
 NM_006818	ALL1-fused gene from chromosome 1q (AF1Q)	1q21	1.3	Cell growth and maintenance	Up regulated genes
 NM_000120	Epoxide hydrolase 1, microsomal (xenobiotic) (EPHX1)	1q42.1	1.1	Xenobiotic metabolism	Up regulated genes
 NM_017670	OTU domain, ubiquitin aldehyde binding 1 (OTUB1)	11q13.1	1.2	New cysteine proteases in the ubiquitin pathway	Up regulated genes
 NM_022358	Potassium channel, subfamily K, member 15 (KCNK15)	20q12–q13	1.3	—	Up regulated genes
 XM_041018	KIAA0367 protein (KIAA0367)	9q21.31	1.5	—	Up regulated genes
 AK026295	FLJ22642 (clone HSI06970)	5q14	1.2	—	Up regulated genes
 NM_000088	Collagen, type I, alpha 1 (COL1A1)	17q21.3	-2.2	Epidermal differentiation	Downregulated genes
 NM_000054	Arginine vasopressin receptor 2 (AVPR2)	Xq28	-1.7	Signal transduction	Downregulated genes
 NM_001554	Cysteine-rich, angiogenic inducer, 61 (CYR61)	1p31–p22	-1.3	Angiogenesis, tumorigenesis, metastasis	Downregulated genes
 NM_000602	Serine proteinase inhibitor, clade E, member 1 (SERPINE1)	7q21.3–q22	-1.2	Cell invasion and motility	Downregulated genes
 NM_003380	Vimentin (VIM)	10p13	-1.2	Intermediate filament, signal transduction	Downregulated genes
 NM_002658	Plasminogen activator, urokinase (PLAU)	10q24	-1.6	Blood coagulation, cell invasion	Downregulated genes
 NM_002309	Leukemia inhibitory factor (LIF)	22q12.2	-1.4	Cell proliferation, development	Downregulated genes
 NM_001901	Connective tissue growth factor (CTGF)	6q23.1	-1.4	Angiogenesis, invasion and metastasis	Downregulated genes
 NM_003246	Thrombospondin 1 (THBS1)	15q15	-1.1	Cell motility and tumorigenesis	Downregulated genes
 NM_002160	Tenascin C (TNC)	9q33	-1.2	Cell migration, proliferation	Downregulated genes
 NM_003399	X-prolyl aminopeptidase 2 (XPNPEP2)	Xq25	-1.1	Metalloexopeptidase	Downregulated genes
 NM_005876	Aortic preferentially expressed protein 1 (APEG1)	2q36.1	-1.2	—	Downregulated genes
 NM_015358	Nuclear matrix protein NXP-2 (NXP2)	21q22.13	-1.1	—	Downregulated genes
 NR_001447	Metallothionein 1L (MT1L)	16q13	-1.4	—	Downregulated genes
