UniGene ID	Gene title	Gene symbol	Chromosomal location
Hs.334707	Aminoacylase 1	ACY1	chr3p21.1
Hs.386684	Abelson helper integration site 1	AHI1	chr6q23.3
Hs.567501	Androgen-induced 1	AIG1	chr6q24.2
Hs.500645	Aldehyde dehydrogenase 18 family, member A1	ALDH18A1	chr10q24.3
Hs.369675	Angiopoietin 1	ANGPT1	chr8q22.3-q23
Hs.525163	Ankyrin repeat domain 10	ANKRD10	chr13q34
Hs.584884	ATPase, Ca + + transporting, type 2C, member 1	ATP2C1	chr3q22.1
Hs.418062	beta-1,3-N-acetylgalactosaminyltransferase 1	B3GALNT1	chr3q25
Hs.533446	Brain and acute leukemia, cytoplasmic	BAALC	chr8q22.3
Hs.124366	Bobby sox homolog (Drosophila)	BBX	chr3q13.1
Hs.334370	Brain expressed, X-linked 1	BEX1	chrXq21-q23
Hs.288809	Basic, immunoglobulin-like variable motif containing	BIVM	chr13q32-q33.1
Hs.143733	Coiled-coil domain containing 34	CCDC34	chr11p14.1
Hs.79015	CD200 molecule	CD200	chr3q12-q13
Hs.531962	Centrosomal protein 70kDa	CEP70	chr3q22-q23
Hs.6693	Coiled-coil-helix-coiled-coil-helix domain containing 3	CHCHD3	chr7q32.3-q33
Hs.59159	Chromodomain helicase DNA binding protein 9	CHD9	chr16q12.2
Hs.86368	Calmegin	CLGN	chr4q28.3-q31.1
Hs.592052	CKLF-like MARVEL transmembrane domain containing 4	CMTM4	chr16q22.1
Hs.436542	Cysteine-rich secretory protein LCCL domain containing 1	CRISPLD1	chr8q21.11
Hs.520070	cutA divalent cation tolerance homolog (E. coli)	CUTA	chr6pter-p21.31
Hs.189119	CXXC finger 5	CXXC5	chr5q31.3
Hs.315167	Defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	DCC1	chr8q24.12
Hs.592364	Dihydrofolate reductase	DHFR	chr5q11.2-q13.2
Hs.194392	dpy-19-like 3 (C. elegans)	DPY19L3	chr19q13.11
Hs.527980	dUTP pyrophosphatase	DUT	chr15q15-q21.1
Hs.388116	Dishevelled, dsh homolog 3 (Drosophila)	DVL3	chr3q27
Hs.134857	EF-hand calcium binding domain 2	EFCAB2	chr1q44
Hs.403594	EF-hand domain family, member A2	EFHA2	chr8p22
Hs.271667	EH domain binding protein 1	EHBP1	chr2p15
Hs.249718	Eukaryotic translation initiation factor 4E	EIF4E	chr4q21-q25
Hs.9295	Elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)	ELN	chr7q11.23
Hs.563491	Ependymin-related protein 1 (zebrafish)	EPDR1	chr7p14.1
Hs.28020	EPM2A (laforin) interacting protein 1	EPM2AIP1	chr3p22.1
Hs.468140	Family with sequence similarity 98, member A	FAM98A	chr2p22.3
Hs.173859	Frizzled homolog 7 (Drosophila)	FZD7	chr2q33
Hs.213389	Golgi autoantigen, golgin subfamily b, macrogolgin, 1	GOLGB1	chr3q13
Hs.191539	Golgi associated PDZ and coiled-coil motif containing	GOPC	chr6q21
Hs.42586	Glycerol-3-phosphate acyltransferase, mitochondrial	GPAM	chr10q25.2
Hs.99195	G protein-coupled receptor 125	GPR125	chr4p15.31
Hs.485557	Glutathione S-transferase A4	GSTA4	chr6p12.1
Hs.301961	Glutathione S-transferase M1	GSTM1	chr1p13.3
Hs.202179	General transcription factor IIH, polypeptide 2, 44kDa	GTF2H2	chr5q12.2-q13.3
Hs.463677	Helicase, lymphoid-specific	HELLS	chr10q24.2
Hs.595053	Heat shock 60kDa protein 1 (chaperonin)	HSPD1	chr2q33.1
Hs.528382	Intraflagellar transport 81 homolog (Chlamydomonas)	IFT81	chr12q24.13
Hs.443650	Jumonji, AT rich interactive domain 1B (RBP2-like)	JARID1B	chr1q32.1
Hs.492314	Lysosomal associated protein transmembrane 4 beta	LAPTM4B	chr8q22.1
Hs.332795	Leucine zipper, down-regulated in cancer 1-like	LDOC1L	chr22q13.31
Hs.514535	Lectin, galactoside-binding, soluble, 3 binding protein	LGALS3BP	chr17q25
Hs.177926	Exonuclease NEF-sp /// exonuclease NEF-sp	LOC81691	chr16p12.2
Hs.584775	Low density lipoprotein receptor-related protein 6	LRP6	chr12p11-p13
Hs.145481	Leucine rich repeat containing 16	LRRC16	chr6p22.2
Hs.571729	Melanoma antigen family D, 4	MAGED4	chrXp11.22
Hs.467634	Membrane bound O-acyltransferase domain containing 2	MBOAT2	chr2p25.1
Hs.526754	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	MEIS1	chr2p14-p13
Hs.270978	Mesoderm specific transcript homolog (mouse)	MEST	chr7q32
Hs.444483	Meiosis-specific nuclear structural 1	MNS1	chr15q21.3
Hs.485527	Methylmalonyl Coenzyme A mutase	MUT	chr6p21
Hs.21365	Nucleosome assembly protein 1-like 3	NAP1L3	chrXq21.3-q22
Hs.12554	Nucleosome assembly protein 1-like 5	NAP1L5	chr4q22.1
Hs.50130	Necdin homolog (mouse)	NDN	chr15q11.2–q12
Hs.481181	NIMA (never in mitosis gene a)-related kinase 1	NEK1	chr4q33
Hs.461787	Neuron derived neurotrophic factor	NENF	chr1q32.3
Hs.155017	Nuclear receptor interacting protein 1	NRIP1	chr21q11.2
Hs.632458	Nuclear casein kinase and cyclin-dependent kinase substrate 1	NUCKS1	chr1q32.1
Hs.526594	Obscurin-like 1	OBSL1	chr2q35
Hs.518774	Phosphoribosylaminoimidazole carboxylase synthetase	PAICS	chr4pter–q21
Hs.368610	3-Phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	chr4q24
Hs.493096	Pre-B-cell leukemia transcription factor 1	PBX1	chr1q23
Hs.191046	Phosphodiesterase 1A, calmodulin-dependent	PDE1A	chr2q32.1
Hs.487296	Phosphoglycerate dehydrogenase	PHGDH	chr1p12
Hs.498732	Phytanoyl-CoA 2-hydroxylase	PHYH	chr10pter–p11.2
Hs.468415	Phosphatidylinositol glycan anchor biosynthesis, class F	PIGF	chr2p21–p16
Hs.181272	Polycystic kidney disease 2 (autosomal dominant)	PKD2	chr4q21–q23
Hs.407580	Plakophilin 4	PKP4	chr2q23–q31
Hs.188614	Pleckstrin homology domain containing, family A member 5	PLEKHA5	chr12p12
Hs.409965	Pinin, desmosome-associated protein	PNN	chr14q21.1
Hs.632618	Peptidylprolyl isomerase (cyclophilin)-like 4	PPIL4	chr6q24–q25
Hs.99500	PR domain containing 16	PRDM16	chr1p36.23–p33
Hs.506852	Protein tyrosine phosphatase, non-receptor type 11	PTPN11	chr12q24
Hs.534612	RAB7B, member RAS oncogene family	RAB7B	chr1q32
Hs.193118	Retinoic acid induced 17	RAI17	chr10q22.3
Hs.513057	RAN binding protein 5	RANBP5	chr13q32.2
Hs.546282	Retinoblastoma binding protein 8	RBBP8	chr18q11.2
Hs.479396	Recombining binding protein suppressor of hairless (Drosophila)	RBPSUH	chr4p15.2
Hs.445030	Rho-related BTB domain containing 3	RHOBTB3	chr5q15
Hs.550150	Ring finger protein 12	RNF12	chrXq13–q21
Hs.13640	Roundabout, axon guidance receptor, homolog 1 (Drosophila)	ROBO1	chr3p12
Hs.301048	SEH1-like (Saccharomyces cerevisiae)	SEH1L	chr18p11.21
Hs.591753	Selenoprotein P, plasma, 1	SEPP1	chr5q31
Hs.384598	Serpin peptidase inhibitor, clade G (C1 inhibitor), member 1,	SERPING1	chr11q12–q13.1
Hs.305971	Solute carrier family 2 (facilitated glucose transporter), member 10	SLC2A10	chr20q13.1
Hs.167700	SMAD, mothers against DPP homolog 5 (Drosophila)	SMAD5	chr5q31
Hs.463439	Sperm-associated antigen 9	SPAG9	chr17q21.33
Hs.308418	Suppressor of hairy wing homolog 3 (Drosophila)	SUHW3	chrXq25
Hs.516153	Synaptic vesicle glycoprotein 2A	SV2A	chr1q21.2
Hs.581171	Transducin (beta)-like 1X-linked receptor 1	TBL1XR1	chr3q26.32
Hs.297324	TIMP metallopeptidase inhibitor 3	TIMP3	22q12.1–q13.2
Hs.216386	Transmembrane protein 5	TMEM5	chr12q14.2
Hs.181444	Transmembrane protein 9	TMEM9	chr1q32.1
Hs.440968	Tumor protein p53 binding protein, 1	TP53BP1	chr15q15–q21
Hs.500812	Translocated promoter region (to activated MET oncogene)	TPR	chr1q25
Hs.434971	Trophinin	TRO	Xp11.22–p11.21
Hs.507916	TSC22 domain family, member 1	TSC22D1	chr13q14
Hs.375468	TSPY-like 3 (pseudogene)	TSPYL3	chr20q11.21
Hs.173094	TSPY-like 5	TSPYL5	chr8q22.1
Hs.295732	UTP20, small subunit (SSU) processome component, homolog (yeast)	UTP20	chr12q23
Hs.113876	Wolf-Hirschhorn syndrome candidate 1	WHSC1	chr4p16.3
Hs.444451	Sterile alpha motif and leucine zipper containing kinase AZK	ZAK	chr2q24.2
Hs.269211	Zinc finger, MYM-type 4	ZMYM4	chr1p32–p34
Hs.85863	Zinc finger protein 135	ZNF135	chr19q13.4
Hs.306221	Zinc finger protein 326	ZNF326	chr1p22.2
Hs.584933	Zinc finger protein 334	ZNF334	chr20q13.12
Hs.270869	Zinc finger protein 410	ZNF410	chr14q24.3
Hs.29698	Zinc finger protein 605	ZNF605	chr12q24.33
Hs.433473	Zinc finger protein 667	ZNF667	chr19q13.43
Hs.382874	Zinc finger protein 70	ZNF70	chr22q11.2
Hs.127473	Zinc finger family member 788	ZNF788	chr19p13.2
Hs.37138	Zinc finger protein 85	ZNF85	chr19p13.1–p12
