Gene symbol	Gefitinib fold	Cetuximab fold	Description	Functional Category
MCM5	?1.77	1.28	Minichromosome maintenance deficient 5, cell division cycle 46	Cell cycle
PPP1CC	1.19	?1.57	Protein phosphatase 1, catalytic subunit, ? isoform	Cell cycle
CARD12	?1.57	?2.42	Caspase recruitment domain family, member 12	Cell death
E2F5	?1.28	?1.66	E2F transcription factor 5, p130-binding	Transcription related
EIF4A2	1.84	?1.14	Eukaryotic translation initiation factor 4A, isoform 2	Transcription related
CRSP6	?1.52	?2.32	Cofactor required for Sp1 transcriptional activation, subunit 6,77kDa	Transcription related
TRAF3	?1.43	?1.91	TNF receptor-associated factor 3	Transcription related
TP53BPL	?1.22	?1.83	Tumor protein p53-binding protein	Transcription related
HOXC10	?2.59	?1.32	Homeobox protein Hox-C10	Transcription related
HOXD8	?1.69	1.25	Homeobox protein Hox-D8	Transcription related
ZNFN1A1	?1.92	1.29	Zinc finger protein, subfamily 1A, 1 (Ikaros)	Transcription related
ZNF212	?1.08	1.58	Zinc finger protein 212	Transcription related
RRN3	?1.10	?1.71	ribosomal DNA (rDNA) transcription	Transcription related
EMS1	?1.49	1.39	Ems1 sequence (mammary tumor and squamous cell carcinoma-associated (p80/85 src substrate)	Cell proliferation/differentiation
CDK7	?1.02	?1.65	Cyclin-dependent kinase 7	Cell proliferation/differentiation
SMARCA5	?1.70	?2.24	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	Cell proliferation/differentiation
AMY	?1.48	1.74	Neuroblastoma (nerve tissue) protein	Cell proliferation/differentiation
PTPN6	?1.75	1.26	Protein tyrosine phosphatase, non-receptor type 6	Cell proliferation/differentiation
RECQL	?1.45	?2.50	RecQ protein-like (DNA helicase Q1-like)	DNA repair
TDG	?1.48	?1.91	Thymine-DNA glycosylase	DNA repair
NET1	?1.48	?2.67	Neuroepithelial cell transforming gene 1	Oncogene
PLAU	?1.32	?2.40	Plasminogen activator, urokinase	Secreted protein
PRKR	?2.42	?1.46	Protein kinase, interferon-inducible double stranded RNA dependent	Protein biosynthesis
PSMD10	?1.25	?1.89	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	Protein biosynthesis
PSMC6	?1.76	?2.45	Proteasome (prosome, macropain) 26S subunit, ATPase, 6	Protein biosynthesis
TLN1	1.04	1.95	Talin 1	Cytoskeleton
MFAP1	1.04	?1.56	Microfibrillar-associated protein 1	Cytoskeleton
COL4A1	1.56	2.07	Collagen, type IV, alpha 1	Extracellular matrix
PIK3CD	?1.35	1.5	Phosphoinositide-3-kinase, catalytic, ? polypeptide	Cell signaling
NTRK2	?1.44	1.45	Neurotrophic tyrosine kinase, receptor, type 2	Cell signaling
JAK1	?1.43	1.28	Janus kinase 1 (a protein tyrosine kinase)	Cell signaling
IGHG3	?1.49	1.22	Immunoglobulin heavy constant ? 3 (G3m marker)	Immune response
CSF1	?1.42	1.35	Colony stimulating factor 1 (macrophage)	Immune response
ENO1	?2.05	1.25	Enolase 1, (?)	Metabolism
GSTP1	1.02	1.64	Glutathione S-transferase ?	Metabolism
OAT	?1.68	?2.19	Ornithine aminotransferase (gyrate atrophy)	Metabolism
ENG	2.24	9.63	Endoglin (Osler-Rendu-Weber syndrome 1)	Angiogenesis
ITM2B	?1.17	?1.84	Integral membrane protein 2B	Basic cellular function/ Miscellaneous
CAPZA2	?1.39	?2.22	Capping protein (actin filament) muscle Z-line, ? 2	Basic cellular function/ Miscellaneous
HSPB2	?1.34	1.55	Heat shock 27kDa protein 2	Basic cellular function/ Miscellaneous
CLU	?1.03	?1.56	Clusterin (complement lysis inhibitor, SP-40, 40, sulfated glycoprotein 2)	Basic cellular function/ Miscellaneous
SOX22	?1.41	1.25	SOX-12 protein (SOX-22 protein)	Basic cellular function/ Miscellaneous
DKFZP564O0463	?1.59	?2.92	HSPC064 protein	Basic cellular function/ Miscellaneous
ESTs	?1.68	?1.16	EST, AI247680	Basic cellular function/ Miscellaneous
ESTs	?1.62	?1.01	EST, Moderately similar to chemokine receptor D6 [H. sapiens], g4665651	Basic cellular function/ Miscellaneous
