Gene	Locus link ID	AdjustedP	Function	Molecular arrangement
HOXA9	3205	<1E?13	Transcription factor	ALL1/AF4
HOXA10	3206	<1E?13	Transcription factor	ALL1/AF4
VLDLR	7436	<1E?13	Receptor	ALL1/AF4
MEIS1	4211	<1E?13	RNA polymerase II transcription factor	ALL1/AF4
DPYSL3	1809	<1E?13	Nucleic acid metabolism	ALL1/AF4
PALLADIN	23022	1 E?13	Cytoskeleton	ALL1/AF4
KIAA1157	57460	1.5 E?12	Unknown	ALL1/AF4
PROM1	8842	2.4 E?12	Membrane protein	ALL1/AF4
CCNA1	8900	1.3 E?11	Cell cycle control	ALL1/AF4
LGALS1	3956	2.3 E?1E	Control of cell proliferation	ALL1/AF4
PRSS12	8492	3.2 E?1E	Serine protease	ALL1/AF4
NPTX2	4885	4.4 E?1E	Pentaxin	ALL1/AF4
FUT4	2526	1 E?9	Fucosyltransferase	ALL1/AF4
TBC1D8	11138	4.8 E?9	Positive control of cell proliferation	ALL1/AF4
DIAPH2	1730	8 E?9	Actin binding	ALL1/AF4
DAD1	1603	1.2 E?7	Antiapoptosis	ALL1/AF4
HOXA5	3202	1.5 E?7	Transcription factor	ALL1/AF4
RHOBTB3	22836	3 E?7	Unknown	ALL1/AF4
KIAA0125	9834	4.1 E?7	Unknown	ALL1/AF4
PBX1	5087	<1E?13	Transcription factor	E2A/PBX1
FAT	2195	<1E?13	Cell adhesion	E2A/PBX1
KANK	23189	2.5 E?12	Cell cycle control	E2A/PBX1
FGF9	2254	1.7 E?11	Cell cycle control	E2A/PBX1
CRYM	1428	2.2 E?11	Vision	E2A/PBX1
NID2	22795	2.3 E?11	Cell adhesion	E2A/PBX1
KIAA0802	23255	8.7 E?11	Unknown	E2A/PBX1
LAMA5	3911	1.8 E?9	Differentiation	E2A/PBX1
AOX1	316	1.9 E?9	Oxidoreductase activity	E2A/PBX1
SLAM	6504	3.1 E?9	B-cell proliferation	E2A/PBX1
PRKCZ	5590	5.8 E?8	Protein kinase	E2A/PBX1
MERTK	10461	1.3 E?7	Oncogene/tyrosine kinase	E2A/PBX1
ALDH1A1	216	1.5 E?7	Aldehyde dehydrogenase activity	E2A/PBX1
PKM2	5315	4.3 E?7	Pyruvate kinase	E2A/PBX1
Unknown	Unknown	1.4 E?6	Unknown	E2A/PBX1
ACK1	10188	1.4 E?6	Non–receptor tyrosine kinase	E2A/PBX1
NCBP2	22916	1.6 E?6	RNA binding	E2A/PBX1
BLK	640	2.1 E?6	Protein tyrosine kinase	E2A/PBX1
TMSNB	11013	2.4 E?6	Actin binding	E2A/PBX1
TRIB2	28951	1.5 E?5	Protein kinase	E2A/PBX1
CGI-49	51097	1.6 E?5	Unknown	E2A/PBX1
LRMP	4033	1.7 E?5	Lymphocyte development	E2A/PBX1
KIAA0889	25781	2.1 E?5	Unknown	E2A/PBX1
E2F5	1875	2.1 E?5	Transcription factor	E2A/PBX1
CDW52	1043	9.4 E?13	Integral to plasma membrane	BCR/ABL
ABL1	25	1.3 E?11	Tyrosine kinase activity	BCR/ABL
YES1	7525	6.1 E?11	Tyrosine kinase activity	BCR/ABL
SOCS2	8835	5.7 E?1E	Regulation of cell growth	BCR/ABL
CCND2	894	3 E?9	Cell cycle progression	BCR/ABL
HLA-DPA1	3113	4.8 E?9	HLA class II antigen	BCR/ABL
HLA-DOA	3111	3.6 E?8	HLA class II antigen	BCR/ABL
CD2AP	23607	4 E?8	Cytoskeleton	BCR/ABL
TCF8	6935	5 E?8	Growth inhibition	BCR/ABL
HLA-C	3107	5.9 E?8	HLA class II antigen	BCR/ABL
FYN	2534	1 E?7	Protein kinase activity	BCR/ABL
HLA-DPB1	3115	1.3 E?7	HLA class II antigen	BCR/ABL
GAB1	2549	1.6 E?7	Cell proliferation	BCR/ABL
IFITM1	8519	3.6 E?7	IFN response	BCR/ABL
OPTN	10133	3.6 E?7	TNF inhibition	BCR/ABL
ITGA6	3655	5.9 E?7	Integrin complex	BCR/ABL
HLA-A	3105	7.1 E?7	HLA class I antigen	BCR/ABL
PSAP	5660	9.2 E?7	Saposin	BCR/ABL
E2F2	1870	1.1 E?6	Cell cycle progression	BCR/ABL
CD24	934	1.8 E?6	Plasma membrane	BCR/ABL
