Gene symbol	Gene name	Fold change	P
PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	2.71	< .001
CST6	Cystatin E/M	2.7	< .001
NFIC	Nuclear factor I/C (CCAAT-binding transcription factor)	2.69	< .001
FCGBP	Fc fragment of IgG-binding protein	2.67	< .001
LAMC3	Laminin, ? 3	2.53	0.003
LOR	Loricrin	2.47	< .001
EPS8L1	Epidermal growth factor receptor pathway substrate 8 (EPS8)–like 1	2.47	< .001
SEMA3B	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	2.45	< .001
LCE2B	Late cornified envelope 2B	2.31	< .001
CTNNBIP1	Catenin, ?-interacting protein 1	2.26	< .001
PARD3	Par-3 partitioning defective 3 homolog (C elegans)	2.2	< .001
MATN4	Matrilin 4	2.18	0.033
HLA-DQB2	Major histocompatibility complex, class II, DQ ? 2	2.1	0.001
TCF7L1	Transcription factor 7-like 1 (T-cell specific, HMG-box)	2.05	< .001
CD207	CD207 antigen, langerin	2.05	0.001
KRT2A	Keratin 2A (epidermal ichthyosis bullosa of Siemens)	2.02	< .001
COL7A1	Collagen, type VII, ? 1	2.01	< .001
LTBP4	Latent transforming growth factor ?–binding protein 4	2	< .001
FLG	Filaggrin	1.91	< .001
ST6GALNAC2	ST6-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	1.89	< .001
