Accession no. c	Symbol	Title	Function b	Median d
AW008222	PGC	Progastricsin (pepsinogen C)	Enzyme (precursor of pepsin)	-20.14449893
AB039886	AMP18	18 kDa antrum mucosa protein	Unknown	-19.76923519
M63154	GIF	Gastric intrinsic factor (vitamin B synthesis)	Ion transportation	-19.40546803
M84337	PAP	Pancreatitis-associated protein	Cell proliferation, cell adhesion	-18.78530191
U07643	LTF	Lactotransferrin	Humoral immune response	-18.55183966
NM_002371	MAL	Mal, T-cell differentiation protein	Signal transduction	-18.13945316
NM_001869	CPA2	Carboxypeptidase A2 (pancreatic)	Proteolysis, vacuolar protein catabolism	-17.97663684
AA992910	CTXL	Cortical thymocyte receptor (X. laevis CTX) like	Membrane integrity	-17.08322999
BE719697	LOC130576	Hypothetical protein LOC130576	Unknown	-16.7612826
N51406	FLJ14503	Hypothetical protein FLJ14503	Unknown	-16.14088801
AV704982	GSTA1	Glutathione S-transferase A1	Carcinogen and toxic metabolism	-16.0913734
M57951	UGT1A4	UDP glycosyltransferase 1 family, polypeptide A4	Carbohydrate metabolism	-16.00923816
AI340056		ESTs	Unknown	-16.00834108
L76465	HPGD	Hydroxyprostaglandin dehydrogenase 15-(NAD)	Prostaglandin metabolism	-15.95505956
AA400080		ESTs	Unknown	-15.67843787
AK025909		Homo sapiens cDNA: FLJ22256 fis, clone HRC02860.	Unknown	-15.12654316
AA788924	C5	Complement component 5	Immune response	-14.84904567
T95199	MT1F	Metallothionein 1F (functional)	Metal ion binding	-13.91008053
AF043498	PSCA	Prostate stem cell antigen	Tumor Ag	-10.26053898
AA741431	TFF2	Trefoil factor 2 (spasmolytic protein 1)	Defense response	-10.10803184
AA522445	SYTL2	Synaptotagmin-like 2	Neurotransmission regulator	-9.563551832
AI247475	AKR1C2	Aldo–keto reductase family 1, member C2	Electron transportation	-7.91861773
AI627636		Homo sapiens cDNA FLJ32260 fis, clone PROST1000334.	Unknown	-7.73673358
