GenBank	 aYoung	 aOld	 aWS	Old b 4NQO	Y	UV	WS b 4NQO	Y	UV	Gene name	Synonym	Function
 NM_001219	9.7 IE	6.8 IE	7.9 IE	+	+	+	+	+	+	Calumenin	CALU	Cancer
 AA723035	4.7	NA	NA	+	NA	+	+	NA	+	Zinc-finger protein 36, C3H type-like 1	ZFP36L1	Cancer
 T95823	15.2 IE	NA	NA	NA	NA	NA	+	NA	+	Cyclin L2	CCNL2	Cell cycle
 NM_006565	8.5	NA	NA	+	NA	+	NA	NA	+	CCCTC-binding factor (zinc-finger protein)	CTCF	Cell cycle
 NM_005356	4.5 IE	NA	NA	NA	NA	+	NA	NA	NA	Lymphocyte-specific protein tyrosine kinase	LCK	Cell cycle
 NM_001350	17.7 IE	24.4 IE	13.5 IE	+	+	+	+	+	+	Death-associated protein 6	DAXX	Cell death
 AA156940	9.3	NA	NA	+	NA	+	NA	NA	+	Programmed cell death 5	PDCD5	Cell death
 AL132665	4.4 IE	NA	NA	+	+	NA	+	NA	+	BCL2/adenovirus E1B 19 kDa interacting protein 3-like	BNIP3L	Cell death
 NM_000598	40.9 IE	46.1 IE	30.6 IE	+	+	+	+	+	+	Insulin-like growth factor-binding protein 3	IGFBP3	Cell growth
 NM_002026	35.4 IE	34.7 IE	25.5 IE	+	+	+	+	+	+	Fibronectin 1	FN1	Cell growth
 NM_002026	26.4 IE	27.7 IE	22.1 IE	+	+	+	+	+	+	Fibronectin 1	FN1	Cell growth
 NM_002011	21.2 IE	21.1 IE	11.6	+	+	+	+	+	+	Fibroblast growth factor receptor 4	FGFR4	Cell growth
 NM_001901	7.5 IE	8.9 IE	NA	+	+	+	NA	+	+	Connective tissue growth factor	CTGF	Cell growth
 NM_002506	4.9 IE	5.5	NA	+	+	+	+	+	+	Nerve growth factor, beta polypeptide	NGFB	Cell growth
 X16323	3.8	NA	NA	NA	NA	NA	NA	+	NA	Hepatocyte growth factor (hepapoietin A; scatter factor)	HGF	Cell growth
 NM_003380	19.6 IE	22.5 IE	15.2 IE	+	+	+	+	+	+	Vimentin	VIM	Chaperone
 N93021	5.1 IE	5.4 IE	NA	+	+	+	+	NA	+	Tubulin-specific chaperone a	TBCA	Chaperone
 AA443630	6.5 IE	7.8 IE	5.6 IE	+	+	+	+	+	+	Aldehyde dehydrogenase 3 family, member B2	ALDH3B2	Enzyme
 R45108	6.3 IE	4.4 IE	NA	+	+	+	NA	+	+	Thioredoxin reductase 2	TXNRD2	Enzyme
 AA456051	5.7 IE	5.4 IE	NA	+	+	+	NA	+	+	UDP-glucose ceramide glucosyltransferase	UGCG	Enzyme
 T98195	4.8	NA	NA	NA	NA	NA	NA	+	+	TAF10 RNA polymerase II, TATA box-binding protein	TAF10	Enzyme
 AA458661	4.4/-4.4	5.3/-4.3	NA	+	—	+	NA	NA	+	Hydroxyacyl-Coenzyme A dehydrogenase, type II	HADH2	Enzyme
 R00496	3.9	NA	NA	+	+	NA	NA	+	+	UDP-N-acetyl-alpha-d-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	GALNT2	Enzyme
 R76394	3.8	NA	NA	+	NA	NA	+	NA	+	Protease, serine, 23	SPUVE	Enzyme
 N32919	-3.4	NA	NA	NA	NA	NA	NA	NA	—	Glucosamine-phosphate N-acetyltransferase 1	GNPNAT1	Enzyme
 R28660	-4.0 IE	NA	NA	—	NA	NA	NA	NA	—	Phosphodiesterase 3A, cGMP-inhibited	PDE3A	Enzyme
 N32019	-4.8 IE	NA	NA	—	NA	NA	NA	—	—	Choline/ethanolaminephosphotransferase	CEPT1	Enzyme
 AA459381	-5.0 IE	NA	NA	—	NA	—	NA	—	—	Sphingosine-1-phosphate lyase 1	SGPL1	Enzyme
 NM_003368	-5.9 IE	-4.5 IE	NA	—	—	—	NA	—	—	Ubiquitin-specific protease 1	USP1	Enzyme
 N80593	-5.0 IE	NA	NA	—	NA	—	NA	NA	—	Gamma-aminobutyric acid (GABA) B receptor, 1	GABBR1	GABA signalling
 NM_002064	6.4	NA	NA	+	NA	NA	+	NA	+	Glutaredoxin (thioltransferase)	GLRX	Glutamate signalling
 NM_005100	5.2	9.4 IE	6.1 IE	+	+	+	+	+	+	A kinase (PRKA) anchor protein (gravin) 12	AKAP12	G-protein signalling
