Rank	UniGene cluster	Genbank accession	Gene title	Risk of relapsea	P
1	Hs.189095	NM_020436	Sal-like 4	2.04	0
2	Hs.132860	AA845608	ESTs	0.341	0
3	Hs.75616	NM_014762	24-Dehydrocholesterol reductase (seladin-1)	0.293	0
4	Hs.42321	NM_173605	Hypothetical protein LOC283518	2.133	0
5	Hs.80667	NM_004726	RALBP1 associated Eps domain containing 2 (REPS2)	0.172	0
6	Hs.163543	NM_144704	Hypothetical protein FLJ30473	3.241	0
7	Hs.286	NM_000968	Ribosomal protein L4	0.215	0
8	Hs.114670	D49387	Leukotriene B4 12-hydroxydehydrogenase	2.38	0
9	Hs.366053	NM_024080	Transient receptor potential cation channel, subfamily M, member 8 (trp-p8)	0.26	0
10	Hs.366	AL389978	Immunoglobulin heavy chain variable region	2.436	0.001
11	NA	BE250014	ESTs	0.295	0.001
12	Hs.257391	NM_032293	Hypothetical protein DKFZp761J1523	3.138	0.001
13	Hs.264330	AK024677	N-acylsphingosine amidohydrolase (acid ceramidase)-like	0.256	0.001
14	Hs.123468	NM_033225	CUB and Sushi multiple domains 1	0.185	0.001
15	NA	AV656002	EST	0.251	0.001
16	Hs.129977	AW452344	ESTs	0.229	0.001
17	Hs.277728	NM_012429	SEC14-like 2	0.348	0.001
18	Hs.117950	NM_006452	Phosphoribosylaminoimidazole carboxylase	0.321	0.001
19	Hs.424973	BC018081	Clone IMAGE:4793702	0.225	0.001
20	NA	AA354685	EST	0.363	0.001
21	Hs.356547	NM_138799	Hypothetical protein BC016005	0.337	0.001
22	Hs.7780	AL049969	cDNA DKFZp564A072	0.186	0.001
23	Hs.123387	AW204707	ESTs	0.375	0.001
24	Hs.377879	AK055649	cDNA FLJ31087 fis	3.112	0.001
25	Hs.248056	NM_005306	G protein-coupled receptor 43	0.211	0.001
26	Hs.301947	NM_014509	Kraken-like serine hydrolase	0.212	0.001
27	Hs.11923	NM_018982	Hypothetical protein DJ167A19.1	0.155	0.001
28	Hs.247423	NM_001617	Adducin 2 (?) (ADD2)	2.044	0.001
29	NA	D80630	EST	2.753	0.001
30	Hs.21293	NM_003115	UDP-N-acteylglucosamine pyrophosphorylase 1	0.185	0.001
31	Hs.292859	C19035	ESTs, moderately similar to VPP2_HUMAN	2.375	0.001
32	Hs.68864	AW845987	Lipase, member H (LIPH), mRNA	0.273	0.001
33	Hs.405944	X57819	Ig ? chain	2.388	0.002
34	Hs.110103	NM_018427	RNA polymerase I transcription factor RRN3	0.337	0.002
35	Hs.256150	NM_080654	NY-REN-41 antigen	2.718	0.002
36	Hs.76847	NM_014610	? Glucosidase II alpha subunit	0.135	0.002
37	Hs.109694	AI199981	Oxysterol binding protein-like 8 (OSBPL8), mRNA.	4.511	0.002
38	Hs.71119	NM_006765	Putative prostate cancer tumor suppressor (N33)	0.281	0.002
39	Hs.146162	AK075364	ESTs	2.151	0.002
40	Hs.333417	NM_004930	Capping protein (actin filament) muscle Z-line, ?	0.291	0.002
41	Hs.410998	AA402587	ESTs, Highly similar to MLL septin-like fusion	1.507	0.002
42	Hs.79136	NM_012319	LIV-1 protein, estrogen regulated	0.21	0.002
43	Hs.109154	AW969025	ESTs	0.281	0.002
44	Hs.433622	NM_007085	Follistatin-like 1 (FSTL1)	0.233	0.002
45	NA	T65456	EST	0.195	0.002
46	Hs.405946	NM_003877	Suppressor of cytokine signaling 2 (SOCS2)	0.448	0.002
47	Hs.127699	NM_001369	Dynein, axonemal, heavy polypeptide 5 (DNAH5)	0.284	0.002
48	Hs.422118	NM_001402	Eukaryotic translation elongation factor 1 alpha 1	0.175	0.002
49	Hs.92033	NM_030768	Integrin-linked kinase-associated serine/threonine phosphatase 2C	5.564	0.002
50	Hs.124895	AA907734	ESTs	3.399	0.002
