Accession	Gene ID	Primary sequence name	NMBA vs control
BE116217	24161	Acp1	1.5
TC462241	361886	Adamts6_ predicted	1.71
XM_217560	302290	Ap3s1_ predicted	1.81
NM_053578	94170	Atp6v0e1	1.54
XM_342932	362614	Atpbd1b_ predicted	1.91
XM_215892	296290	Bpil1_ predicted	1.7
XM_215849	296137	Bub1_ predicted	1.58
XM_344255	364183	Cno	1.56
TC470302	54245	Crk	1.62
AW917841	60465	Cttn	1.58
NC_005100	24895	Cyp2a2	2.2
NM_001007613	287765	Ddx5	1.56
CB546560	303608	Ftsj3	2.22
NM_001007731	361171	Golga7	1.55
NM_022674	58940	H2afz	1.5
BF290649	25460	Hmmr	?1.74
NM_173128	286912	Krt20	1.81
XM_233763	298721	LOC298721	2.83
XM_214338	364558	LOC364558	?1.97
ENSRNOT00000033720	678772	LOC678772	1.79
AI511259	679714	LOC679714	1.69
XM_213244	681124	LOC681124	2.6
ENSRNOT00000005240	683813	LOC683813	1.92
XM_217497	685792	LOC685792	1.66
BQ781225	303200	Map2k3	1.68
CB545171	494345	MGC72992	1.55
NM_001007678	304807	Mss4	?1.98
NM_133546	171071	Myd116	1.69
AI230347	300795	Ns5atp9	1.6
NM_201418	300795	Ns5atp9	1.52
CB545486	298296	Pcsk9	2.33
XM_343776	81748	Pls3	2.1
AW141337	29673	Psma6	1.61
NM_017076	25066	PVR	1.73
NM_031090	81754	Rab1	1.77
BE117471	308968	Rbbp6	?1.50
BE109962	294326	RGD1303003	?1.59
TC475392	363213	RGD1304653_predicted	1.8
XM_343441	315863	RGD1306773	?1.53
XM_213506	501731	RGD1561020_predicted	1.76
XM_228541	317241	Rnf12	2.13
NM_053972	117043	RragB	1.62
AI556201	64551	7-Sep	1.68
NM_207605	310688	Sh2d2a	3.41
XM_220230	302981	Spsb3_ predicted	1.55
XM_233556	313620	Srrm1_ predicted	?1.52
NM_012671	24827	Tgfa	1.63
NM_031722	65165	Tmed2	1.58
NM_001005529	287208	Ttc1	1.79
NM_080887	140922	Txnl1	1.74
XM_222627	304766	Ubxd2	1.68
NM_001008301	291796	Usp14	1.57
NM_019379	56042	Vdp	1.55
