Function	Gene name	Accession number	Wild-type normoxia	Absolute expression Wild-type hypoxia	Fold-change
Glycolysis	Phosphofructokinase, liver, B-type	J03928	415.71	1876.83	4.5
Glycolysis	Hexokinase 2	Y11 666	32.96	141.36	4.3
Glycolysis	Phosphofructokinase, platelet	AI853802	87.04	359.17	4.1
Glycolysis	Lactate dehydrogenase 1, A chain	M17516	936.71	3198.15	3.4
Glycolysis	Aldolase 1, A isoform	AV102 160	266.69	844.21	3.2
Glycolysis	Phosphoglycerate kinase 1	M15668	923.73	2923.63	3.2
Glycolysis	Aldolase 3, C isoform	AW121 134	115.15	359.33	3.1
Glycolysis	Glucose phosphate isomerase 1 complex	M14220	234.31	648.98	2.8
Glycolysis	Aldolase	AA144642	784.79	2167.57	2.8
Glycolysis	Triosephosphate isomerase	L31777	1786.92	4876.85	2.7
Glycolysis	Aldolase 1, A isoform	Y00 516	1501.07	3664.96	2.4
Glycolysis	Enolase 1, alpha non-neuron	AI841389	1298.57	3039.08	2.3
Glycolysis	Pyruvate kinase 3	AV368 209	1484.94	3474.73	2.3
Metabolism	Glycosylation-dependent cell adhesion molecule 1	AA691492	161.54	682.39	4.2
Metabolism	Galactokinase	AB027012	262.88	940.66	3.6
Metabolism	Adenylate kinase 4	AW061 337	86.27	235.55	2.7
Metabolism	Glyoxylate reductase/hydroxypyruvate reductase	AI844995	200.65	532.26	2.7
Metabolism	Glycogen synthase 1, muscle	U53 218	237.62	557.13	2.3
Prolyl hydroxylase	Expressed sequence AA407196	AV370 017	160.19	582.29	3.6
Prolyl hydroxylase	EGL nine homologue 1 (C. elegans)	AI850202	238.97	772.62	3.2
Prolyl hydroxylase	Procollagen-proline	U16 163	226.92	648.87	2.9
Apoptosis	BNIP3	AF041054	47.06	227.74	4.8
Cytoskeleton	Capping protein (actin filament), gelsolin-like	AV225 548	156.36	393.92	2.5
Cytoskeleton	Keratin complex 1, acidic, gene 17	M13805	389.57	933.91	2.4
Cytoskeleton	PDZ and LIM domain 1 (elfin)	AV149 007	142.73	322.02	2.3
Cytoskeleton	Plectin 1	AW123 286	213.02	462.46	2.2
Cytoskeleton	Keratin complex 1, acidic, gene 19	AU040 563	923.96	1938.23	2.1
Cytoskeleton	RhoA proto-oncogene	AI846668	770.76	1534.5	2
Differentiation	Small proline-rich protein 1A	AF057156	210.5	884.43	4.2
Differentiation	N-myc downstream regulated-like	U52 073	663.47	2120.35	3.2
Pre-mRNA splicing factor	Lectin, galactose binding, soluble 3/galectin-3	X16 834	121.65	277.31	2.3
Amine transporter	Solute carrier family 6	U76 306	445.13	1081.65	2.4
Nucleosome formation	H3 histone, family 2	U62 674	195.92	452.98	2.3
Immune system	MHC class I	M20985	265.5	517.73	2
Immune system	Complement component 3	K02782	584.79	1176.06	2
Myogenesis	Cysteine-rich protein 3	D88791	277.72	550.63	2
Known	Hypoxia-induced gene 1	AI836820	34.97	112.98	3.2
Known	SRBC	AW048 944	591.71	1334.28	2.3
Known	LKHA leukotrine A-4 hydrolase	AI835242	196.2	386.58	2
Unknown	RIKEN cDNA 2 310 056P07 gene	AW123 751	159.67	665.93	4.2
Unknown	RIKEN cDNA 2 610 020G18 gene	AI842432	369.79	1097.72	3
Unknown	Expressed sequence AI173274	AI642389	127.8	322.06	2.5
Unknown	RIKEN cDNA 2 010 315L10 gene	AI835662	148.28	315.96	2.1
Unknown	Cluster Incl AI853863	AI853863	291.84	605.23	2.1
Unknown	Glutamine synthetase pseudogene 1	M60803	254.47	520.68	2
