Gene symbol	Fold change	Gene title	UniGene
CXCL14	121	Chemokine (C-X-C motif) ligand 14	Hs.483444
CD24	115	CD24 antigen (small-cell-lung carcinoma cluster 4 antigen)	Hs.375108
SPANXA1 SPANXB1 SPANXA2 SPANXC SPANXB2	109	Sperm protein associated with the nucleus, X-linked, family member A1, B1, A2, C, B2	Hs.558533
GREM1	100	Gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	Hs.40098
NNMT	76	Nicotinamide N-methyltransferase	Hs.503911
DKK3	72	Dickkopf homolog 3 (Xenopus laevis)	Hs.292156
PDGFC	66	Platelet-derived growth factor C	Hs.148162
HSD17B2	65	Hydroxysteroid (17-beta) dehydrogenase 2	Hs.162795
CRIM1	62	Cysteine-rich transmembrane BMP regulator 1 (chordin-like)	Hs.332847
SERPINE2	54	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	Hs.38449
KYNU	52	Kynureninase (l-kynurenine hydrolase)	Hs.470126
SCN3A	51	Sodium channel, voltage-gated, type III, alpha	Hs.435274
AXL	49	AXL receptor tyrosine kinase	Hs.590970
MYO10	49	Myosin X	Hs.481720
ALDH1A1	46	Aldehyde dehydrogenase 1 family, member A1	Hs.76392
SPOCK	44	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	Hs.124611
CYTL1	44	Cytokine-like 1	Hs.13872
BAMBI	43	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	Hs.533336
SLC1A1	34	Solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	Hs.444915
PLK2	34	Polo-like kinase 2 (Drosophila)	Hs.398157
