Accession	Symbol	Description	P-value
 R43328	KIAA0974	KIAA0974 protein	5.15E-06
 N67639	CS	Citrate synthase	1.77E-05
 H05112	SMNDC1	Survival motor neuron domain containing 1	9.25E-05
 H10788	CIT	Citron (rho-interacting, serine/threonine kinase 21)	9.32E-05
 AA884837	C10orf42	Chromosome 10 open reading frame 42	1.24E-04
 AA457671	P4HA1	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	2.91E-04
 AA682438	DHFR	Dihydrofolate reductase	4.66E-04
 AA427401	FLJ11730	Sarcoma antigen NY-SAR-91	6.23E-04
 T83665	FLJ36874	Hypothetical protein FLJ36874	9.56E-04
 R07115	PH-4	Hypoxia-inducible factor prolyl 4-hydroxylase	0.001102
 AA488332	PA2G4	Proliferation-associated 2G4, 38 kDa	0.001268
 AA426039	KIAA0391	KIAA0391 protein	0.001347
 AA455448	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	0.001358
 N69466	CPSF2	Cleavage and polyadenylation specific factor 2, 100 kDa	0.001384
 AI005540	KIAA0261	KIAA0261 protein	0.002167
