Accession no.	UniSTS_NUM	Symbol	Name
AI827230	374481	APCDD1	Adenomatosis polyposis coli down-regulated 1
BF965257	74120	APM2	Adipose specific 2
AA156854	114309	APOL1	Apolipoprotein L, 1
NM_004024	460	ATF3	Activating transcription factor 3
M94345	82422	CAPG	Capping protein (actin filament), gelsolin-like
AF035752	139851	CAV2	Caveolin 2
D13639	75586	CCND2	Cyclin D2
M16445	89476	CD2	CD2 antigen (p50), sheep red blood cell receptor
AI750036	22116	CDC14B	CDC14 cell division cycle 14 homolog B (Saccharomyces cerevisiae)
AK021865	173380	CKIP-1	CK2 interacting protein 1; HQ0024c protein
X15880	108885	COL6A1	Collagen, type VI,  a1
L16510	297939	CTSB	Cathepsin B
U03688	154654	CYP1B1	Cytochrome P450, family 1, subfamily B, polypeptide 1
M62401	82568	CYP27A1	Cytochrome P450, family 27, subfamily A, polypeptide 1
X90579	166079	CYP3A5P2	Cytochrome P450, family 3, subfamily A, polypeptide 5 pseudogene 2
X93920	180383	DUSP6	Dual specificity phosphatase 6
NM_001421	151139	ELF4	E74-like factor 4 (ets domain transcription factor)
AF275945	116651	EVA1	Epithelial V-like antigen 1
AW300770	61265	FAM3D	Family with sequence similarity 3, member D
D84239	111732	FCGBP	Fc fragment of IgG binding protein
AF182316	234680	FER1L3	fer-1-like 3, myoferlin (C. elegans)
NM_001924	80409	GADD45A	Growth arrest and DNA-damage-inducible, c
W91908	6079	GALNAC4S-6ST	B cell RAG associated protein
AA666119	92287	GBP3	Guanylate binding protein 3
NM_000165	74471	GJA1	Gap junction protein,  a1, 43 kDa (connexin 43)
J03004	77269	GNAI2	Guanine nucleotide binding protein (G protein), c inhibiting activity polypeptide 2
J03817	301961	GSTM1	Glutathione S-transferase M1
M33906	198253	HLA-DQA1	Major histocompatibility complex, class II, DQ  &#3;1
NM_018950	110309	HLA-F	Major histocompatibility complex, class I, F
U26726	1376	HSD11B2	Hydroxysteroid (11- B) dehydrogenase 2
BF793633	180919	ID2	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
AV646610	34853	ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
M15395	83968	ITGB2	Integrin,  B2
U25138	93841	KCNMB1	Potassium large conductance calcium-activated channel, subfamily M, B member 1
AB012955	129867	KIP2	DNA-dependent protein kinase catalytic subunit-interacting protein 2
X72760	90291	LAMB2	Laminin,  B2 (laminin S)
Y00711	234489	LDHB	Lactate dehydrogenase B
M36682	621	LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3)
L13210	79339	LGALS3BP	Lectin, galactoside-binding, soluble, 3 binding protein
X03444	377973	LMNA	Lamin A/C
AA779709	7457	MAGE-E1	MAGE-E1 protein
L08895	78995	MEF2C	MADS box transcription enhancer factor 2, polypeptide C
AF017418	104105	MEIS2	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)
AF203032	198760	NEFH	Neurofilament, heavy polypeptide 200 kDa
M12267	75485	OAT	Ornithine aminotransferase (gyrate atrophy)
AW051593	189999	P2RY5	Purinergic receptor P2Y, G-protein coupled, 5
BG028573	64056	PAK1	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)
BF969355	8364	PDK4	Pyruvate dehydrogenase kinase, isoenzyme 4
AA253194	303125	PIGPC1	p53-induced protein PIGPC1
M22430	76422	PLA2G2A	Phospholipase A2, group IIA (platelets, synovial fluid)
D00244	77274	PLAU	Plasminogen activator, urokinase
X56134	297753	RPLP2	Ribosomal protein, large P2
W73992	132792	SDCCAG43	Serologically defined colon cancer antigen 43
AW965789	66450	SENP1	Sentrin/SUMO-specific protease
AF029082	184510	SFN	Stratifin
U44403	75367	SLA	Src-like-adaptor
AV705470	380991	SNF1LK	SNF1-like kinase
Y08110	101657	SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing
BE439695	160483	STOM	Stomatin
AB042646	94785	TGIF2	TGFB-induced factor 2 (TALE family homeobox)
NM_003241	2387	TGM4	Transglutaminase 4 (prostate)
U21847	82173	TIEG	TGFB inducible early growth response
M12670	5831	TIMP1	Tissue inhibitor of metalloproteinase 1
AA837002	9741	TJP4	Tight junction protein 4 (peripheral)
M35252	84072	TM4SF3	Transmembrane 4 superfamily member 3
M19309	73980	TNNT1	Troponin T1, skeletal, slow
W72411	137569	TP73L	Tumor protein p73-like
H99016	171501	USP11	Ubiquitin specific protease 11
AF077197	74669	VAMP5	Vesicle-associated membrane protein 5 (myobrevin)
AW137980	115659	VIK	vav-1 interacting Kruppel-like protein
D88154	103665	VILL	Villin-like
M92843	343586	ZFP36	Zinc finger protein 36, C3H type, homolog (mouse)
BF055342	326801	ZNF6	Zinc finger protein 6 (CMPX1)
AI769569	112472	NA	ESTs
AW510657	156044	NA	ESTs
BF111819	21470	NA	ESTs
T79422	119237	NA	ESTs
AI304862	12867	NA	ESTs
AA705222	119880		ESTs
AA768607	122926		ESTs
AI052358	131741		ESTs
AW888225	250723		ESTs, Weakly similar to hypothetical protein FLJ20378  [Homo sapiens]
BF223679	118747		Homo sapiens cDNA FLJ33407 fis, clone BRACE2010535.
AI821113	292781		Homo sapiens cDNA FLJ36327 fis, clone THYMU2005748.
AL360198	22870		Homo sapiens mRNA insert cDNA clone EUROIMAGE 34988.
AL050204	28540		Homo sapiens mRNA; cDNA DKFZp586F1223 (from clone DKFZp586F1223)
AV733210	367688		Homo sapiens, clone IMAGE:4794726, mRNA
U57961	181304	13CDNA73	Hypothetical protein CG003
AL050289	7446	C6orf4	Chromosome 6 open reading frame 4
AW956111	79404	D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence
AK001021	22505	FLJ10159	Hypothetical protein FLJ10159
R43725	98927	FLJ13993	Hypothetical protein FLJ13993
D42047	82432	KIAA0089	KIAA0089 protein
NM_014766	75137	KIAA0193	KIAA0193 gene product
