Systematic Name	Common Name	GenBank ID	LLID	Description	Function
161049_at	Foxg1	NM_008241	15228	forkhead box G1	Transcription factors
93880_at	Eomes	XM_135209	13813	eomesodermin homolog (Xenopus laevis)	Transcription factors
103532_at	Eomes	XM_135209	13813	eomesodermin homolog (Xenopus laevis)	Transcription factors
95082_at	Igfbp3	NM_008343	16009	insulin-like growth factor binding protein 3	Cell cycle/cell growth
103904_at	Igfbp6	NM_008344	16012	insulin-like growth factor binding protein 6	Cell cycle/cell growth
92471_i_at	Slfn2	NM_011408	20556	schlafen 2	Cell cycle/cell growth
161294_f_at	Clu	NM_013492	12759	clusterin	Cell cycle/cell growth
103490_at	Wnt11	NM_009519	22411	wingless-related MMTV integration site 11	Cell signaling
95772_r_at	Fzd4	NM_008055	14366	frizzled homolog 4	Cell signaling
95771_i_at	Fzd4	NM_008055	14366	frizzled homolog 4	Cell signaling
101841_at	Egfr	NM_007912	13649	epidermal growth factor receptor	Cell signaling
93981_at	Plat	NM_008872	18791	plasminogen activator, tissue	ECM/EC space
93383_at	Col7a1	NM_007738	12836	procollagen, type VII, alpha 1	ECM/EC space
99847_at	Siat4a	NM_009177	20442	sialyltransferase 4A	ECM/EC space
100120_at	Nid1	NM_010917	18073	mouse entactin (ENT) gene, exon 3	ECM/EC space
96640_at	3110001A13Rik	NM_025626	66540	RIKEN cDNA 3110001A13 gene	Other
103824_at	Wfs1	NM_011716	22393	Wolfram syndrome 1 homolog (human)	Other
161026_s_at	Sytl4	NM_013757	27359	synaptotagmin-like 4	Other
102307_at	Dcx	NM_010025	13193	doublecortin	Other
