probeID	Gene Symbol	Gene description	Binreg coefficient
204822_at	TTK	TTK protein kinase	0.067172
218542_at	CEP55	centrosomal protein 55kDa	0.061636
219918_s_at	ASPM	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	0.060853
202870_s_at	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	0.060695
219148_at	PBK	PDZ binding kinase	0.059816
209642_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	0.058783
203764_at	DLG7	discs, large homolog 7 (Drosophila)	0.057545
204962_s_at	CENPA	centromere protein A, 17kDa	0.056661
204641_at	NEK2	NIMA (never in mitosis gene a)-related kinase 2	0.055251
201292_at	TOP2A	topoisomerase (DNA) II alpha 170kDa	0.054491
210052_s_at	TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	0.054288
203362_s_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	0.054199
207828_s_at	CENPF	centromere protein F, 350/400ka (mitosin)	0.052567
204444_at	KIF11	kinesin family member 11	0.0511
204162_at	KNTC2	kinetochore associated 2	0.050452
202095_s_at	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	0.050219
218355_at	KIF4A	kinesin family member 4A	0.049856
201890_at	RRM2	ribonucleotide reductase M2 polypeptide	0.049249
204825_at	MELK	maternal embryonic leucine zipper kinase	0.049017
214710_s_at	CCNB1	cyclin B1	0.04735
202954_at	UBE2C	ubiquitin-conjugating enzyme E2C	0.047064
210559_s_at	CDC2	cell division cycle 2, G1 to S and G2 to M	0.046968
218009_s_at	PRC1	protein regulator of cytokinesis 1	0.046634
203755_at	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	0.046533
218883_s_at	MLF1IP	MLF1 interacting protein	0.046508
209773_s_at	RRM2	ribonucleotide reductase M2 polypeptide	0.04648
218755_at	KIF20A	kinesin family member 20A	0.046466
219787_s_at	ECT2	epithelial cell transforming sequence 2 oncogene	0.046039
202580_x_at	FOXM1	forkhead box M1	0.045605
203213_at	CDC2	cell division cycle 2, G1 to S and G2 to M	0.045263
204033_at	TRIP13	thyroid hormone receptor interactor 13	0.044965
218039_at	NUSAP1	nucleolar and spindle associated protein 1	0.044955
203418_at	CCNA2	cyclin A2	0.043275
