Name of gene (mRNA)	Gene abbreviation	GeneBank ID	Fold change	Expression	Mediators
 Secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	NM_003118	13.3689	Decreased with SPARC siRNA	Potential mediators of invasion
 Integrin, beta 2	ITGB2	NM_000211	21.598	Decreased with SPARC siRNA	Potential mediators of invasion
 Semaphorin 3B	SEMA3B	NM_004636	2.90697	Decreased with SPARC siRNA	Potential mediators of invasion
 Disintegrin-like and metalloprotease with thrombospondin motif, type 4 variant	ADAMTS13	NM_139028	2.325581	Decreased with SPARC siRNA	Potential mediators of invasion
 SPARC-like 1 (mast9, hevin)	SPARCL1	NM_004684	2.1934	Decreased with SPARC siRNA	Potential mediators of invasion
 Extracellular signal-regulated kinase 8	ERK8	NM_139021	95.2381	Decreased with SPARC siRNA	Potential mediators of survival
 TP53TG3 protein	TP53TG3	NM_016212	10.72961	Decreased with SPARC siRNA	Potential mediators of survival
 V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	KIT	NM_000222	6.1349	Decreased with SPARC siRNA	Potential mediators of survival
 Aryl hydrocarbon receptor	AHR	NM_001621	4.310345	Decreased with SPARC siRNA	Potential mediators of survival
 Mitogen-activated protein kinase kinase kinase 8	MAP3K8	NM_005204	3.115265	Decreased with SPARC siRNA	Potential mediators of survival
 Hypoxia-inducible protein 2	HIG2	BC008573	2.564103	Decreased with SPARC siRNA	Potential mediators of survival
 RAB40B, member RAS oncogene family	RAB40B	NM_006822	2.277904	Decreased with SPARC siRNA	Potential mediators of survival
 Protein phosphatase 5, catalytic subunit	PPP5C	NM_006247	2.04918	Decreased with SPARC siRNA	Potential mediators of survival
 BCL2 binding component 3	BBC3	NM_014417	2.028398	Decreased with SPARC siRNA	Potential mediators of survival
 Transforming growth factor, beta receptor II	TGFBR2	NM_003242	6.848	Increased with SPARC siRNA	Potential mediators of invasion
 Semaphorin 4F	SEMA4F	NM_004263	6.351	Increased with SPARC siRNA	Potential mediators of invasion
 Semaphorin 6A	SEMA6A	AK027654	4.668	Increased with SPARC siRNA	Potential mediators of invasion
 Membrane metallo-endopeptidase	MME	NM_000902	3.482	Increased with SPARC siRNA	Potential mediators of invasion
 Matrix metalloproteinase 1 (interstitial collagenase)	MMP1	NM_002421	2.871	Increased with SPARC siRNA	Potential mediators of invasion
 A disintegrin-like and metalloprotease with thrombospondin motif, type 2 variant	ADAMTS13	NM_139027	2.515	Increased with SPARC siRNA	Potential mediators of invasion
 Semaphorin 6D	SEMA6D	NM_024966	2.201	Increased with SPARC siRNA	Potential mediators of invasion
 Semaphorin 3C	SEMA3C	NM_006379	2.013	Increased with SPARC siRNA	Potential mediators of invasion
 Proapoptotic caspase adaptor protein	PACAP	NM_016459	6.472	Increased with SPARC siRNA	Potential mediators of survival
 Transformed 3T3 cell double minute 2, p53 binding protein	MDM2	NM_006879	6.355	Increased with SPARC siRNA	Potential mediators of survival
 V-abl Abelson murine leukemia viral oncogene homolog 2	ABL2	NM_005158	3.436	Increased with SPARC siRNA	Potential mediators of survival
 Rho GTPase-activating protein 23	ARHGAP23	AB040934	3.059	Increased with SPARC siRNA	Potential mediators of survival
 RAB27B, member RAS oncogene family	RAB27B	NM_004163	3.03	Increased with SPARC siRNA	Potential mediators of survival
 Ankyrin repeat domain 11	ANKRD11	AK093762	2.933	Increased with SPARC siRNA	Potential mediators of survival
 DNA-damage-inducible transcript 3	DDIT3	NM_004083	2.93	Increased with SPARC siRNA	Potential mediators of survival
 Rho guanine nucleotide exchange factor (GEF) 5	ARHGEF5	NM_005435	2.737	Increased with SPARC siRNA	Potential mediators of survival
 Growth arrest and DNA-damage-inducible, beta	GADD45B	NM_015675	2.331	Increased with SPARC siRNA	Potential mediators of survival
 Programmed cell death 6	PDCD6	NM_020731	2.245	Increased with SPARC siRNA	Potential mediators of survival
 Protein phosphatase 1, regulatory (inhibitor) subunit 3C	PPP1R3C	NM_005398	2.225	Increased with SPARC siRNA	Potential mediators of survival
 Phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	PIK3R1	M61906	2.118	Increased with SPARC siRNA	Potential mediators of survival
 Protein phosphatase 1, regulatory (inhibitor) subunit 15A	PPP1R15A	NM_014330	2.1	Increased with SPARC siRNA	Potential mediators of survival
 Protein kinase C, beta 1	PRKCB1	NM_002738	2.036	Increased with SPARC siRNA	Potential mediators of survival
 Mitochondrial ribosome recycling factor	MRRF	BC002814	2.033	Increased with SPARC siRNA	Potential mediators of survival
 RAB2B, member RAS oncogene family	RAB2B	NM_032846	2.004	Increased with SPARC siRNA	Potential mediators of survival
