Accession no.	Difference	P	Symbol	Gene name
BC092418.1	5.558869662	1.22E+06	MYBPC1	Myosin binding protein C, slow type
X04325.1	5.062445046	1.06E+05	GJB1	Gap junction protein, ? 1, 32 kDa
NM_001150.1	4.826495535	7.40E+10	ANPEP	Alanyl (membrane)aminopeptidase
NM_024080.3	4.090779772	9.33E+12	TRPM8	Transient receptor potential cation channel, subfamily M member 8
NM_002443.2	3.771232027	4.03E+09	MSMB	Microseminoprotein, ?
L13740.1	3.204461772	7.41E+35	NR4A1	Nuclear receptor subfamily 4, group A, member 1
NM_000784.2	3.176792485	2.03E+12	CYP27A1	Cytochrome P450, family 27, subfamily A, polypeptide 1
AA243967.1	3.119889956	3.91E+05	ACPP	Acid phosphatase, prostate
NM_138342.2	3.049236542	5.45E+05	LOC89944	Hypothetical protein BC008326
AF266280.1	2.994099827	7.11E+06	LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3)
AB010419.1	2.95051338	2.21E+05	CBFA2T3	Core-binding factor, runt domain, ? subunit 2; translocated 3
NM_003407.1	2.906880911	1.24E+09	ZFP36	Zinc finger protein 36, C3H type, homologue (mouse)
NM_032801.3	2.863996452	1.93E+08	JAM3	Junctional adhesion molecule 3
NM_004417.2	2.840006269	2.20E+10	DUSP1	Dual specificity phosphatase 1
NM_005252.2	2.779578672	2.58E+06	FOS	V-fos FBJ murine osteosarcoma viral oncogene homologue
Y11339.2	2.673481738	1.55E+13	ST6GALNAC1	ST6-N-acetylgalactosaminide ?-2,6-sialyltransferase 1
L19871.1	2.519745453	1.64E+09	ATF3	Activating transcription factor 3
BC016952.1	2.420887227	4.47E+10	CYR61	Cysteine-rich, angiogenic inducer, 61
N70019.1	2.393780488	1.28E+05	MT1M	Metallothionein 1M
NM_005139.2	2.30234995	7.04E+20	ANXA3	Annexin A3
NM_005767.3	2.292587029	2.07E+05	P2RY5	Purinergic receptor P2Y, G-protein coupled, 5
M62829.1	2.268933663	5.38E+05	EGR1	Early growth response 1
R38989.1	2.188002228	8.97E+08	SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2
NM_001669.2	2.186821444	5.88E+11	ARSD	Arylsulfatase D
NM_001584.1	2.17939094	3.05E+06	MPPED2	Metallophosphoesterase domain containing 2
L02950.1	2.16892321	1.08E+09	CRYM	Crystallin, mu
NM_032592.1	2.148649429	3.29E+05	PHACS	1-Aminocyclopropane-1-carboxylate synthase
NM_015267.1	2.123686657	6.64E+07	CUTL2	Cut-like 2 (Drosophila)
R42862.1	2.085435644	2.09E+06		EST
NM_014861.1	2.024649382	7.07E+09	KIAA0703	KIAA0703 gene product
