Accession no.	Symbol	Function	Quantitative gene expression TPCs	BPCs
U32114	CAV2	Signaling; membrane caveolae	?	+
U60115	FHL1	Signaling; LIM domain	?	+
U73936	JAG1	Signaling; Notch ligand	?	+
X57025	IGF1	Signaling; growth factor	?	+
Z32684	XK	Membrane transport	?	+
D10511	ACAT1	Metabolism; ketone	?	++
Y08999	ARPC1A	Actin polymerization	?	++
M14745	BCL2	Signaling; antiapoptosis	?	++
M24486	P4HA1	Collagen synthesis	?	++
M60315	BMP6	Signaling; TGF family	?	++
U25956	SELPLG	Adhesion	?	++
X16983	ITGA4	Adhesion	?	++
Z18951	CAV1	Signaling; membrane caveolae	?	++
M60092	AMPD1	Metabolism; energy	?	+++
U15932	DUSP5	Signaling; phosphatase	?	++++
U95626	CCR2	Signaling; chemokine receptor	?	++++
D78132	RHEB2	Signaling; ras homolog	+	++
L41887	SFRS7	mRNA splicing factor	+	++
M23161	LOC90411a	Unknown	+	++
M37721	PAM	Metabolism; hormone amidation	+	++
M69023	TSPAN-3a	Unknown	+	++
U02556	TCTE1L	Dynein homolog	+	++
U41060	LIV-1a	Unknown	+	++
U44772	PPT1	Lysosome enzyme	+	++
U70660	ATOX1	Metabolism; antioxidant	+	++
X92493	PIP5K1B	Signaling; kinase	+	++
M23254	CAPN2	Cysteine protease	+	+++
J02763	S100A6	Signaling; calcium binding	++	+++
L13689	BMI1	Transcription; repressor; PcG	++	+++
L34657	PECAM1	Adhesion	++	+++
M23294	HEXB	Metabolism; hexoaminidase	++	+++
M64098	HLDBP	Metabolism; sterol	++	++++
U52101	EMP3	Adhesion	++	++++
X66087	MYBL1	Transcription; myb-like	+	?
X54942	CKS2	Cell cycle; kinase regulator	++	?
X73568	SYK	Signaling; kinase	++	?
L08177	EBI2	Signaling; receptor	++	?
M25629	KLK1	Protease; serine	++	?
U00115	BCL6	Transcription; Zn-finger	++	?
U23852	LCK	Signaling; kinase	++	?
U60975	SORL1	Endocytosis	++	?
X63380	MEF2B	Transcription; MADs box	++	?
L25878	EPXH1	Metabolism; epoxide hydrolase	++	+
Z35227	ARHH	Signaling; Rho C	++	+
X89986	BIK	Signaling; apoptosis	+++	?
M13792	ADA	Metabolism; purine	+++	+
U10485	LRMP	ER membrane protein	+++	+
M81601	TCEA1	Transcription; elongation	+++	++
X70326	MACMARCK	Actin binding	++++	+
X56494	PKM2	Metabolism; energy	++++	+
