Probe_ID	Gene Symbol	Gene ID	Gene Name	Regession Coeff	R-squared	Pearson Correlation	p-value
214274_s_at	ACAA1	30	acetyl-Coenzyme A acyltransferase 1	-2.31	0.43	-0.65	0.000
227017_at	ERICH1	157697	glutamate-rich 1	-1.10	0.42	-0.65	0.000
226792_s_at	KIFC2	90990	kinesin family member C2	-1.83	0.41	-0.64	0.000
214434_at	HSPA12A	259217	heat shock 70kDa protein 12A	-0.61	0.39	-0.62	0.000
235541_at	LAS1L	81887	LAS1-like (S. cerevisiae)	-1.70	0.36	-0.60	0.000
219259_at	SEMA4A	64218	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	-2.06	0.36	-0.60	0.000
213062_at	NTAN1	123803	N-terminal asparagine amidase	-1.89	0.35	-0.60	0.000
229685_at	LOC100134937	100134937	hypothetical LOC100134937	-0.80	0.35	-0.59	0.000
225758_s_at	TUBGCP6	85378	tubulin, gamma complex associated protein 6	-1.48	0.34	-0.58	0.000
1569077_x_at	ZNF836	162962	zinc finger protein 836	-2.38	0.34	-0.58	0.000
205273_s_at	PITRM1	10531	pitrilysin metallopeptidase 1	-0.96	0.33	-0.58	0.000
212786_at	CLEC16A	23274	C-type lectin domain family 16, member A	-1.56	0.33	-0.57	0.000
1553588_at	SH3KBP1	30011	SH3-domain kinase binding protein 1	-3.45	0.32	-0.56	0.000
222127_s_at	EXOC1	55763	exocyst complex component 1	-1.83	0.31	-0.56	0.000
227604_at	LOC151146	151146	hypothetical protein LOC151146	-2.39	0.31	-0.55	0.000
227649_s_at	SRGAP2	23380	SLIT-ROBO Rho GTPase activating protein 2	-1.18	0.31	-0.55	0.000
236901_at	Not known	Not known	Not known	-0.47	0.30	-0.55	0.000
206298_at	ARHGAP22	58504	Rho GTPase activating protein 22	-0.83	0.30	-0.54	0.000
209729_at	GAS2L1	10634	growth arrest-specific 2 like 1	-1.02	0.29	-0.54	0.000
218146_at	GLT8D1	55830	glycosyltransferase 8 domain containing 1	-1.57	0.29	-0.54	0.000
203055_s_at	ARHGEF1	9138	Rho guanine nucleotide exchange factor (GEF) 1	-2.27	0.29	-0.54	0.000
223116_at	BCAR1	9564	breast cancer anti-estrogen resistance 1	-1.54	0.29	-0.54	0.000
209467_s_at	MKNK1	8569	MAP kinase interacting serine/threonine kinase 1	-1.55	0.29	-0.54	0.000
209213_at	CBR1	873	carbonyl reductase 1	-0.95	0.29	-0.54	0.001
218251_at	MID1IP1	58526	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))	-1.00	0.29	-0.53	0.001
214060_at	SSBP1	6742	single-stranded DNA binding protein 1	-1.01	0.28	-0.53	0.001
241612_at	FOXD3	27022	forkhead box D3	-0.81	0.28	-0.53	0.001
224887_at	GNPTG	84572	N-acetylglucosamine-1-phosphate transferase, gamma subunit	-2.22	0.28	-0.53	0.001
227286_at	INO80E	283899	INO80 complex subunit E	-1.49	0.28	-0.53	0.001
218777_at	REEP4	80346	receptor accessory protein 4	-2.62	0.28	-0.53	0.001
224683_at	FBXO18	84893	F-box protein, helicase, 18	-2.08	0.28	-0.53	0.001
213061_s_at	NTAN1	123803	N-terminal asparagine amidase	-1.79	0.28	-0.52	0.001
205620_at	F10	2159	coagulation factor X	-1.10	0.28	-0.52	0.001
213557_at	CRKRS	51755	Cdc2-related kinase, arginine/serine-rich	-1.43	0.27	-0.52	0.001
224372_at	UNC5B	219699	unc-5 homolog B (C. elegans)	-2.90	0.27	-0.52	0.001
209050_s_at	RALGDS	5900	ral guanine nucleotide dissociation stimulator	-0.89	0.27	-0.52	0.001
218147_s_at	GLT8D1	55830	glycosyltransferase 8 domain containing 1	-1.25	0.27	-0.52	0.001
215938_s_at	PLA2G6	8398	phospholipase A2, group VI (cytosolic, calcium-independent)	-2.00	0.27	-0.52	0.001
203383_s_at	GOLGA1	2800	golgi autoantigen, golgin subfamily a, 1	-1.88	0.27	-0.52	0.001
202217_at	C21orf33	8209	chromosome 21 open reading frame 33	-1.58	0.27	-0.52	0.001
205576_at	SERPIND1	3053	serpin peptidase inhibitor, clade D (heparin cofactor), member 1	-0.44	0.27	-0.52	0.001
215071_s_at	HIST1H2AC	8334	histone cluster 1, H2ac	-0.67	0.27	-0.52	0.001
221893_s_at	ADCK2	90956	aarF domain containing kinase 2	-1.66	0.27	-0.52	0.001
201489_at	PPIF	10105	peptidylprolyl isomerase F (cyclophilin F)	-0.97	0.27	-0.52	0.001
225460_at	SEC22C	9117	SEC22 vesicle trafficking protein homolog C (S. cerevisiae)	-1.72	0.27	-0.52	0.001
1563315_s_at	ERICH1	157697	glutamate-rich 1	-2.52	0.27	-0.52	0.001
226130_at	RPS16	6217	ribosomal protein S16	-1.57	0.26	-0.51	0.001
225413_at	USMG5	84833	up-regulated during skeletal muscle growth 5 homolog (mouse)	-1.79	0.26	-0.51	0.001
