Symbol	Gene name	Accession	Fold change
STAT3	Signal transducer and activator of transcription 3 (acute-phase response factor)	BC000627	14.02925
FGG	Fibrinogen, gamma polypeptide	NM_000509	6.31786
FGB	Fibrinogen, B beta polypeptide	BG545288	5.86271
FGA	Fibrinogen, A alpha polypeptide	NM_000508	5.4178
AKAP2	A kinase (PRKA) anchor protein 2	NM_007203	5.03752
LBP	Lipopolysaccharide-binding protein	NM_004139	4.54253
SLC2A3	Solute carrier family 2 (facilitated glucose transporter), member 3	NM_006931	4.24708
IGFBP1	Insulin-like growth factor-binding protein 1	NM_000596	4.11986
CCL2	Chemokine (C-C motif) ligand 2	S69738	4.11116
SOCS3	Suppressor of cytokine signaling 3	BG035761	3.92949
ABCA1	ATP-binding cassette, subfamily A (ABC1), member 1	NM_005502	3.88478
SLC2A14	Solute carrier family 2 (facilitated glucose transporter), member 14	AA778684	3.65108
NPC1	Niemann?Pick disease, type C1	NM_000271	3.42023
ZFP36	Zinc-finger protein 36, C3H type, homolog (mouse)	NM_003407	3.41924
UGCG	UDP-glucose ceramide glucosyltransferase	NM_003358	3.40843
EFNB2	Ephrin-B2	BF001670	3.2662
SOD2	Superoxide dismutase 2, mitochondrial	X15132	3.07171
CEBPD	CCAAT/enhancer-binding protein (C/EBP), delta	NM_005195	3.01762
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	NM_004566	2.99052
ATF3	Activating transcription factor 3	NM_001674	2.8937
MAFF	v-Maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	AL021977	2.87145
LDLR	Low-density lipoprotein receptor (familial hypercholesterolemia)	NM_000527	2.82377
AGT	Angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8)	NM_000029	2.82277
AKAP12	A kinase (PRKA) anchor protein (gravin) 12	AB003476	2.74377
PPAP2B	Phosphatidic acid phosphatase type 2B	AB000889	2.73372
ADM	Adrenomedullin	NM_001124	2.63547
KIAA1237	KIAA1237 protein	AI148659	2.62669
EFNA1	Ephrin-A1	NM_004428	2.59892
GFPT2	Glutamine-fructose-6-phosphate transaminase 2	NM_005110	2.59264
ICAM1	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	NM_000201	2.50961
BCL6	B-cell CLL/lymphoma 6 (zinc-finger protein 51)	NM_001706	2.50233
C8FW	Phosphoprotein regulated by mitogenic pathways	NM_025195	2.49763
FEM1C	Fem-1 homolog c (Caenorhabditis elegans)	AI862658	2.49356
SAMD4	Sterile alpha motif domain containing 4	AB028976	2.31359
SERPINB3	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	BC005224	2.26622
SFN	Stratifin	X57348	2.26209
TEAD4	TEA domain family member 4	U63824	2.20177
JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	NM_002228	2.17961
C3	Complement component 3	NM_000064	2.15312
DUSP5	Dual specificity phosphatase 5	U16996	2.11909
FOSL1	FOS-like antigen 1	BG251266	2.10867
BCL3	B-cell CLL/lymphoma 3	NM_005178	2.10195
FLNB	Filamin B, beta (actin-binding protein 278)	AV712733	2.09461
TIEG2	TGFB inducible early growth response 2	AA149594	2.083
CTSB	Cathepsin B	NM_001908	2.0828
THBS1	Thrombospondin 1	NM_003246	2.0796
KIAA0146	KIAA0146 protein	AV655640	2.06906
SLC4A7	Solute carrier family 4, sodium bicarbonate cotransporter, member 7	AF053755	2.06847
STAT2	Signal transducer and activator of transcription 2, 113 kDa	S81491	2.06655
TIP47	Cargo selection protein (mannose 6 phosphate receptor-binding protein)	NM_005817	2.0665
