Systematic Name	Common Name	GenBank ID	LLID	Description	Function
160668_at	Ogfr	NM_031373	72075	opioid growth factor receptor	Signal transduction
97262_at	Csnk1d	NM_027874	104318	casein kinase 1, delta	Signal transduction
98449_at	Sart1	NM_016882	20227	squamous cell carcinoma antigen recognized by T-cells 1	Signal transduction
100473_at	Arrb1	NM_177231	109689	arrestin, beta 1	Signal transduction
96766_s_at	Tyro3	NM_019392	22174	TYRO3 protein tyrosine kinase 3	Signal transduction
94055_at	Cttn	NM_007803	13043	cortactin	Signal transduction
97880_at	Dlst	NM_030225	78920	dihydrolipoamide S-succinyltransferase	Enzymes
96661_at	Nrd1	NM_146150	100244	nardilysin, N-arginine dibasic convertase	Enzymes
160289_s_at	Dlst	NM_030225	78920	dihydrolipoamide 5-succinyl transferase	Enzymes
95683_g_at	Ddb1	NM_015735	13194	damage specific DNA binding protein 1	Nucleic acid binding
98463_at	Smarca4	XM_134660	20586	SWI/SNF related, matrix associated,	Nucleic acid binding
93973_at	Eif3s9	NM_133916	27979	eukaryotic translation initiation factor 3, subunit 9 (eta)	Nucleic acid binding
92654_at	MGC62420	NM_183157	218832	hypothetical protein MGC62420	Nucleic acid binding
97441_at	Acinus	NM_023190	56215	apoptotic chromatin condensation inducer in the nucleus	Nucleic acid binding
95513_at	Statip1	NM_021448	58523	signal transducer and activator of transcription interacting protein 1	Nucleic acid binding
95433_at	Ddx54	NM_028041	71990	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	Nucleic acid binding
97809_at	Bat8	NM_145830	110147	HLA-B associated transcript 8	Transcriptional regulation
95128_at	Ncor2	NM_011424	20602	nuclear receptor corepressor 2	Transcriptional regulation
93831_at	Nono	NM_023144	53610	non-POU-domain-containing, octamer binding protein	Transcriptional regulation
104471_at	Hdac6	NM_010413	15185	histone deacetylase 6	Transcriptional regulation
97593_f_at	Fliih	NM_022009	14248	flightless I homolog (Drosophila)	Transcriptional regulation
95489_at	Fliih	NM_022009	14248	transcriptional co activator	Transcriptional regulation
97530_at	Ube2i	NM_011665	22196	ubiquitin-conjugating enzyme E2l	Ubiquitin-dependent protein catabolism
94397_at	Usp52	NM_133992	103135	ubiquitin specific protease 52	Ubiquitin-dependent protein catabolism
92769_at	Psmd3	NM_009439	22123	proteasome (prosome, macropain) 26S subunit	Ubiquitin-dependent protein catabolism
92616_at	Ube1x	NM_009457	22201	ubiquitin-activating enzyme E1, Chr X	Ubiquitin-dependent protein catabolism
160790_s_at	Btrc	NM_009771	12234	beta-transducin repeat containing protein	Ubiquitin-dependent protein catabolism
92288_at	Ap1g1	NM_009677	11765	adaptor protein complex AP-1, gamma 1 subunit	Transport
104090_at	Kif20a	NM_009004	19348	kinesin family member 20A	Transport
94071_at	Gosr2	NM_019650	56494	golgi SNAP receptor complex member 2	Transport
93046_at	Nup50	NM_016714	18141	nucleoporin 50	Transport
103619_at	Cyb5m	NM_025558	66427	cytochrome b5 outer mitochondrial membrane precursor	Transport
104720_at	Ubn1	XM_358754	170644	ubinuclein 1	Other
104276_at	Glipr2	BC031750	384009	GLI pathogenesis-related 2	Other
95643_at	Wdr6	NM_031392	83669	WD repeat domain 6	Other
104728_at	Pros1	XM_358873	19128	protein S (alpha)	Other
160208_at	1810061H24Rik	NM_027443		splicing factor 3b, subunit 3, 130 kDa	Other
94363_at	Bms1l	NM_194339	21385	BMS1-like, ribosome assembly protein	Other
92220_s_at	Bin1	NM_009668	30948	bridging integrator 1	Other
103345_at	Spna2	XM_207079	76356	spectrin alpha 2	Other
96284_at	Al463719	NM_134002	103236	expressed sequence Al463719	ESTs
104600_at	1300019H17Rik	NM_024183	66899	RIKEN cDNA 1300019H17 gene	ESTs
104643_at	BC037006	XM_109956	103538	cDNA sequence BC037006	ESTs
