Gene	Symbol	Accession	Chromosome	Fold change	P
Carbonic anhydrase III, muscle specific	CAIII	NM_005181.2	9q13	11.46	0.007594
Lactotransferrin	LTF	NM_002343.1	3q21	3.8	0.00565
Human clone 137308 mRNA, partial cds.	NA	AU134977	NA	3.02	0.005225
Solute carrier family 2 (facilitated glucose transporter), member 3	SLC2	NM_006931.1	12p13	2.65	0.000054
Hypoxia-inducible protein 2	HIF-2	NM_013332.1	7q32	2.56	0.001092
Guanylate-binding protein 1, IFN-inducible, 67 kDa	GBP1	NM_002053.1	1p22	2.71	0.000028
Chitinase 3-like 2	CHI3L2	U58515.1	1p13	2.68	0.000827
Proteinase inhibitor, clade A (antitrypsin), member 3	SERPINA3	NM_001085.2	14q32	2.64	0.000716
Heat shock 70-kDa protein 6	HSP70B	NM_002155.1	1	3.75	0.000047
Caveolin 2	CV2	NM_001233.1	7q31	2.46	0.000043
Heme oxygenase (decycling) 1	HO	NM_002133.1	22q13	3.2	0.000088
Matrix metalloproteinase-9 (92-kDa type IV collagenase)	MMP-9	NM_004994.1	20q11	4.38	0.002731
Biglycan	BGN	AA845258	Xq28	2.78	0.000053
Collagen type VI, ?2	COL6A2	AY029208.1	21q22	2.93	0.019421
Collagen type V, ?1	COL5A1	AI983428	9q34	2.46	0.03049
Fc fragment of IgG, low-affinity IIIb, receptor for (CD16)	FCGR3B	NM_000570.1	1q23	2.61	0.000285
Chromosome 8 open reading frame 4	C8orf4	NM_020130.1	8p11	4.05	0.000735
Chemokine (C-C motif) ligand 2	CCL	S69738.1	17q11	2.66	0.002211
Interleukin-8	IL-8	NM_000584.1	4q13	4.83	0.00097
Interleukin-8 COOH-terminal variant (IL8) mRNA, complete cds.	NA	AF043337.1	NA	3	0.01931
Superoxide dismutase 2, mitochondrial	SOD2	W46388	6q25	3.23	0
H. sapiens, clone IMAGE:4711494, mRNA	NA	BF575213	NA	2.53	0
Pre-B-cell colony-enhancing factor	PBEF	NM_005746.1	7q22	3.76	0.000003
Complement component 1, r subcomponent	C1R	AL573058	12p13	3.13	0.000044
CCAAT/enhancer-binding protein, ?	CEBPD	AV655640	8p11	2.54	0.00003
Proteinase inhibitor, clade A (antitrypsin), member 1	SERPINA1	NM_000295.1	14q32	2.62	0.000155
Nicotinamide N-methyltransferase	NNMT	NM_006169.1	11q23	8.71	0.000155
Glycoprotein (transmembrane) nmb	GPNMB	NM_002510.1	7p15	2.71	0.002098
Dihydropyrimidine dehydrogenase	DPYD	NM_000110.2	1p22	2.94	0.000015
Complement component 5 receptor 1 (C5a ligand)	C5R1	NM_001736.1	19q13	3.57	0.000125
S100 calcium- binding protein A8 (calgranulin A)	S10048	NM_002964.2	1q21	3.84	0.000366
Lysozyme (renal amyloidosis)	LYZ	AV711904	12q14	2.5	0.0012696
IFN-?-inducible protein 30	IFI30	NM_006332.1	19p13	3.09	0.00002
CD14 antigen	CD14	NM_000591.1	5q31	2.66	0.000031
Ig superfamily protein	Z391G	NM_007268.1	Xq12	2.61	0.000006
CD163 antigen	CD163	NM_004244.1	12p13	3.86	0.000011
Stabilin 1	STAB1	NM_015136.1	3p21	2.63	0.000073
Solute carrier family 16 (monocarboxylic acid transporters)	SLC16A3	NM_004207.1	17q25	3.27	0.000001
Transforming growth factor-? induced, 68 kDa	TGVB1	NM_000358.1	5q31	2.71	0.00091
Fibronectin 1	FN1	BC005858.1	2q34	2.52	0.000002
Epithelial membrane protein 3 S100 calcium-binding protein A11	EMP3	NM_001425.1	19q13	2.73	0.000175
(Calgizzarin)	S100A11	NM_005620.1	1q21	2.64	0.00007
Tissue inhibitor of metalloproteinase 1 (collagenase inhibitor)	TIMP1	NM_003254.1	Xp11	2.58	0.002723
Caveolin 1, caveolae protein, 22 kDa	CAV1	AU147399	7q31	3.01	0.000025
Lysyl oxidase	LOX	L16895	5q23	5.85	0.000442
Proteinase inhibitor, clade E (plasminogen activator inhibitor type 1)	SERPINE1	NM_000602.1	7q21	3.15	0.001055
Transgelin	TAGLN	NM_003186.2	11q23	3.57	0.000112
Thrombospondin 1	THBS1	NM_003246.1	5q15	3.18	0.015815
Uridine phosphorylase	UPP1	NM_003364.1	7	2.53	0.000003
Chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	M80927.1	1q32	4.17	0.000726
Pentaxin-related gene, rapidly induced by interleukin-1?	PTX3	NM_002852.1	3q25	5.55	0.000292
Lung type I cell membrane-associated glycoprotein	TIA-2	BF337209	1p36	3.07	0.000054
Short stature homeobox 2	SHOX2	AF022654.1	3q25	2.59	0.000151
Mesenchyme homeobox 2 (growth arrest–specific homeobox)	MEOX2	NM_005924.1	7p22	10.31	0.000219
Insulin-like growth factor–binding protein 2, 36 kDa	IGFBP2	NM_000597.1	2q33	2.49	0.007258
Fatty acid–binding protein 5 (psoriasis-associated)	FABP5	NM_001444.1	8q21	2.86	0.00001
Epidermal growth factor receptor	EGFR	NM_005228.1	7p12	2.66	0.003366
Sec61?	SEC61G	NM_014302.1	7p11	2.49	0.000013
