Affymetrix probe ID	Transcript	Gene	Fold change	Function
1453282_at	Coxsackie adenovirus receptor	Cxadr	5.3	Cell adhesion and junctional proteins
1460356_at	Endothelial specific adhesion molecule	Esam1	3.9	Cell adhesion and junctional proteins
1421344_a_at	Ajuba	Jub	2.9	Cell adhesion and junctional proteins
1424595_at	Junctional adhesion molecule A	F11r	2.6	Cell adhesion and junctional proteins
1417703_at	CD112	Pvrl2	2.2	Cell adhesion and junctional proteins
1450757_at	Cadherin 11	Cdh11	?108	Cell adhesion and junctional proteins
1449244_at	N-Cadherin	Cdh2	?78	Cell adhesion and junctional proteins
1428547_at	CD73	N5te	?13	Cell adhesion and junctional proteins
1436568_at	Junctional adhesion molecule B	Jam2	?9.5	Cell adhesion and junctional proteins
1416342_at	Tenascin-C	Tnc	5.3	Extracellular matrix
1450857_a_at	Procollagen I ?2	Col1a2	?954	Extracellular matrix
1448323_a_at	Biglycan	Bgn	?625	Extracellular matrix
1427883_a_at	Procollagen III ?1	Col3a1	?315	Extracellular matrix
1451978_at	Lysyl oxidase like 1	Loxl1	?121	Extracellular matrix
1416121_at	Lysyl oxidase	Lox	?73	Extracellular matrix
1426285_at	Laminin ?2	Lama2	?65	Extracellular matrix
1426947_x_at	Procollagen VI ?2	Col6a2	?61	Extracellular matrix
1451527_at	Procollagen C-endopeptidase enhancer 2	Pcolce2	?44	Extracellular matrix
1448590_at	Procollagen VI ?1	Col6a1	?41	Extracellular matrix
1437165_at	Procollagen C-endopeptidase enhancer	Pcolce	?37	Extracellular matrix
1416740_at	Procollagen V ?1	Col5a1	?18	Extracellular matrix
1418061_at	Latent transforming growth factor ? binding protein 2	Ltbp2	?18	Extracellular matrix
1427257_at	Versican	Cspg2	?16	Extracellular matrix
1435264_at	Elastin microfibril interfacer 2	Emilin2	?14	Extracellular matrix
1424131_at	Procollagen VI ?3	Col6a3	?10	Extracellular matrix
1448870_at	Latent transforming growth factor ? binding protein 1	Ltbp1	?3.6	Extracellular matrix
1425896_at	Fibrillin-1	Fbn1	?3.3	Extracellular matrix
1450625_at	Procollagen V ?2	Col5a2	?3.0	Extracellular matrix
1415874_at	Sprouty homologue 1	Spry1	9	Vascular growth and patterning
1450414_at	Platelet-derived growth factor B	Pdgfb	8.8	Vascular growth and patterning
1425875_a_at	Leptin receptor	Lepr	8.3	Vascular growth and patterning
1460302_at	Thrombospondin-1	Thbs1	5.8	Vascular growth and patterning
1451924_at	Endothelin-1	Edn1	5.3	Vascular growth and patterning
1450922_a_at	Transforming growth factor ?2	Tgfb2	4.7	Vascular growth and patterning
1416077_at	Adrenomedullin	Adm	4.1	Vascular growth and patterning
1418415_at	Homeobox B5	Hoxb5	3.3	Vascular growth and patterning
1432176_a_at	TGF?1R3 Endoglin (CD105)	Eng	3.1	Vascular growth and patterning
1435110_at	Unc 5 homologue B	Unc5b	2.8	Vascular growth and patterning
1448831_at	Angiopoietin 2	Angpt2	2.8	Vascular growth and patterning
1435458_at	Proviral integration site 1	Pim1	2.6	Vascular growth and patterning
1417455_a_at	Transforming growth factor ?3	Tgfb3	2.5	Vascular growth and patterning
1438658_a_at	Endothelial differentiation sphingolipid G-protein coupled receptor 3	Edg3	?402	Vascular growth and patterning
1429348_at	Semaphorin 3C	Sema3c	?78	Vascular growth and patterning
1448606_a_at	Endothelial differentiation sphingolipid G-protein coupled receptor 2	Edg2	?72	Vascular growth and patterning
1448925_at	Twist 2	Twist2	?18	Vascular growth and patterning
1415943_at	Syndecan 1	Sdc1	?9.5	Vascular growth and patterning
1427231_at	Roundabout homologue 1	Robo1	?5.3	Vascular growth and patterning
1418261_at	Spleen tyrosine kinase	Syk	?4.9	Vascular growth and patterning
1417011_at	Syndecan 2	Sdc2	?4.2	Vascular growth and patterning
1416693_at	Forkhead box C2	Foxc2	?3.5	Vascular growth and patterning
1417389_at	Glypican 1	Gpc1	?3.4	Vascular growth and patterning
1448788_at	CD200	Cd200	6	Miscellaneous
1419728_at	ENA-78	Cxcl5	?62	Miscellaneous
1460227_at	Tissue inhibitor of metalloproteinase 1	Timp1	?7.0	Miscellaneous
1441855_x_at	GRO-?	Cxcl1	?6.0	Miscellaneous
1416180_a_at	Radixin	Rdx	?2.5	Miscellaneous
