Accession	Symbol	Description	P-value
 AA160507	KRT5	Keratin 5 (epidermolysis bullosa simplex, Dowling–Meara/Kobner/Weber–Cockayne types)	1.35E-15
 AI356363	SFN	Stratifin	5.00E-13
 R17667	SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1	7.27E-11
 R28481	DSC3	Desmocollin 3	4.26E-10
 AA936183	TPX2	TPX2, microtubule-associated protein homolog (Xenopus laevis)	8.50E-10
 AI017224	SELI	Selenoprotein I	1.19E-09
 AA702666	TCBA1	T-cell lymphoma breakpoint-associated target 1	1.38E-09
 W80635	ALS2CR19	Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 19	1.52E-09
 N70010	CDCA5	Cell division cycle associated 5	1.77E-09
 H44051	KRT14	Keratin 14 (epidermolysis bullosa simplex, Dowling–Meara, Koebner)	1.93E-09
 W68630	DSG3	Desmoglein 3 (pemphigus vulgaris antigen)	2.06E-09
 AA504348	TOP2A	Topoisomerase (DNA) II alpha 170 kDa	2.26E-09
 AI208433	PSMA8	Proteasome (prosome, macropain) subunit, alpha type, 8	2.82E-09
 AA058663	PVRL1	Poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)	3.15E-09
 AA421311	OSGEP	O-sialoglycoprotein endopeptidase	3.18E-09
