Accession number	Gene name / definition	Fold change	p-value
J02585	Stearoyl Co-A desaturase	5.92	0.0001
M34134	Alpha-tropomyosin	5.12	0.0258
AA891522	Myosin heavy chain	3.19	0.0046
AA799326	Cd36	2.73	0.0228
AA858817	EST	2.59	0.0196
U02553	Dual specificity protein phosphatase	2.43	0.0304
AA925122	Slow skeletal muscle troponin	2.36	0.0165
AA799276	Sarco/endoplasmic reticulum Ca2+-ATPase	2.35	0.0168
X15939	Beta myosin heavy chain	2.27	0.0453
AA925752	Cd36	2.19	0.0387
J04993	Troponin, slow skeletal muscle	2.18	0.0372
X07314	Myosin light chain 2	2.17	0.0248
X81193	Muscle lim domain protein	2.13	0.0364
AA859335	Cofilin isoform	2.1	0.0294
AA956483	Myelin p0 protein precursor	2.07	0.0418
AA866452	Actin	-2.06	0.0318
X80130	Alpha-actin	-2.12	0.0281
AI104567	Alpha-actin	-2.13	0.0283
AA944469	Neuropilin	-2.36	0.0409
AI044638	TRIP-Br2	-3.18	0.0294
