Accession	UnigeneID	Symbol	Name	Regulation
AF006083	Hs.5321	ACTR3	ARP3 (actin-related protein 3, yeast) homolog	Down-Regulated
M34175	Hs.74626	AP2B1	Adaptor-related protein complex 2, beta 1 subunit	Down-Regulated
L07738	Hs.147989	CACNG1	Calcium channel, voltage-dependent, gamma subunit 1	Down-Regulated
AA621719	Hs.50758	CAP-C	Chromosome-associated polypeptide C	Down-Regulated
APOO1707	Hs.258589	CLDN17	Claudin 17	Down-Regulated
N41902	Hs.7885	CLTH	Clathrin assembly lymphoid-myeloid leukemia gene	Down-Regulated
AI131114	Hs.155140	CSNK2A1	Casein kinase 2, alpha 1 polypeptide	Down-Regulated
X98743	Hs.100555	DDX18	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated)	Down-Regulated
D26535	Hs.250801	DLST	Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	Down-Regulated
X69438	Hs.3052	EGR4	Early growth response 4	Down-Regulated
U77948	Hs.278589	GTF2I	General transcription factor II, i	Down-Regulated
AA428516	Hs.250175	HELO1	Homolog of yeast long chain polyunsaturated fatty acid elongation enzyme 2	Down-Regulated
D28473	Hs.172801	IARS	Isoleucine-tRNA synthetase	Down-Regulated
AA884433	Hs.46784	KCNMB4	Potassium large conductance calcium-activated channel, subfamily M, beta member 4	Down-Regulated
H93085	Hs.240	MPHOSPH1	M-phase phosphoprotein 1	Down-Regulated
X00198	Hs.79070	MYC	v-myc avian myelocytomatosis viral oncogene homolog	Down-Regulated
D87930	Hs.16533	MYPT1	Myosin phosphatase, target subunit 1	Down-Regulated
AI241288	Hs.132243	NPEPPS	Aminopeptidase puromycin sensitive	Down-Regulated
AA953855	Hs.167382	NPR1	Natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	Down-Regulated
X64810	Hs.78977	PCSK1	Proprotein convertase subtilisin/kexin type 1	Down-Regulated
AF056320	Hs.195471	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Down-Regulated
AI026632	Hs.249235	PIK3C2A	Phosphoinositide-3-kinase, class 2, alpha polypeptide	Down-Regulated
U68111	Hs.267819	PPP1R2	Protein phosphatase 1, regulatory (inhibitor) subunit 2	Down-Regulated
K03202	Hs.73952	PRH2	Proline-rich protein HaeIII subfamily 2	Down-Regulated
AF006305	Hs.79357	PSMC6	Proteasome (prosome, macropain) 26S subunit, ATPase, 6	Down-Regulated
M35416	Hs.250811	RALB	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	Down-Regulated
H66182	Hs.279903	RHEB2	Ras homolog enriched in brain 2	Down-Regulated
L31801	Hs.75231	SLC16A1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	Down-Regulated
L29277	Hs.142258	STAT3	Signal transducer and activator of transcription 3 (acute-phase response factor)	Down-Regulated
U31659	Hs.78865	TAF2E	TATA box binding protein (TBP)-associated factor, RNA polymerase II, E, 70/85 kD	Down-Regulated
D38305	Hs.297057	TOB1	Transducer of ERBB2, 1	Down-Regulated
X91247	Hs.13046	TXNRD1	Thioredoxin reductase 1	Down-Regulated
U61397	Hs.81424	UBL1	Ubiquitin-like 1 (sentrin)	Down-Regulated
M33308	Hs.75350	VCL	Vinculin	Down-Regulated
M61715	Hs.82030	WARS	Tryptophanyl-tRNA synthetase	Down-Regulated
AA056180				Down-Regulated
AA071099				Down-Regulated
AA099194				Down-Regulated
AA129866				Down-Regulated
AA206578				Down-Regulated
AA229857				Down-Regulated
AA279943				Down-Regulated
AA287286				Down-Regulated
AA553609				Down-Regulated
AA682274				Down-Regulated
AA704725				Down-Regulated
AA707148				Down-Regulated
AA707901				Down-Regulated
AA725670				Down-Regulated
AA776449				Down-Regulated
AA978290				Down-Regulated
AB002333				Down-Regulated
AC_005189				Down-Regulated
AI025332				Down-Regulated
AI033461				Down-Regulated
AI143457				Down-Regulated
AI161158				Down-Regulated
AI202034				Down-Regulated
AI222379				Down-Regulated
AI300571				Down-Regulated
AI338011				Down-Regulated
AI347539				Down-Regulated
AK025137				Down-Regulated
BF089536				Down-Regulated
H63947				Down-Regulated
N35250				Down-Regulated
N50983				Down-Regulated
N54300				Down-Regulated
N66501				Down-Regulated
N94777				Down-Regulated
R71414				Down-Regulated
W94690				Down-Regulated
