Score	Fold change	Description	Gene ID	Function
38.78	3.18	POLA2: polymerase (DNA directed), ?2	204441_s_at	Replication enzyme
16.24	2.41	POLA, polymerase (DNA directed), ?	204835_at	Replication enzyme
30.6	5.06	PCNA: proliferating cell nuclear antigen	201202_at	Replication enzyme
23.41	2.37	TK1: thymidine kinase 1, soluble	202338_at	Replication enzyme
36.17	4.26	TYMS: thymidylate synthetase	202589_at	Replication enzyme
35.69	6.72	RRM2: ribonucleotide reductase M2 polypeptide	201890_at	Replication enzyme
16.33	2.21	TOP2A: topoisomerase (DNA) II ? 170 kDa	201292_at	Replication enzyme
23	2.24	TOP2A: topoisomerase (DNA) II ? 170 kDa	201291_s_at	Replication enzyme
28.56	4.07	FEN1: flap structure-specific endonuclease 1	204767_s_at	Replication enzyme
28.1	4.02	FEN1: flap structure-specific endonuclease 1	204768_s_at	Replication enzyme
20.09	2.47	PRIM1: primase, polypeptide 1, 49 kDa	205053_at	Replication enzyme
16.27	2.22	DUT: dUTP pyrophosphatase	208955_at	Replication enzyme
24.75	3.04	RFC5: replication factor C (activator 1) 5, 36.5 kDa	203209_at	Replication enzyme
23.01	3.99	RFC3: replication factor C (activator 1) 3, 38 kDa	204127_at	Replication enzyme
29.46	3.21	RFC4: replication factor C (activator 1) 4, 37 kDa	204023_at	Replication enzyme
24.75	3.04	RFC5: replication factor C (activator 1) 5, 36.5 kDa	203209_at	Replication enzyme
34.87	2.91	RFC5: replication factor C (activator 1) 5, 36.5 kDa	203210_s_at	Replication enzyme
18.74	2.67	RFC2: replication factor C (activator 1) 2, 40 kDa	203696_s_at	Replication enzyme
28.46	2.67	RFC2: replication factor C (activator 1) 2, 40 kDa	1053_at	Replication enzyme
34.23	8.62	CDC6: CDC6 cell division cycle 6 homologue	203967_at	Origin factors
27.12	6.81	CDC6: CDC6 cell division cycle 6 homologue	203968_s_at	Origin factors
19.12	3.32	ORC1L: origin recognition complex, subunit 1-like	205085_at	Origin factors
32.05	3.14	MCM7	210983_s_at	Origin factors
43.96	2.7	MCM7	208795_s_at	Origin factors
36.74	4.33	MCM3	201555_at	Origin factors
22.49	5.28	CCNE2: cyclin E2	205034_at	Activation †
22.49	5.28	CCNE2: cyclin E2	205034_at	Activation †
37.96	2.64	CDK2: cyclin-dependent kinase 2	204252_at	Activation †
17.29	2.56	CDK2: cyclin-dependent kinase 2	211804_s_at	Activation †
18.73	2.35	RAD51: RAD51 homologue	205024_s_at	Repair and other
31.6	3.08	HMGA2: high-mobility group AT-hook 2	208025_s_at	Transcription factors
20.61	2.56	HMGB2: high-mobility group box 2	208808_s_at	Transcription factors
16.35	2.47	EZH2: enhancer of zeste homologue 2	203358_s_at	Transcription factors
49.24	3.72	CDC2: cell division cycle 2, G1-S and G2-M	203214_x_at	Mitotic activators ‡
49.05	3.67	CDC2: cell division cycle 2, G1-S and G2-M	210559_s_at	Mitotic activators ‡
31.86	3.63	CDC2: cell division cycle 2, G1-S and G2-M	203213_at	Mitotic activators ‡
22.18	2.34	CDC20: CDC20 cell division cycle 20 homologue	202870_s_at	Mitotic activators ‡
30.65	3.2	BUB1	215509_s_at	Mitotic activators ‡
23.72	2.85	BUB1	209642_at	Mitotic activators ‡
18.88	2.31	CCNB1: cyclin B1	214710_s_at	Mitotic activators ‡
33.5	4.06	CCNA2: cyclin A2	203418_at	Mitotic activators ‡
19.22	3.75	CCNA2: Cyclin A2	213226_at	Mitotic activators ‡
