Accession no.	Symbol	Function	Quantitative gene expression TBCs	TPCs	BPCs
U60519	CASP10	Apoptosis	?	+	++
X53586	ITGA6	Adhesion	?	+	++
U04735	STCH	Chaperone	+	++	++
L13689	BMI1	Transcription; repressor; PcG	+	++	+++
L34657	PECAM1	Adhesion	+	++	+++
U52682	IRF4	Transcription; IRF family	+	+++	+++
M31627	XBP1	Transcription; bZip family	+++	++++	++++
AB000410	OGG1	DNA glycosylase	+	?	?
D87432	SLC7A6	Solute transporter	+	?	?
J04101	ETS1	Transcription; etsfamily	+	?	?
L38820	CDID	Immunity	+	?	?
M28827	CDIC	Immunity	+	?	?
M55542	GBP1	Signaling; GTP binding	+	?	?
M81182	ABCD3	ABC transporter	+	?	?
M85085	CSTF2	mRNA cleavage stimulating factor	+	?	?
U74612	FOXM1	Transcription; fork-head family	+	?	?
U84720	RAE1	RNA export	+	?	?
V00574	HRAS	Signaling; GTP-binding protein	+	?	?
X02910	TNF	Signaling; TNF?	+	?	?
X63741	EGR3	Transcription;egr family	+	?	?
X93512	TERF2	Telomere repeat binding protein	+	?	?
Z36714	CCNF	Cell cycle; cyclin F	+	?	?
AB000409	MNK1	Signaling; kinase	+	?	+
M33308	VCL	Cytoskeleton	+	?	++
D16480	HADHA	Mitochondrial oxidation	++	?	?
M63488	RPA1	DNA replication/repair	++	?	?
U03911	MSH2	DNA repair	++	?	?
U69108	TRAF5	Signaling; TNFR-associated protein	++	?	?
X12517	SNRPC	mRNA splicing	++	?	?
X52056	SPI1	Transcription; ets family	++	?	?
X68149	BLR1	Signaling; cxc receptor	++	?	?
X74301	CIITA	Transcription; adaptor	++	?	?
X75042	REL	Transcription; rel/dorsal family	++	?	?
L00058	MYC	Transcription; bHLHZip	++	?	++
M36067	LIG1	DNA ligase	++	+	+
M82882	ELF1	Transcription; ets family	++	+	+
S76617	BLK	Signaling; kinase	++	+	+
U47414	CCNG2	Cell cycle; cyclin G	++	+	+
U61167	SH3D1B	Unknown; SH3-containing protein	++	+	+
X61587	ARHG	Signaling; Rho G	++	+	+
Z35278	RUNX3	Transcription; contains runt domain	++	+	+
U89922	LTB	Signaling; TNF-c	++++	+	+
M34458	LMNB1	Cytoskeletal matrix	+++	+	?
U90651	EED	Transcription; repression; PcG	+++	+	+
X69111	ID3	Transcription; repression; bHLH	+++	+	+
X52425	IL4R	Signaling; cytokine receptor	+++	++	?
Z35227	ARHH	Signaling; Rho H	+++	++	+
U89922	LTB	Signaling; TNF-c	++++	+	+
U05340	CDC20	Cell cycle; activator of APC	++++	++	?
X66079	SPIB	Transcription;ets family	++++	++	?
