Accession no. Genbank / Refseq	Gene symbol	Gene description	Mean M (log2) tumor / normal fold change
S78355	Ccnd1	cyclin D1	5.31
M84607	Pdgfra	platelet derived growth factor receptor, alpha	4.74
-	env	MMLV env polyprotein	4.71
-	pol	MMLV pol polyprotein	4.62
X16151	Spp1	secreted phosphoprotein 1 (osteopontin)	4.55
NM_178598	Tagln2 / Sm22b	transgelin 2	4.49
XM_133912	Ki67	antigen identified by monoclonal antibody Ki 67	4.33
X97490	Ppp1r14b	phospholipase c neighboring	4.27
AK012793	Cd9	CD9 antigen	4.26
AK012568	Hmgb2	high mobility group box 2	4.25
AB031386	1810009M01Rik	LR8 protein (Clast1)	4.21
AK019389	B2m	beta-2 microglobulin	4.08
D12513	Top2aa	topoisomerase (DNA) II alpha	4.02
AK014241	3110068G20Rik	RIKEN cDNA 3110068G20 gene	3.94
-	gag	MMLV gag polyprotein	3.89
X56824	Hmox1	heme oxygenase (decycling) 1	3.87
X61399	Mlp	MARCKS-like protein	3.8
X15666	Rrm2a	ribonucleotide reductase M2	3.69
M83749	Ccnd2	cyclin D2	3.5
AK047856	Serpine2	serine (or cysteine) proteinase inhibitor, clade E, member 2	3.31
AY101177	Sulf2	sulfatase 2	3.28
NM_026221	Ppfibp1	PTPRF interacting binding protein 1 (liprin beta 1)	3.02
AK010267	Arbp	acidic ribosomal phosphoprotein PO	2.99
AB035508	Muc18 / Mcam	melanoma cell adhesion molecule (CD146)	2.98
NM_024460	2310016E02Rik	Riken cDNA 2310016E02 gene	2.97
NM_145557	9430015G10Rik	9430015G10Rik	2.96
D16432	Cd63	Cd63 antigen	2.93
AB045313	Cdc20	cell division cycle 20 homolog	2.93
AK011871	Cdk4	cyclin-dependent kinase 4	2.89
U52826	Sdc3	syndecan 3	2.89
XM_355011	2310014H01Rik	2310014H01Rik	2.86
L39879	Ftl1	ferritin light chain 1	2.85
AB041882	Pbk / Topk	PDZ-binding kinase	2.79
AK004859	Cdc42se1	CDC42 small effector 1	2.74
NM_153599	Cdc8	cyclin-dependent kinase 8	2.73
XM_134274	Tpm4	tropomyosin 4	2.7
U08215	Hsp70-4 / Hspa14	heat shock protein 4	2.69
NM_010148	Epn2	epsin 2	2.63
NM_011803	Copeb	core promoter element binding protein	2.62
AK003175	Tpm1	tropomyosin 1, alpha	2.46
AK020692	Dbi	diazepam binding inhibitor	2.46
X62154	Mcm3	mini chromosome maintenance deficient 3	2.42
X52641	H2-Eb1	histocompatibility 2, class II antigen E beta	2.41
D86725	Mcm2	minichromosome maintenance deficient 2 mitotin	2.39
M60474	Marcks	myristoylated alanine rich protein kinase C substrate	2.37
NM_146171	Cnap1	condensin subunit 1	2.3
AK090135	Fn1	fibronectin 1	2.27
M25825	Tctex1	t-complex testis expressed 1	2.26
AB031049	Rev3l	catalytic subunit of DNA polymerase zeta RAD54-like, Rev3-like	2.25
U58633	Cdc2a	cell division cycle 2 homolog A	2.25
X57800	Pcna	proliferating cell nuclear antigen	2.25
AK032914	Eef1a1	elongation factor Tu	2.19
D86729	Hnrpa1	heterogeneous nuclear ribonucleoprotein A1	2.17
X57621	Nsep1	nuclease sensitive element binding protein 1	2.17
X66532	Lgals1	lectin, galactose binding, soluble 1 / galectin 1	2.16
AK083902	1200004M23Rik	Riken cDNA 1200004M23 gene	2.16
L06144	Plk1 / Stpk13	polo-like kinase 1	2.14
AK003880	1110020P09Rik	RIKEN cDNA 1110020P09 gene	2.12
AK077880	D11Ertd759e	DNA segment, Chr 11, ERATO Doi 759, expressed	2.08
AK007689	Rps27l	ribosomal protein S27-like	2.07
NM_213659	Stat3	signal transducer and activator of transcription 3	2
V00727	Fosa,b	FBJ osteosarcoma oncogene	1.54
