Genbank accession no.	Description	Symbol	Fold change Wild type	Fold change Mutant	Gene ontology
NM_002982	Small inducible cytokine A2	CCL2	11.05	4.98	Immune response
NM_004114	Fibroblast growth factor 13	FGF13	10.55	11.02	Signal transduction
NM_000623	Bradykinin receptor B2	BDKRB2	3.84	5.57	Chemotaxis
U35622	EWS protein/E1A enhancer binding protein chimera	ETV4	3.78	4.51	Enhancer binding
NM_002160	Hexabrachion	TNC	3.49	8.04	Cell adhesion
NM_006404	Protein C receptor, endothelial	PROCR	3.43	6.15	Inflammatory response
NM_016357	Epithelial protein lost in neoplasm ?	EPLIN	2.5	9.71	Transcription regulation from Pol II
NM_005384	Nuclear factor, interleukin 3 regulated	NFIL3	0.37	0.14	Immune response
NM_014868	Ring finger protein 10	RNF10	0.32	0.18	Cell growth and/or maintenance
NM_018459	Uncharacterized bone marrow protein BM045	BM045	0.29	0.31	Immune response
NM_001343	Disabled homologue2	DAB2	0.25	0.17	Cell proliferation
NM_004199	Procollagen-proline, 2-oxoglutarate, 4-dioxygenase ?polypeptide II	P4HA2	0.24	0.35	Protein proline hydroxylation
NM_006307	Sushi-repeat-containing, protein X chromosome	SRPX	0.24	0.12	Complement activation
NM_006622	Serum-inducible kinase	SNK	0.21	0.15	Protein phosphorylation
NM_003516	H2A histone family, member O	HIST2H2AA	0.2	0.23	Nucleosome assembly
