#Clone ID	Gene Symbol	Unigene ID	Genomic Data	Expression Data (Ratio huT78/PanT)	log2(Genomic Data)	log2(Expression Data)
hAE0347	TNFRSF4	Hs.129780		1.933		0.951
hAA8301	ISG15	Hs.833	1.464	3.295	0.55	1.72
hAB0833	AGRN	Hs.273330	1.71	1.337	0.774	0.419
hAD5579	Cab45	Hs.42806	1.19	1.193	0.251	0.254
hAD1554	SCNN1D	Hs.112842	1.29	0.833	0.367	-0.264
hAA7718	KIAA1716	Hs.21446	1.356	1.278	0.439	0.354
hAA2625	HCLA-ISO	Hs.143601	1.214	0.681	0.28	-0.554
hAC0037	FLJ22215	Hs.110443	1.168	1.348	0.224	0.43
hAB9576	HSPC182	Hs.30026	1.059		0.083
hAC5611	HSPC182	Hs.30026		0.417		-1.263
hAB9933	KIAA0447	Hs.214646	1.423	0.719	0.509	-0.476
hAC2992	MMP23B	Hs.211819	1.335	0.777	0.417	-0.363
hAB0157	FLJ13052	Hs.220324	0.882	2.875	-0.181	1.523
hAA2215	GNB1	Hs.215595	1.418	0.67	0.504	-0.579
hAA2950	GABRD	Hs.113882	1.294	1.084	0.372	0.116
hAB4807	PRKCZ	Hs.78793	1.054	2.439	0.076	1.286
hAA0163	-	Hs.78793	1.323	0.666	0.404	-0.586
hAB2891	PRKCZ	Hs.78793	1.45	1.135	0.536	0.183
hAA5067	PRKCZ	Hs.78793		1.036		0.051
hAA5925	SKI	Hs.2969	1.359	0.41	0.443	-1.286
hAA2373	SKI	Hs.2969	1.505	0.928	0.59	-0.107
hAA7085	RER1	Hs.40500		0.538		-0.896
hAE0504	PEX10	Hs.247220		1.155		0.207
hAD1293	TNFRSF14	Hs.279899	1.535	1.08	0.618	0.112
hAA0482	ARHGEF16	Hs.87435	1.05	0.675	0.07	-0.566
hAC8776	EGFL3	Hs.56186	1.482	1.209	0.568	0.274
hAB1492	-	Hs.20529	1.325	0.765	0.406	-0.386
hAA6813	KIAA0495	Hs.49658	1.439	0.498	0.525	-1.007
hAE0217	DFFB	Hs.133089	1.461	0.674	0.547	-0.57
hAA9928	MOT8	Hs.25924	1.08	1.231	0.111	0.3
hAB5954	PER3	Hs.12592		0.684		-0.548
hAB6662	DNB5	Hs.128740	1.233	0.854	0.302	-0.227
hAB3661	FLJ10737	Hs.261134	0.887	1.234	-0.173	0.303
hAD1946	-	Hs.7299	1.289	0.822	0.366	-0.284
hAD9985	HKR3	Hs.2364	1.565	1.132	0.646	0.179
hAA5004	TNFRSF12	Hs.180338	1.468	1.068	0.554	0.096
hAA0650	TNFRSF12	Hs.180338		0.842		-0.249
hAD6177	DKFZP434A196	Hs.251216	0.99	1.234	-0.014	0.303
hAA8578	HBACH	Hs.8679	1.04	9.088	0.057	3.184
hAA4895	ICMT	Hs.101077	1.521	0.918	0.605	-0.124
hAD1902	RPL22	Hs.326249	1.157	0.875	0.21	-0.192
hAC1926	KIAA0444	Hs.158291	1.636	1.77	0.71	0.823
hAA2001	KCNAB2	Hs.298184	1.325	3.065	0.406	1.616
hAC3992	ENO1	Hs.254105	1.254	14.928	0.327	3.9
hAD1106	ENO1	Hs.254105	1.379	17.429	0.464	4.123
hAC0277	SLC2A5	Hs.33084	1.254	0.809	0.327	-0.305
hAA0092	SLC2A5	Hs.33084	1.474	0.652	0.56	-0.618
hAA3115	FLJ22393	Hs.8261	1.474	1.077	0.56	0.106
hAB7270	PIK3CD	Hs.162808	1.308	2.472	0.387	1.306
hAB2863	PIK3CD	Hs.162808		3.136		1.649
hAA4900	ICAT	Hs.99816	1.033	1.356	0.047	0.44
hAA2549	UBE4B	Hs.24594	1.522	1.412	0.606	0.498
hAA6602	CORT	Hs.44205		1.366		0.45
hAA0805	DFFA	Hs.105658	1.464	1.816	0.55	0.861
hAB9896	PEX14	Hs.19851	1.561	0.886	0.642	-0.174
hAA0739	TARDBP	Hs.193989	1.39	2.156	0.475	1.109
hAB9278	MASP2	Hs.119983	1.168		0.224
hAA9180	PMSCL2	Hs.75584		1.971		0.979
hAC7759	FRAP1	Hs.338207		1.186		0.246
hAD1379	CTD6	Hs.146559	0.926	0.5	-0.111	-1.001
hAB1756	TERE1	Hs.40834	1.304	2.204	0.383	1.14
hAC2916	FBXO2	Hs.132753	1.347	0.812	0.43	-0.3
hAD9967	FBX30	Hs.321687		1.451		0.537
hAA7324	FBXO6	Hs.284226	1.91	1.132	0.934	0.178
hAA0987	CLCN6	Hs.211614	1.323	1.639	0.404	0.713
hAD1770	NPPB	Hs.219140	1.235	1.434	0.305	0.52
hAB8496	-	Hs.110906	1.682	1.424	0.75	0.51
hAA0272	PLOD	Hs.75093		0.928		-0.108
hAD1893	MFN2	Hs.3363		1.276		0.351
hAC8413	TNFRSF8	Hs.1314	0.493	10.386	-1.02	3.377
hAA7310	TNFRSF8	Hs.1314	1.375	5.895	0.459	2.56
hAA4791	KIAA0453	Hs.194737		0.265		-1.916
hAB3747	T1A-2	Hs.135150		0.817		-0.292
hAA0607	PRDM2	Hs.26719	1.089	1.09	0.123	0.124
hAE0185	PRDM2	Hs.26719	1.199	1.478	0.262	0.564
hAB6818	ELA2A	Hs.21	0.912	1.262	-0.133	0.336
hAA1916	CASP9	Hs.100641	1.057	0.718	0.08	-0.479
hAD2933	FLJ23384	Hs.127305		0.761		-0.395
hAA2778	RSC1A1	Hs.239459	1.264	1.441	0.338	0.527
hAC4730	KIAA0842	Hs.74569	1.441	0.974	0.527	-0.037
hAC3465	SHARP	Hs.184245	1.23	0.831	0.299	-0.266
hAA8053	ZNF151	Hs.33532		0.721		-0.471
hAA0058	EPHA2	Hs.171596	1.419	0.748	0.505	-0.42
hAA8033	DKFZP566C0424	Hs.226770	1.402	0.838	0.487	-0.255
hAC3506	-	Hs.325422	1.073	0.558	0.102	-0.842
hAD8603	-	Hs.325422	1.263	0.765	0.337	-0.387
hAA4738	MGC12760	Hs.333402	1.36	0.787	0.444	-0.346
hAB6859	MST1	Hs.278657	0.965	0.726	-0.051	-0.463
hAA8236	MFAP2	Hs.83551	1.528	0.787	0.612	-0.345
hAC7339	HSA9947	Hs.128866	1.557	2.121	0.639	1.084
hAA1413	SDHB	Hs.64	1.252	1.241	0.324	0.311
hAD1905	PDI2	Hs.33455	1.036	0.839	0.051	-0.253
hAD0062	FLJ10521	Hs.116385	1.525	1.114	0.609	0.156
hAB5530	-	Hs.13766	1.666	0.445	0.736	-1.167
hAC2821	KIAA0462	Hs.297641	1.03	2.814	0.043	1.493
chAA5375	LOC51154	Hs.274201	1.549	2.878	0.631	1.525
hAA1739	NBL1	Hs.76307	1.399	3.149	0.484	1.655
hAB4219	HTR6	Hs.22180	1.221	1.296	0.288	0.374
hAB0004	KIAA0459	Hs.28169	1.385		0.47
hAA0813	PLA2G5	Hs.290		0.646		-0.631
hAE1887	-	Hs.189507	1.162	0.625	0.217	-0.678
hAA7814	PRO1489	Hs.197922		1.816		0.861
hAA5578	FLJ12875	Hs.10101	1.541	1.252	0.624	0.324
hAC8138	CDA	Hs.72924	1.32	1.977	0.401	0.984
hAB0624	PINK1	Hs.6163	1.044	1.448	0.062	0.534
hAA0577	-	Hs.34789	1.359	2.541	0.443	1.346
hAA0983	EIF4G3	Hs.25732		3.4		1.766
hAA9216	ECE1	Hs.288203	1.329	2.064	0.41	1.046
hAA2257	ECE1	Hs.288203	1.462	1.072	0.548	0.1
hAC7156	FLJ11328	Hs.334477	1.001	0.88	0.001	-0.184
hAA5042	WNT4	Hs.302428	0.951	0.923	-0.072	-0.116
hAA9080	CDC42	Hs.146409	1.115	0.801	0.157	-0.321
hAD1344	WNT4	Hs.302428	1.373	1.793	0.457	0.843
hAA8551	CDC42	Hs.146409	1.38	0.762	0.465	-0.392
hAB1179	KIAA0478	Hs.4236		0.659		-0.602
hAC5740	C1QA	Hs.9641		1.25		0.322
hAA2965	-	Hs.94953	1.33	0.372	0.411	-1.426
hAB4035	EPHB2	Hs.125124	1.419	1.008	0.505	0.011
hAA2556	KIAA0601	Hs.174174	1.656	1.405	0.728	0.49
hAA4569	-	Hs.231444	1.214	1.336	0.28	0.418
hAE0274	-	Hs.231444	1.633	1.304	0.708	0.383
hAA8295	ID3	Hs.76884	1.857	2.343	0.893	1.228
hAA8888	RPL11	Hs.179943	1.181	1.236	0.24	0.306
hAA1382	TCEB3	Hs.155202	1.623	3.779	0.699	1.918
hAC1775	HT014	Hs.31819	1.335		0.417
hAB9907	LYPLA2	Hs.283655	1.456	5.25	0.542	2.392
hAA2095	GALE	Hs.76057	1.404	1.31	0.49	0.39
hAA1122	FUCA1	Hs.576	1.238	1.444	0.308	0.53
hAA1453	SMP1	Hs.107979	1.493	0.483	0.578	-1.051
hAB9884		Hs.8084	1.54	0.231	0.623	-2.112
hAA4295	P29	Hs.20013		0.68		-0.557
hAA9243	P29	Hs.20013		0.413		-1.275
hAD5460	-	Hs.44493	1.102	0.538	0.14	-0.895
