ProbeID	Ratio	REF.MACS	WT.MACS	p-value	qvalue	Accession	Symbol	geneID	UniGene	Name	Chr	Pathway
1435748_at	5.30E+00	12.7514	7.4468	3.97E-13	4.66E-09	AW911807	Gda	14544	Mm.45054	guanine deaminase	chr19 B|19 15.5 cM	Purine metabolism // KEGG
1435749_at	5.34E+00	12.8522	7.5072	3.24E-13	4.66E-09	AW911807	Gda	14544	Mm.45054	guanine deaminase	chr19 B|19 15.5 cM	Purine metabolism // KEGG
1427482_a_at	7.22E+00	12.6222	5.3977	1.35E-12	1.06E-08	X61397	Car8 /// LOC676792	12319 /// 676792	Mm.119320	carbonic anhydrase 8 /// similar to Carbonic anhyd	chr4 A1|4 7.7 cM	---
1427357_at	5.17E+00	11.8379	6.6711	5.17E-12	3.04E-08	AK008793	Cda	72269	Mm.46182	cytidine deaminase	chr4 D3	Pyrimidine metabolism // KEGG
1460259_s_at	3.48E+00	13.3057	9.8263	9.65E-12	4.54E-08	AF108501	Clca1 /// Clca2	12722 /// 80797	Mm.275745	chloride channel calcium activated 1 /// chloride	chr3 H2-H3|3 72.5 cM /// chr3 H2	---
1441962_at	5.02E+00	11.9556	6.9399	1.97E-11	7.71E-08	BB079625	Alox5	11689	Mm.41072	arachidonate 5-lipoxygenase	chr6 F1|6 53.2 cM	Eicosanoid_Synthesis // GenMAPP /// Arachidonic acid metabolism // KEGG /// Linoleic acid metabolism // KEGG
1417852_x_at	3.25E+00	13.0001	9.7455	3.03E-11	9.16E-08	AF047838	Clca1	12722	Mm.275745	chloride channel calcium activated 1	chr3 H2-H3|3 72.5 cM	---
1452324_at	2.16E+00	12.1616	9.9987	3.12E-11	9.16E-08	BE956863	Pvt1	19296	Mm.4608	plasmacytoma variant translocation 1	chr15 D2-D3|15 32.0 cM	---
1422868_s_at	4.09E+00	9.9663	5.8774	6.21E-11	1.62E-07	NM_010266	Gda	14544	Mm.45054	guanine deaminase	chr19 B|19 15.5 cM	Purine metabolism // KEGG
1427221_at	4.20E+00	12.0737	7.8779	1.22E-10	2.86E-07	AJ428067	Xtrp3s1	102680	Mm.41963	X transporter protein 3 similar 1 gene	chr9 F|9 71.0 cM	---
1417853_at	3.20E+00	10.3725	7.168	1.54E-10	3.01E-07	AF047838	Clca1	12722	Mm.275745	chloride channel calcium activated 1	chr3 H2-H3|3 72.5 cM	---
1427049_s_at	-3.52E+00	6.1546	9.6699	1.51E-10	3.01E-07	AW555326	Smo	319757	Mm.29279	smoothened homolog (Drosophila)	chr6 A3.3	GPCRDB_Other // GenMAPP /// GPCRDB_Other // GenMAPP /// GPCRDB_Other // GenMAPP
1449848_at	2.47E+00	11.2831	8.8093	2.38E-10	4.31E-07	NM_008137	Gna14	14675	Mm.313181	guanine nucleotide binding protein, alpha 14	chr19 A-B|19 9.0 cM	G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP
1419692_a_at	3.72E+00	8.7798	5.0562	3.58E-10	5.38E-07	NM_008521	Ltc4s	17001	Mm.245151	leukotriene C4 synthase	chr11 B1.1-B1.2	Eicosanoid_Synthesis // GenMAPP /// Eicosanoid_Synthesis // GenMAPP
1429064_at	2.75E+00	9.4931	6.748	3.66E-10	5.38E-07	AK013596	Dip2c	208440	Mm.217326	DIP2 disco-interacting protein 2 homolog C (Drosop	chr13 A1	---
1436155_at	3.66E+00	9.7922	6.1296	3.29E-10	5.38E-07	BB398185	Nmnat2	226518	Mm.40548	nicotinamide nucleotide adenylyltransferase 2	chr1 G3	---
1434184_s_at	-2.69E+00	5.4808	8.1667	6.41E-10	8.36E-07	BQ175905	9430080K19Rik	68120	Mm.19073	RIKEN cDNA 9430080K19 gene	---	---
1456072_at	-2.53E+00	6.5637	9.0927	6.25E-10	8.36E-07	AU067663	Ppp1r9a	243725	Mm.332901	protein phosphatase 1, regulatory (inhibitor) subu	chr6 A1|6 0.5 cM	---
1417837_at	4.12E+00	10.7554	6.6321	8.35E-10	9.89E-07	NM_009434	Phlda2	22113	Mm.334344	pleckstrin homology-like domain, family A, member	chr7 F5|7 69.5 cM	---
