Gene Symbol	Gene Description	Fold Change	Biological Process
PGA5	pepsinogen 5, group I (pepsinogen A)	51.56	unknown
MUC5B	sublingual gland mucin	20.54	cell adhesion
FCGBP	Fc fragment of IgG binding protein	7.67	binding of sperm to zona pellucida, cell adhesion
FABP1	fatty acid binding protein 1, liver	6.95	organogenesis, transport, cell-cell signaling, fatty acid metabolism
CA2	carbonic anhydrase II	6.78	nitrogen metabolism, one-carbon compound
GW112	GW112 protein (GW112)	5.25	unknown
CLU	clusterin	4.86	apoptosis, complement activation, lipid metabolism, cell death
ALDOB	aldolase B, fructose-bisphosphate	4.83	fructose metabolism, glycolysis
TM4SF4	transmembrane 4 superfamily member 4	4.67	negative regulation of cell proliferation
IGLL1	immunoglobulin lambda-like polypeptide 1	4.3	immune response
MSLN	mesothelin	3.79	cell adhesion
ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	3.56	electron transport, fatty acid beta-metabolism, fatty acid metabolism
DMWD	dystrophia myotonica-containing WD repeat motif	3.34	meiosis
CHGA	chromogranin A (parathyroid secretary protein 1)	3.02	regulation of blood pressure
DAZ4	deleted in azoospermia 4	2.88	spermatogenesis
PCSK7	proprotein convertase subtilisin/kexin type 7	2.85	peptide hormone processing, proteolysis and peptidolysis
GPA33	glycoprotein A33 (transmembrane)	2.82	unknown
COL6A1	collagen, type VI, alpha 1	2.72	phosphate transport, cell adhesion
AKR1C3	aldo-keto reductase family 1, member C3	2.69	lipid metabolism, prostaglandin metabolism, cell proliferation
CCL15	chemokine (C-C motif) ligand 15	2.69	calcium ion homeostasis, chemotaxis, cell-cell signaling, immune response
DDX19	DEAD (Asp-Glu-Ala-As) box polypeptide 19	2.65	mRNA-nucleus export
ATP2A3	ATPase, Ca++ transporting, ubiquitous	2.62	metabolism
TMSB4X	thymosin, beta 4, X chromosome	2.58	unknown
PFN1	profilin 1	2.56	cytoskeleton organization and biogenesis
S100P	S100 calcium binding protein P	2.56	unknown
REG1A	regenerating islet-derived 1 alpha	2.52	positive regulation of cell proliferation
KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	2.43	intracellular protein transport
PLEC1	plectin 1, intermediate filament binding protein, 500kD	2.42	cytoskeletal anchoring
ABHD2	abhydrolase domain containing 2	2.33	unknown
FMO5	flavin containing monooxygenase 5	2.3	electron transport
PRSS22	protease, serine, 22	2.29	proteolysis and peptidolysis
FUCA1	fucosidase, alpha-L- 1, tissue	2.27	carbohydrate metabolism, glycosaminoglycan catabolism
CCL14	chemokine (C-C motif) ligand 14	2.23	chemotaxis, immune response, signal transduction, calcium ion homeostasis, cell-cell signaling
CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	2.23	protein amino acid phosphorylation, Intracellular signaling cascade
WNT4	wingless-type MMTV integration site family, member 4	2.22	rizzled-2 signaling pathway, cell-cell signaling, development
ISG20	interferon stimulated gene 20kDa	2.22	RNA catabolism, cell proliferation, DNA catabolism, exonucleolytic
HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2	2.21	metabolism
QsCN6	quiescin Q6	2.2	negative regulation of cell proliferation, regulation of cell cycle, regulation of cell growth
ITGA3	integrin, alpha 3	2.2	integrin-mediated signaling pathway, cell-matrix adhesion
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	2.17	protein amino acid phosphorylation, intracellular signaling cascade
SLC12A2	Solute carrier family 12, member 2	2.15	chloride transport, ion transport, potassium ion  transport, sodium ion transport, amino acid transport
PXN	paxillin	2.14	signal complex formation, cell motility, cell-matrix adhesion
LGALS9	lectin, galactoside-binding, soluble, 9	2.14	positive regulation of I-kappaB kinase/NF-kappaB cascade
	CDNA clone IMAGE:4157286, partial cds	2.14	unknown
ITGB4	integrin, beta 4	2.11	integrin-mediated signaling pathway, cell-matrix adhes
RALB	V-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	2.1	protein transport, signal transduction
SIAT7F	sialytransferase 7 (-N-acetyl galactosaminide alpha-2,6-sialytransferase) F	2.1	unknown
GLRX	glutaredoxin (thioltransferase)	2.1	electron transport
RGS2	regulator of G-protein signaling 2, 24kD	2.09	cell cycle, regulation of G-protein coupled receptor protein signaling pathway, signal transduction
ITPK1	instill 1,3,4-triphosphate 5/6 kinase	2.07	signal transduction
VIPR1	vocative intestinal peptide receptor 1	2.07	positive regulation of cell proliferation, Synaptic transmission, G-protein signaling, coupled to cyclic
NR2F2	nuclear receptor subfamily 2, group F, member 2	2.06	lipid metabolism, signal transduction
POLD4	polymerase(DNA-directed), delta	2.03	DNA replication
TCN2	transcobalamin II; macrocytic anemia (TCN2), mRNA.	2.02	cobalamin transport, cobalt ion transport, ion transport, transport
ACTR3	ARP3 actin-related protein 3 homolog (yeast)	0.51	unknown
ALDH9A1	aldehyde dehydrogenase 9 family, member A1	0.5	metabolism
KLF5	kruppel-like factor 5 (intestinal)	0.5	regulation of transcription, DNA-dependent
