Gene Symbol	Gene Name	Accession Number	Fold Change
IFIT1	interferon-induced protein with tetratricopeptide repeats 1	NM_001548	0.09117
MX1	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	NM_002462	0.18045
MDA5	melanoma differentiation associated protein-5	NM_022168	0.2016
HSPA6	heat shock 70kDa protein 6 (HSP70B)	NM_002155	0.20819
RIG-I	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide	NM_014314	0.21216
TRIM22	tripartite motif-containing 22	AA083478	0.22661
G1P2	interferon, alpha-inducible protein (clone IFI-15K)	NM_005101	0.22809
OAS1	2,5-oligoadenylate synthetase 1, 40/46kDa	NM_002534	0.26107
IFI44	interferon-induced protein 44	NM_006417	0.2746
IFI27	interferon, alpha-inducible protein 27	NM_005532	0.28058
OASL	2-5-oligoadenylate synthetase-like	NM_003733	0.28894
IFIT4	interferon-induced protein with tetratricopeptide repeats 4	NM_001549	0.30546
OAS2	2-5-oligoadenylate synthetase 2, 69/71kDa	NM_016817	0.33235
FLJ20035	hypothetical protein FLJ20035	NM_017631	0.33684
CEB1	cyclin-E binding protein 1	NM_016323	0.34414
USP18	ubiquitin specific protease 18	NM_017414	0.34625
TRIM14	tripartite motif-containing 14	NM_014788	0.37021
IFITM1	interferon induced transmembrane protein 1 (9-27)	AA749101	0.39253
DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	BG252490	0.42397
SP110	SP110 nuclear body protein	AA969194	0.42548
RI58	retinoic acid- and interferon-inducible protein (58kD)	N47725	0.42724
IRF7	interferon regulatory factor 7	NM_004030	0.43228
OAS3	2-5-oligoadenylate synthetase 3, 100kDa	NM_006187	0.45127
TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	NM_003810	0.46383
STAT1	signal transducer and activator of transcription 1, 91kDa	BC002704	0.46874
FLJ38348	hypothetical protein FLJ38348	AV755522	0.48173
TRIM5	tripartite motif-containing 5	AF220028	0.49974
LAP3	leucine aminopeptidase 3	NM_015907	0.50196
IFI35	interferon-induced protein 35	BC001356	0.50389
FLJ22693	hypothetical protein FLJ22693	NM_022750	0.50852
HSPA1A	heat shock 70kDa protein 1A	NM_005345	0.52195
FLJ20073	hypothetical protein FLJ20073	NM_017654	0.52783
AQP3	aquaporin 3	N74607	0.53447
FLJ20637	hypothetical protein FLJ20637	NM_017912	0.54366
PGRMC2	progesterone receptor membrane component 2	NM_006320	0.5443
HSPA1B	heat shock 70kDa protein 1B	NM_005346	0.55049
PDK4	pyruvate dehydrogenase kinase, isoenzyme 4	NM_002612	0.55581
HIS1	HMBA-inducible	AW193511	0.55584
BCL2L13	BCL2-like 13 (apoptosis facilitator)	NM_015367	0.5583
PCTAIRE2BP	tudor repeat associator with PCTAIRE 2	AW129593	0.55974
LAMP3	lysosomal-associated membrane protein 3	NM_014398	0.5611
HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	J05594	0.56132
KIAA0342	KIAA0342 gene product	AA035414	0.56794
C14orf2	chromosome 14 open reading frame 2	NM_004894	0.57381
MAC30	hypothetical protein MAC30	BF038366	0.58161
GRB14	growth factor receptor-bound protein 14	NM_004490	0.58167
PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	Z25435	0.584
SIAT8D	sialyltransferase 8D (alpha-2, 8-polysialyltransferase)	NM_005668	0.58629
TLR3	toll-like receptor 3	NM_003265	0.5867
ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	NM_002167	0.58841
