Probe ID	Fold change (nonresponder/responder)	P, t test	Gene symbol	GenBank	Gene name
41470_at	2.839	0.0231	PROML1	AF027208	prominin-like 1
33703_f_at	2.398	0.00548	PCK1; PEPCK1; PEPCKC	L12760	phosphoenolpyruvate carboxykinase gene
40386_r_at	1.854	0.0418	TDGF3; CR-3; TDGF1; TDGF2; CRIPTO; CRIPTO-3	M96956	teratocarcinoma-derived growth factor 3
948_s_at	1.83	0.0363	PPID; CYPD; CYP-40	D63861	DNA for cyclophilin 40
38072_at	1.639	0.0223		AL031432	contains two novel genes, ESTs, GSSs and CpG islands
32225_at	1.589	0.000905		X04297	ATPase a subunit; mRNA for Na, K-ATPase a-subunit
35194_at	1.567	0.0288	GPX2	X53463	glutathione peroxidase 2 (gastrointestinal)
40487_at	1.564	0.00856	MC7	W26634	likely orthologue of mouse brain cDNA 7
32878_f_at	1.484	0.0211		AA524802	ESTs similar to H3 histone
37061_at	1.448	0.0446	CHIT1	U29615	chitinase 1
35384_at	1.427	0.0466	HRH1	Z34897	histamine receptor H1
41225_at	1.403	0.0379	DUSP3	AL049417	EST
38736_at	1.402	0.0471	WDR1	AL050108	WD repeat domain 1
32749_s_at	0.687	0.0339	FLNA; ABPX; FLN1; NHBP; ABP-280	AL050396	EST similar to Endothelial actin-binding protein
32720_at	0.681	0.00122	APG12L	AA151716	APG12 autophagy 12-like
120_at	0.677	0.00232	ITGA1; VLA1	X68742	mRNA for integrin, a subunit
32736_at	0.646	0.0065	RAC2	W68830	ras-related (rho family, small GTP binding protein Rac2)
2086_s_at	0.632	0.0112	TYRO3	D17517	TYRO3 protein tyrosine kinase
38420_at	0.63	0.0362	COL5A2	Y14690	collagen, type V, a 2
33412_at	0.622	0.03	LGALS1	AI535946	lectin, galactoside-binding, soluble, 1 (galectin 1)
40438_at	0.614	0.00524	PPP1R12A	D87930	protein phosphatase 1, regulatory (inhibitor) subunit 12A
41618_at	0.584	0.0464	COL17A1	M91669	collagen, type XVII, a 1
753_at	0.583	0.0128	NID2	D86425	nidogen 2 (osteonidogen)
36176_at	0.547	0.00877	TBCC	U61234	tubulin-specific chaperone c
36239_at	0.546	0.0335	POU2AF1	Z49194	POU domain, class 2, associating factor 1
40694_at	0.524	0.0423	KRT20	X73502	cytokeratin 20
32307_s_at	0.469	0.017	COL1A2	V00503	collagen, type I, a 2
38038_at	0.468	0.00964	LUM	U21128	lumican
37208_at	0.464	0.0182	PSPHL	AJ001612	phosphoserine phosphatase-like
658_at	0.445	0.0287	THBS2	L12350	thrombospondin 2
32488_at	0.421	0.02	COL3A1	X14420	collagen, type III, a 1
32305_at	0.42	0.00409	COL1A2	J03464	collagen, type I, a 2
32306_g_at	0.378	0.0058	COL1A2	J03464	collagen, type I, a 2
