Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0438gpr ST vs LT	4578LTSTgpr LT vs ST	4579LTSTgpr ST vs LT	5343gpr LT vs ST	5357gpr ST vs LT	5358gpr LT vs ST	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
AA165755	Tgm2	transglutaminase 2, C polypeptide	Mm.330731	21817		2		-2.3417	-2.4036	-2.5697	-2.0351	-2.0459	-2.2676	6	0.208091128	4.8055869	-5.97467599	-2.277266667	0.381153166	0.811435066
BG074617	Tgm2	transglutaminase 2, C polypeptide	Mm.330731	21817		2		-2.4223	-2.5656	-2.5559	-2.2399	-1.7349	-2.1098	6	0.211557533	4.726846565	-5.33570831	-2.2714	0.425697933	0.811435066
BF661458	Vwf	Von Willebrand factor homolog	Mm.22339	22371		6		-1.9554	-2.0203	-2.3582	-1.8014	-2.306	-1.3194	6	0.264868079	3.775464394	-4.350264654	-1.960116667	0.45057412	0.811435066
NA	NA	NA	NA		NA			-1.6102	-1.9525	-2.0412	-1.447	-1.5946	-1.3142	6	0.321488069	3.110535339	-4.031261794	-1.65995	0.411769338	0.811435066
AV093842				NA	apolipoprotein E	NA		-2.0006	-1.3255	-1.7717	-1.5784	-1.9869	-1.3289	6	0.321162575	3.113687822	-3.963127014	-1.665333333	0.420206904	0.811435066
AA177906	Slamf1	signaling lymphocytic activation molecule family member 1	Mm.103648	27218		1		-2.0735	-2.6117	-3.1767	-2.3048	-1.0919	-2.3883	6	0.229053052	4.365800806	-3.937690473	-2.274483333	0.577618619	0.811435066
AV031741				NA	aldehyde dehydrogenase 1, liver cytosolic (class 1)	NA		-2.1966	-1.9381	-2.1695	-1.7266	-0.9663	-1.6837	6	0.30444371	3.284679458	-3.703017298	-1.780133333	0.480725093	0.811435066
AV029862		Adult male cerebellum cDNA, RIKEN full-length enriched library, clone:1500009L16 product:hypothetical protein, full insert sequence	Mm.271188					-2.2504	-2.0131	-2.1013	-1.9271	-1.0678	-1.3157	6	0.305447975	3.273879952	-3.635318627	-1.779233333	0.489429818	0.811435066
BG073939	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	Mm.4514	11668		19		-2.3366	-2.5347	-2.1762	-2.0292	-0.6997	-2.0995	6	0.280973314	3.559056859	-3.519801074	-1.979316667	0.562337651	0.811435066
AU043587	Map17	membrane-associated protein 17	Mm.30181	67182		4	4 D1	-1.3245	-1.291	-1.427	-1.242	-0.9412	-1.2722	6	0.42291204	2.364557886	-3.443704195	-1.24965	0.3628796	0.811435066
