Acc. No.	Title	H:B	Category
XM_156186	Neuronal protein NP25	4.06 up	Apoptosis
NM_009864	E-cadherin	3.67 up	Cell adhesion/migration
Y00051	Neural cell adhesion molecule	4.1 up	Cell adhesion/migration
NM_011979	Vanin 3	4.05 up	Cell adhesion/migration
NM_007669	Cyclin-dependent kinase inhibitor 1A (P21)	3.95 up	Cell cycle regulator
U83902	Mitotic checkpoint component Mad2	3.83 up	Cell cycle regulator
NM_080644	Calcium channel, voltage-dependent, gamma	4.44 up	Channel
NM_013456	Actinin alpha	3.84 up	Cytoskeleton
AF175432	DNA (cytosine-5)-methyltransferase (Dnmt1)	4.89 up	Differentiation
NM_010050	Type 2 deiodinase (Dio2)	3.67 up	Differentiation
XM_111892	Butyrate response factor	3.94 up	Differentiation/growth factor
NM_008496	Lectin, galactose binding, soluble 7 (Lgals7)	4.08 up	Differentiation/growth factor
BC021425	Stanniocalcin	5.45 up	Hormone
NM_010215	Interleukin 4 induced 1 (Il4i1)	3.67 up	Immunoresponse regulator
NM_010583	IL2-inducible T-cell kinase	4.08 up	Immunoresponse regulator
NM_010511	Interferon gamma receptor 2	3.43 up	Immunoresponse regulator
BC012309	Interleukin 4 receptor, alpha	3.46 up	Immunoresponse regulator
NM_008372	Interleukin 7 receptor	3.53 up	Immunoresponse regulator
AF176913	Neurotrophin	4.61 up	Immunoresponse regulator
BC052857	Biglycan	3.75 up	Matrix proteins
NM_011178	Proteinase 3 (Prtn3)	3.32 up	Proteinase
BC006917	Pitrilysin metalloprotease 1 (Pitrm1)	4.13 up	Proteinase
BC012708	Proteasome (prosome, macropain) 26S	3.71 up	Proteinase
AK078518.1	prtse23	4.52 up	Proteinase
BC001491	Heme oxygenase (decycling) 1 (HO1)	3.43 up	Stress response
AF020185	Protein inhibitor of nitric oxide synthase (PIN)	3.78 up	Stress response
BC058258	Mitogen activated protein kinase 1 (MAPK1)	4.11 up	Stress response
AB024004	KRAB-containing zinc-finger protein KRAZ1	4.24 up	Transcription factor
U75530	PHAS-II	3.56 up	Transcription factor
NM_011378	Transcriptional regulator, SIN3 yeast A	4.24 up	Transcription factor
BC039286	Mus musculus RIKEN cDNA A430096B05	3.91 up	EST
BC021320	Mus musculus, clone IMAGE:5035544	3.93 up	EST
AC_124190	Mus musculus BAC clone RP23-267M9	3.08 up	EST
AI448386	Mus musculus cDNA clone IMAGE:560499	4.14 up	EST
AC_118686	Mus musculus chromosome 6, RP23-402P24	3.21 up	EST
AK011403	Mus musculus 10 days embryo whole cDNA, clone:2610015J01	4.55 up	EST
NM_016885	Endomucin-1	0.46 down	Anti-adhesion
BF451445	Apoptosis related protein APR-5	0.47 down	Apoptosis
NM_008197	Histone H1	0.34 down	Cell cycle regulator
AF045573	FLI-LRR associated protein-1	0.45 down	Cytoskeleton/cell migration
NM_020575	Axotrophin	0.41 down	Degeneration
NM_010185	Immunoglobulin gamma Fc receptor I	0.37 down	Immuno-response regulator
BC006904	Lactotransferrin	0.22 down	Iron transport/antibacteria
NM_133365	Axonemal dynein heavy chain 5	0.44 down	Microtubules
CF104600	Mus musculus cDNA clone IMAGE:6941421	0.36 down	EST
BC079550	Mus musculus cDNA clone IMAGE:6852953	0.45 down	EST
BB556122	Mus musculus cDNA clone E330022K08	0.45 down	EST
