Gene name	Proposed function	Accession no.	Fold decreasea	pvalueb
Cell division cycle 6 homolog (CDC6)	Regulation of cell cycle	NM_001254	-2.2	1.25E-04
Mitotic arrest deficient-like 1 (MAD1L1)	Regulation of mitosis, mitotic checkpoint	NM_003550	-2.3	7.31E-04
Neurofibromin 1 (NF1)	Cell growth and/or maintenance	NM_000267	-1.7	4.89E-04
Block of proliferation 1 (Bop1)	rRNA processing	NM_015201	-3.5	6.24E-05
Chromatin assembly factor 1, subunit A (CHAF1A)	DNA replication, cell cycle nucleosome assembly	NM_005483	-2.2	6.58E-05
Aurora-A serine/threonine kinase 6 (STK6)	Centrosome kinase, regulation of mitosis	NM_003600	-2.1	1.90E-04
Anaphase promoting complex subunit 5 (ANAPC5)	G2/M transition, cytokinesis, regulation of cell cycle	NM_016237	-1.8	6.29E-04
Lamin B receptor (LBR)	Mitotic dynamics of the nuclear envelope	NM_002296	-2.4	2.30E-04
Septin 6 (SEPT6)	Cytokinesis, cell cycle regulation	NM_015129	-2.5	3.73E-05
Cyclin J (CCNJ)	Regulation of cell cycle	NM_019084	-2	6.69E-04
Prothymosin ? (PTMA)	Regulation of cell cycle, transcription, development	NM_002823	-1.6	8.23E-04
Endothelial differentiation-related factor 1 (EDF1)	Transcriptional activation, cell growth and maintenance	NM_003792	-3.3	1.56E-05
Protein phosphatase 3 catalytic subunit B (PPP3CB)	Regulation of cell cycle	NM_202432	-2.2	1.51E-04
Zinc finger, MYND domain containing protein (ZMYND11)	Cell cycle regulation, transcriptional regulation	NM_006624	-2.2	1.52E-05
Deoxythymidylate kinase (DTYMK)	Nucleotide biosynthesis, cell cycle regulation	NM_012145	-2.1	3.20E-04
