ID	Gene Name	Gene symbol	List score†	MLD‡	Position in cluster§
AK055879	Cytochrome P450, family 3, subfamily A, polypeptide 5	CYP3A5	946	0.9472	1
AK057209	Similar to hypothetical protein FLJ23233	MGC4728	772	0.7870	2
AK057209	Similar to hypothetical protein FLJ23233	MGC4728	978	0.9335	3
AL117477	PHD finger protein 19	PHF19	574	0.8033	4
NM_007295	Breast cancer 1, early onset	BRCA1	384	0.7045	5
AK024458	Hypothetical protein LOC96597	LOC96597	349	0.7539	6
AF317549	Zinc finger protein 268	ZNF268	773	0.9014	7
X57812	Immunoglobulin lambda variable 3-21	IGLC2	908	2.0442	8
X57812	Immunoglobulin lambda variable 3-21	IGLC2	425	2.0624	9
AK001136	026D14_Homo sapiens cDNA FLJ10274 fis, clone HEMBB1001169		481	0.8403	10
BC010538	Hypothetical protein LOC339290	LOC339290	858	0.7570	11
AK024849	Poly(A) polymerase alpha	PAPOLA	472	0.7165	12
AF218032	Hypothetical protein LOC168850	LOC168850	759	0.8323	13
NM_032833	Protein phosphatase 1, regulatory (inhibitor) subunit 15B	PPP1R15B	373	0.8372	14
NM_014169	Chromatin modifying protein 4A	C14orf123	636	1.0960	15
NM_000617	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	SLC11A2	446	1.2320	16
AK057899	056O01_Homo sapiens cDNA FLJ25170 fis, clone CBR08752		351	0.9859	17
NM_032391	Small nuclear protein PRAC	PRAC	483	1.1143	18
AK023496	Ubiquitin specific protease 15	USP15	461	0.8125	19
AK021569	050H16_Homo sapiens cDNA FLJ11507 fis, clone HEMBA1002160		588	1.0462	20
AK021569	050H16_Homo sapiens cDNA FLJ11507 fis, clone HEMBA1002160		702	1.3658	21
AL049250	054L11_Homo sapiens mRNA; cDNA DKFZp564D113 (from clone DKFZp564D113)		382	0.7001	22
BC013587	Chromosome 10 open reading frame 35	C10orf35	311	0.9356	23
NM_030907	Hypothetical protein MGC10731	MGC10731	496	2.0025	24
AK021509	Chromosome 1 open reading frame 1	C1orf1	331	1.2114	25
NM_014470	Rho family GTPase 1	RND1	379	0.7356	26
NM_002046	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	370	1.3840	27
NM_007144	Polycomb group ring finger 2	PCGF2	719	1.1514	28
BC011872	FK506 binding protein 9-like	FKBP9L	529	1.1282	29
AB002323	Dynein, cytoplasmic, heavy polypeptide 1	DNCH1	802	1.2489	30
NM_015863	046J12_Surfactant protein B		489	1.2813	31
AK023770	FERM domain containing 4A	FRMD4A	546	1.0038	32
NM_001348	Death-associated protein kinase 3	DAPK3	303	0.8040	33
AL137660	WD repeat domain 60	FLJ10300	646	0.9733	34
AB033023	YEATS domain containing 2	YEATS2	527	0.7125	35
NM_004624	Vasoactive intestinal peptide receptor 1	VIPR1	471	1.1111	36
AK054962	RAB GTPase activating protein 1-like	RABGAP1L	351	0.7209	37
AK022049	WW domain containing adaptor with coiled-coil	WAC	360	1.0173	38
AK023835	Hypothetical protein FLJ20308	FLJ20308	709	0.8305	39
AL390147	Family with sequence similarity 20, member C	FAM20C	361	0.7995	40
AF304442	055K23_Homo sapiens B lymphocyte activation-related protein BC-1514 mRNA, complete cds		353	0.7101	41
NM_007220	Inactivation escape 2	CA5B	608	0.9589	42
AK025818	SLIT-ROBO Rho GTPase activating protein 2	SRGAP2	330	0.8134	43
AK024606	Leucine-rich repeats and calponin homology (CH) domain containing 1	LRCH1	331	0.7349	44
AK057045	CDNA FLJ32483 fis, clone SKNMC2001503, similar to P-SELECTIN GLYCOPROTEIN LIGAND 1 PRECURSOR		410	0.7799	45
AK022264	CDNA FLJ12202 fis, clone MAMMA1000908		330	1.1790	46
BC008842	Similar to RIKEN cDNA 1200014N16 gene	MGC14289	326	0.8777	47
AK021712	048P10_Homo sapiens cDNA FLJ11650 fis, clone HEMBA1004433		560	0.8106	48
AK021712	048P10_Homo sapiens cDNA FLJ11650 fis, clone HEMBA1004433		794	0.8756	49
BC009198	RRN3 RNA polymerase I transcription factor homolog (yeast)	RRN3	969	0.8276	50
