Name,†	Symbol	Genbank ID	Fold change‡
Protein kinase, AMP activated, ?1	PRKAG1	AA070495	4.1
v-myc homologue 1	MYCL1	R62813	5.4
Serine protease inhibitor, Kazal type 1	SPINK1	AA845156	10.1
mal, T-cell differentiation protein	MAL	AA227885	3
Transmembrane protease, serine 2	TMPRSS2	AI261741	4.3
Granulysin	GNLY	AA701652	2.4
Hypothetical protein FLJ20425	LYAR	AA063624	0.5
Ribosomal protein L3	RPL3	T67053	1.8
N-acylsphingosine amidohydrolase 1	ASAH1	AA664155	2.1
Retinoic acid receptor responder 3	RARRES3	AA449667	2.3
Regulator of G-protein signaling 16	RGS16	AA453774	2.4
Amphiregulin	AREG	AA857163	0.3
TONDU	TONDU	AA700322	2.8
ALL1-fused gene from chromosome 1q	AF1Q	AA456008	0.3
Glycine amidinotransferase	GATM	R61229	2.7
Vascular cell adhesion molecule 1	VCAM1	AU121762	1.6
Stearoyl-CoA desaturase	SCD	AA457700	1.8
CASP8 and FADD-like apoptosis regulator	CFLAR	T62048	1.8
Dual-specificity phosphatase 6	DUSP6	AA455254	0.5
Fibulin 1	FBLN1	AA134871	1.8
Acyl-CoA dehydrogenase A	ACOX1	NM_001609	2.1
Integrin, ?5	ITGB5	AA434397	0.6
msh homeobox homologue 2	MSX2	AA195636	1.8
Chemokine binding protein 2	CCBP2	R12708	1.8
