Gene Symbol	Gene Description	Average FC to Cells in Serum Medium	Unigene ID
NME4	nonmetastatic cells 4, protein expressed in	2.6	Hs.9235
INDO	indoleamine-pyrrole 2,3 dioxygenase	2.5	Hs.840
GUCA1A	guanylate cyclase activator 1A (retina)	2.4	Hs.92858
EFHC2	EF-hand domain (C-terminal)-containing 2	2.2	Hs.301143
TRO	trophinin/trophinin	2.2	Hs.434971
APOBEC3B	apolipoprotein B mRNA-editing enzyme, catalytic polypeptide-like 3B	2.2	Hs.226307
NMI	N-myc (and STAT) interactor	2.2	Hs.54483
PGAP1	GPI deacylase	2.1	Hs.528683
MEG3	maternally expressed 3	2.1	Hs.418271
—	MRNA; cDNA DKFZp586E2317 (from clone DKFZp586E2317)	2	Hs.293563
ARHGEF9	Cdc42 guanine nucleotide exchange factor (GEF) 9	2	Hs.54697
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	2	Hs.409934
PCSK9	proprotein convertase subtilisin/kexin type 9	2	Hs.18844
