Probe Set ID	Gene Symbol	Gene Title	Fold change([GFP+CD133+] vs [GFP-CD133-])	Regulation([GFP+CD133+] vs [GFP-CD133-])	Fold change([GFP-CD133+] vs [GFP-CD133-])	Regulation ([GFP-CD133+] vs [GFP-CD133-])	Fold change([GFP+CD133+] vs [GFP-CD133+])	Regulation([GFP+CD133+] vs [GFP-CD133+])
1419063_at	Ugt8a	UDP galactosyltransferase 8A	37.60308	up	1.2150745	up	30.947138	up
1440487_at	Dcc	deleted in colorectal carcinoma	24.28923	up	1.975033	up	12.298141	up
1451718_at	Plp1	proteolipid protein (myelin) 1	18.410732	up	1.1210756	down	20.639822	up
1417275_at	Mal	myelin and lymphocyte protein, T-cell differentiation protein	17.32347	up	1.7897737	down	31.005085	up
1451961_a_at	Mbp	myelin basic protein	15.758855	up	1.5409034	down	24.282873	up
1437230_at	Kcna1	potassium voltage-gated channel, shaker-related subfamily, member 1	14.608849	up	1.1433274	down	16.7027	up
1419646_a_at	Mbp	myelin basic protein	14.185416	up	1.7395049	down	24.675602	up
1418690_at	Ptprz1	protein tyrosine phosphatase, receptor type Z, polypeptide 1	12.575634	up	1.07853	up	11.659977	up
1417795_at	Chl1	cell adhesion molecule with homology to L1CAM	12.546599	up	1.4511431	down	18.206911	up
1436223_at		Transcribed locus	11.851209	up	1.9650729	down	23.288485	up
1449522_at	Unc5c	unc-5 homolog C (C. elegans)	11.483297	up	1.965707	up	5.8418155	up
1416688_at	Snap91	synaptosomal-associated protein 91	11.430029	up	1.4619212	up	7.818498	up
1455785_at	Kcna1	potassium voltage-gated channel, shaker-related subfamily, member 1	11.420105	up	1.5256448	down	17.423021	up
1436853_a_at	Snca	synuclein, alpha	11.315167	up	1.3288003	down	15.035597	up
1419064_a_at	Ugt8a	UDP galactosyltransferase 8A	11.312078	up	1.5701472	down	17.76163	up
1435190_at	Chl1	cell adhesion molecule with homology to L1CAM	11.226648	up	1.6610459	down	18.647978	up
1438883_at	Fgf5	fibroblast growth factor 5	11.193515	up	1.5115851	down	16.919947	up
1441572_at	Dcc	deleted in colorectal carcinoma	10.922832	up	1.0348573	down	11.303572	up
1460219_at	Mag	myelin-associated glycoprotein	10.4212475	up	1.1479776	down	11.96336	up
