Accession no.	UniSTS_NUM	Symbol	Name
AF071202	139336	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
S77410	89472	AGTR1	Angiotensin II receptor, type 1
AJ130733	128749	AMACR	a-methylacyl-CoA racemase
AF039918	80975	ENTPD5	Ectonucleoside triphosphate diphosphohydrolase 5
BF106962	20415	FAM3B	Chromosome 21 open reading frame 11
AI302799	68583	MIPEP	mitochondrial intermediate peptidase
NM_012342	78776	NMA	Putative transmembrane protein
AI805082	303171	OR51E2	Olfactory receptor, family 51, subfamily E, member 2
NM_021200	380812	PLEKHB1	Pleckstrin homology domain containing, family B (evectins) member 1
AF044588	344037	PRC1	Protein regulator of cytokinesis 1
AK025460	286049	PSA	Phosphoserine aminotransferase
U89281	11958	RODH	3-Hydroxysteroid epimerase
U80456	27311	SIM2	Single-minded homolog 2 (Drosophila)
AD001528	89718	SMS	Spermine synthase
L15203	82961	TFF3	Trefoil factor 3 (intestinal)
AI133467	95612	NA	ESTs
H17800	438858	NA	ESTs
AI700341	110406	NA	ESTs, Weakly similar to hypothetical protein FLJ20489  &#4;Homo sapiens]
AA743348	120591	NA	Homo sapiens cDNA FLJ35632 fis, clone SPLEN2011678.
AA206763	7991	C20orf102	Chromosome 20 open reading frame 102
AW135763	6375	HT010	Uncharacterized hypothalamus protein HT010
