Clone ID	Access. N°	Status	Symbol	Name	Function	Chrom. Loc.
269388	NM_000018	down	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	metabolism	17p13-p11
416060	NM_000045	down	ARG1	arginase, liver	metabolism	6q23
235938	NM_001188	down	BAK1	BCL2-antagonist/killer 1	apoptosis	6p21.3
232714	NM_000633	down	BCL2	B-cell CLL/lymphoma 2	apoptosis - cell growth	18q21.3
768168	NM_001718	down	BMP6	bone morphogenetic protein 6	development	6p24-p23
359250	NM_000717	down	CA4	carbonic anhydrase IV	metabolism	17q23
288874	NM_005182	down	CA7	carbonic anhydrase VII	metabolism	16q22.1
251772	NM_001791	down	CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	cell cycle	1p36.1
486510	NM_001257	down	CDH13	cadherin 13, H-cadherin (heart)	cell adhesion	16q24.2-q24.3
322452	NM_001275	down	CHGA	chromogranin A (parathyroid secretory protein 1)	cell growth - differentiation - proliferation	14q32
34260	NM_016929	down	CLIC5	chloride intracellular channel 5	transporter	6p12.1-21.1
726779	NM_001299	down	CNN1	calponin 1, basic, smooth muscle	cytoskeleton	19p13.2-p13.1
470279	NM_003632	down	CNTNAP1	contactin associated protein 1	signal transduction	17q21
324369	NM_004388	down	CTBS	chitobiase, di-N-acetyl-	metabolism	1p22
26029	NM_006565	down	CTCF	CCCTC-binding factor (zinc finger protein)	transcription factor - tumor suppressor	16q21-q22.3
261517	H98635	down	CTSB	cathepsin B	protease	8p22
342054	NM_005491	down	CXORF6	chromosome X open reading frame 6	miscellaneous	xq28
120783	AF131750	down	DDX17	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 17	RNA processing	22q13.1
153854	NM_001927	down	DES	desmin	muscle contraction	2q35
248701	NM_003836	down	DLK1	delta-like 1 homolog (Drosophila)	differentiation	14q32
46518	NM_001391	down	DTNA	dystrobrevin, alpha	signal transduction	18q12
121366	NM_001419	down	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	RNA processing	19p13.2
139789	NM_001981	down	EPS15	epidermal growth factor receptor pathway substrate 15	proliferation	1p32
25285	R17662	down	EST	EST	NA	NA
34888	R45102	down	EST	EST	NA	NA
37496	R51077	down	EST	EST	NA	NA
41857	R52706	down	EST	EST	NA	NA
53061	R16144	down	EST	EST	NA	NA
66895	T67452	down	EST	EST	NA	NA
74834	NA	down	EST	EST	NA	NA
78879	AV695494	down	EST	EST	NA	NA
108374	AL137707	down	EST	EST	NA	NA
110486	NA	down	EST	EST	NA	NA
146922	NA	down	EST	EST	NA	NA
149809	NA	down	EST	EST	NA	NA
153854	R48281	down	EST	EST	NA	NA
159903	H25061	down	EST	EST	NA	NA
165818	R86843	down	EST	EST	NA	NA
238840	H64484	down	EST	EST	NA	NA
257519	AL832111	down	EST	EST	NA	NA
279460	N48792	down	EST	EST	NA	NA
284640	NA	down	EST	EST	NA	NA
361108	AL833541	down	EST	EST	NA	NA
485742	AY010113	down	EST	EST	NA	NA
489950	D86985	down	EST	EST	NA	NA
813755	AK090754	down	EST	EST	NA	NA
869440	NA	down	EST	EST	NA	NA
1500894	AA887547	down	EST	EST	NA	NA
1591384	AA976262	down	EST	EST	NA	NA
2106469	BC041612	down	EST	EST	NA	NA
154172	NM_003890	down	FCGBP	Fc fragment of IgG binding protein	immun system	19q13.1
146494	NM_000803	down	FOLR2	folate receptor 2 (fetal)	metabolism	11q13.3-q13.5
713218	NM_004958	down	FRAP1	FK506 binding protein 12-rapamycin associated protein 1	cell cycle	1p36.2
129757	NM_002051	down	GATA3	GATA binding protein 3	transcription factor	10p15
40567	D86973	down	GCN1L1	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	miscellaneous	12q24.2
427858	NM_005708	down	GPC6	glypican 6	cell growth control and differentation	13q32
52228	BM546462	down	GRIA1	glutamate receptor, ionotropic, AMPA 1	signal transduction	5q31.1
287843	NM_000840	down	GRM3	glutamate receptor, metabotropic 3	metabolism	7q21.1-q21.2
246170	NM_000177	down	GSN	gelsolin (amyloidosis, Finnish type)	tumor suppressor	9q33
113932	NM_000846	down	GSTA2	glutathione S-transferase A2	metabolism	6p12.1
306697	BC012182	down	HRIHFB2206	HRIHFB2206 protein	miscellaneous	16q22.1
712675	NM_005526	down	HSF1	heat shock transcription factor 1	transcription factor	8q24.3
1667886	NM_001538	down	HSF4	heat shock transcription factor 4	transcription factor	16q21
181827	H28468	down	IGHA	immunoglobulin heavy constant alpha	immun system	NA
