probeset	M	Gene Title	Gene Symbol	Ensembl	Entrez Gene	SwissProt	RefSeq Protein ID	RefSeq Transcript ID
215223_s_at	4.567727347	superoxide dismutase 2, mitochondrial	SOD2	ENSG00000112096	6648	P04179 /// Q4ZJI1 /// Q7Z7M4 /// Q7Z7M5 /// Q7Z7M6 /// Q7Z7M7 /// Q96AM7 /// Q9UG59	NP_000627.2 /// NP_001019636.1 /// NP_001019637.1	NM_000636 /// NM_001024465 /// NM_001024466
207528_s_at	3.282712965	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	SLC7A11	ENSG00000151012	23657	Q9BYH2 /// Q9UPY5	NP_055146.1	NM_014331
228186_s_at	2.593290999	R-spondin 3 homolog (Xenopus laevis)	RSPO3	ENSG00000146374	84870	Q9BXY4	NP_116173.2	NM_032784
202859_x_at	2.513341736	interleukin 8	IL8	ENSG00000169429	3576	P10145	NP_000575.1	NM_000584
202409_at	2.367207334	insulin-like growth factor 2 (somatomedin A) /// insulin- insulin-like growth factor 2	IGF2 /// INS-IGF2	ENSG00000167244	3481 /// 723961	P01344 /// Q1WM24 /// Q1WM26 /// Q7Z5I8 /// Q8N2L8 /// Q8N8U2 /// Q8WWD3 /// Q96F00	NP_000603.1 /// NP_001007140.2 /// NP_001035835.1 /// NP_001035836.1	NM_000612 /// NM_001007139 /// NM_001042376 /// NM_001042377
224507_s_at	2.305244473	hypothetical protein MGC12916 /// hypothetical protein MGC12916	MGC12916	NA	84815	NA	NA	NA
206336_at	2.300058251	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	CXCL6	NA	6372	P80162	NP_002984.1	NM_002993
242767_at	2.204522193	LIM and cysteine-rich domains 1	LMCD1	NA	29995	Q9NZU5	NP_055398.1	NM_014583
204470_at	2.19838552	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1	NA	2919	P09341	NP_001502.1	NM_001511
206943_at	2.135839871	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	TGFBR1	ENSG00000106799	7046	P36897 /// Q6IR47 /// Q706C0 /// Q706C1	NP_004603.1	NM_004612
200951_s_at	1.952915977	cyclin D2	CCND2	ENSG00000118971	894	P30279 /// Q53ER2 /// Q5U035	NP_001750.1	NM_001759
228116_at	1.918945485	Clone IMAGE:120162 mRNA sequence	NA	NA	NA	NA	NA	NA
232165_at	1.875261361	NA	NA	NA	NA	Q9NSU9	NA	NA
205010_at	1.850007337	guanine nucleotide binding protein-like 3 (nucleolar)-like	GNL3L	ENSG00000130119	54552	Q6ZRE6 /// Q9NVN8	NP_061940.1	NM_019067
1559221_at	1.816779424	Homo sapiens, clone IMAGE:5583725, mRNA	NA	NA	NA	NA	NA	NA
216841_s_at	1.770741768	superoxide dismutase 2, mitochondrial	SOD2	ENSG00000112096	6648	P04179 /// Q4ZJI1 /// Q7Z7M4 /// Q7Z7M5 /// Q7Z7M6 /// Q7Z7M7 /// Q96AM7 /// Q9UG59	NP_000627.2 /// NP_001019636.1 /// NP_001019637.1	NM_000636 /// NM_001024465 /// NM_001024466
220941_s_at	1.767225273	chromosome 21 open reading frame 91	C21orf91	ENSG00000154642	54149	Q68DA1 /// Q6IA38 /// Q96BK9 /// Q9NYK6	NP_059143.2	NM_017447
224508_at	1.74375147	hypothetical protein MGC12916 /// hypothetical protein MGC12916	MGC12916	NA	84815	NA	NA	NA
221985_at	1.739657459	kelch-like 24 (Drosophila)	KLHL24	ENSG00000114796	54800	Q6TFL4 /// Q9H620	NP_060114.2	NM_017644
206796_at	1.693245859	WNT1 inducible signaling pathway protein 1	WISP1	ENSG00000104415	8840	O95388 /// Q5JBS6 /// Q5JBS7 /// Q5JBS8	NP_003873.1 /// NP_543028.1	NM_003882 /// NM_080838
223044_at	1.671055503	solute carrier family 40 (iron-regulated transporter), member 1	SLC40A1	ENSG00000138449	30061	Q4PNE2 /// Q4PNE3 /// Q4PNE4 /// Q4PNE6 /// Q53FP6 /// Q6FI62 /// Q9NP59 /// Q9NUS1	NP_055400.1	NM_014585
203951_at	1.652746768	calponin 1, basic, smooth muscle	CNN1	ENSG00000130176	1264	P51911 /// Q53FP8	NP_001290.2	NM_001299
231504_at	1.648649513	hypothetical protein BC015395	LOC130940	ENSG00000153237	130940	Q3B7I3 /// Q3B7I4 /// Q3KR41 /// Q8NFR7 /// Q96BN5 /// Q96LM2	NP_620158.2	NM_138803
205798_at	1.635479892	interleukin 7 receptor /// interleukin 7 receptor	IL7R	ENSG00000168685	3575	P16871 /// Q6NSP4 /// Q6NWM0 /// Q6NWM1 /// Q6NWM2 /// Q6NWM3	NP_002176.2	NM_002185
241763_s_at	1.62956829	F-box protein 32	FBXO32	NA	114907	Q498Y9 /// Q969P5	NP_478136.1 /// NP_680482.1	NM_058229 /// NM_148177
1564651_at	1.621247573	hypothetical protein LOC221710	LOC221710	NA	221710	NA	XP_932702.1 /// XP_943672.1	XM_927609 /// XM_938579
228181_at	1.617844176	solute carrier family 30 (zinc transporter), member 1	SLC30A1	ENSG00000170385	7779	Q96KD7	NP_067017.2	NM_021194
202709_at	1.56597609	fibromodulin	FMOD	ENSG00000122176	2331	Q06828 /// Q12833 /// Q8IV47	NP_002014.2	NM_002023
205159_at	1.561266578	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) /// colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	CSF2RB	NA	1439	P32927 /// Q6ICE0 /// Q6NSJ8	NP_000386.1	NM_000395
243367_at	1.56125542	Transcribed locus	NA	NA	NA	NA	NA	NA
205148_s_at	1.528102477	chloride channel 4	CLCN4	ENSG00000073464	1183	P51793 /// Q4G0X3	NP_001821.1	NM_001830
211573_x_at	1.461530772	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	TGM2	NA	7052	P21980 /// Q6B838 /// Q6DKH2 /// Q9BXQ0 /// Q9H035	NP_004604.2 /// NP_945189.1	NM_004613 /// NM_198951
235442_at	1.419950939	chromosome X open reading frame 56	CXorf56	ENSG00000018610	63932	NA	NP_071384.1	NM_022101
1552508_at	1.403791149	potassium voltage-gated channel, Isk-related family, member 4	KCNE4	ENSG00000152049	23704	Q2N1I0 /// Q8WWG9	NP_542402.1	NM_080671
220407_s_at	1.395328741	transforming growth factor, beta 2	TGFB2	ENSG00000092969	7042	P61812 /// Q4VAV8 /// Q59EG9	NP_003229.1	NM_003238
229963_at	1.387424705	NGFRAP1-like 1	NGFRAP1L1	ENSG00000184515	340542	Q5H9J7	NP_001012996.1	NM_001012978
219478_at	1.385125091	WAP four-disulfide core domain 1	WFDC1	ENSG00000103175	58189	Q6ZQU8 /// Q9HC57	NP_067020.2	NM_021197
241985_at	1.384862193	junction-mediating and regulatory protein	JMY	ENSG00000152409	133746	Q8N9B5	NP_689618.2	NM_152405
211003_x_at	1.384094484	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	TGM2	NA	7052	P21980 /// Q6B838 /// Q6DKH2 /// Q9BXQ0 /// Q9H035	NP_004604.2 /// NP_945189.1	NM_004613 /// NM_198951
237145_at	1.379462346	eukaryotic translation initiation factor 2 alpha kinase 4	EIF2AK4	NA	440275	Q9P2K8	NP_001013725.2	NM_001013703
211330_s_at	1.366016528	hemochromatosis	HFE	ENSG00000010704	3077	Q17RT0 /// Q30201 /// Q6B0J5 /// Q86WL1 /// Q96KU6 /// Q9HC67 /// Q9HC69 /// Q9HC71 /// Q9HC72	NP_000401.1 /// NP_620571.1 /// NP_620572.1 /// NP_620573.1 /// NP_620574.1 /// NP_620575.1 /// NP_620576.1 /// NP_620577.1 /// NP_620578.1 /// NP_620579.1 /// NP_620580.1	NM_000410 /// NM_139002 /// NM_139003 /// NM_139004 /// NM_139005 /// NM_139006 /// NM_139007 /// NM_139008 /// NM_139009 /// NM_139010 /// NM_139011
220093_at	1.364142664	anthrax toxin receptor 1	ANTXR1	NA	84168	Q53FL1 /// Q96EC6 /// Q9H6X2	NP_060623.2 /// NP_115584.1 /// NP_444262.1	NM_018153 /// NM_032208 /// NM_053034
244280_at	1.34508118	Homo sapiens, clone IMAGE:5583725, mRNA	NA	NA	NA	NA	NA	NA
221986_s_at	1.342035286	kelch-like 24 (Drosophila)	KLHL24	ENSG00000114796	54800	Q6TFL4 /// Q9H620 /// Q9NXT9	NP_060114.2	NM_017644
232164_s_at	1.341198583	epiplakin 1	EPPK1	NA	83481	P58107 /// Q9NSU9	NP_112598.1	NM_031308
226218_at	1.325809119	MRNA; cDNA DKFZp667P0610 (from clone DKFZp667P0610)	NA	ENSG00000168685	NA	NA	NA	NA
221524_s_at	1.320063729	Ras-related GTP binding D	RRAGD	ENSG00000025039	58528	Q9NQL2	NP_067067.1	NM_021244
202626_s_at	1.31415947	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog /// v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	LYN	ENSG00000147507	4067	P07948 /// Q6NUK7	NP_002341.1	NM_002350
1559393_at	1.290406902	aldehyde dehydrogenase 1 family, member L2	ALDH1L2	NA	160428	Q3SY68 /// Q3SY69 /// Q68D62 /// Q6AI55 /// Q8N922	NP_001029345.1	NM_001034173
1564053_a_at	1.273369945	YTH domain family, member 3	YTHDF3	NA	253943	Q658Z6 /// Q7Z739 /// Q8N3V9 /// Q8NA80 /// Q96MZ5	NP_689971.3	NM_152758
1569263_at	1.270348994	Solute carrier family 16 (monocarboxylic acid transporters), member 3	SLC16A3	NA	9123	O15427 /// Q2M1P8 /// Q53G91 /// Q8WYX5	NP_001035887.1 /// NP_001035888.1 /// NP_004198.1	NM_001042422 /// NM_001042423 /// NM_004207
241710_at	1.250314293	NA	NA	ENSG00000162887	NA	NA	NA	NA
205828_at	1.249257542	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	MMP3	ENSG00000149968	4314	P08254 /// Q6GRF8	NP_002413.1	NM_002422
243772_at	1.249045609	serologically defined colon cancer antigen 8	SDCCAG8	NA	10806	Q86SQ7	NP_006633.1	NM_006642
222351_at	1.247238583	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	PPP2R1B	ENSG00000137713	5519	P30154 /// Q8NHV8	NP_002707.3 /// NP_859050.1	NM_002716 /// NM_181699
232861_at	1.244371652	pyruvate dehydrogenase phosphatase isoenzyme 2	PDP2	ENSG00000172840	57546	Q9P2J9	NP_065837.1	NM_020786
214974_x_at	1.242416849	chemokine (C-X-C motif) ligand 5	CXCL5	ENSG00000163735	6374	P42830 /// Q6I9S7	NP_002985.1	NM_002994
222379_at	1.240144285	Transcribed locus, strongly similar to NP_542402.1 potassium voltage-gated channel, Isk-related family, member 4; minimum potassium ion channel-related peptide 3; potassium voltage-gated channel subfamily E member 4; MINK-related peptide 3 [Homo sapiens]	NA	NA	NA	NA	NA	NA
231952_at	1.233266423	Hypothetical protein FLJ25715	FLJ25715	NA	284241	Q8N7E7	NP_872376.1	NM_182570
214446_at	1.222971969	elongation factor, RNA polymerase II, 2	ELL2	ENSG00000118985	22936	O00472 /// Q59FW6 /// Q7Z656	NP_036213.1	NM_012081
215785_s_at	1.222534193	cytoplasmic FMR1 interacting protein 2	CYFIP2	ENSG00000055163	26999	Q14650 /// Q53EN5 /// Q6ZP60 /// Q96F07 /// Q9H360 /// Q9NSN1 /// Q9NTK4 /// Q9ULQ2 /// Q9UN29	NP_001032409.1 /// NP_001032410.1 /// NP_055191.2	NM_001037332 /// NM_001037333 /// NM_014376
210676_x_at	1.207225074	RANBP2-like and GRIP domain containing 5 /// similar to RAN-binding protein 2-like 1 isoform 2 /// similar to RAN-binding protein 2-like 1 isoform 2	RGPD5 /// LOC653086 /// LOC653596	ENSG00000183054 /// ENSG00000169629 /// ENSG00000015568	653086 /// 653596 /// 84220	O14715 /// Q53T03 /// Q99666 /// Q9H0B2	NP_005045.2 /// NP_115636.1 /// XP_931170.1 /// XP_935417.1 /// XP_936022.1 /// XP_936038.1 /// XP_936046.1 /// XP_936049.1 /// XP_936056.1 /// XP_936061.1 /// XP_936071.1 /// XP_936080.1 /// XP_936088.1 /// XP_936097.1 /// XP_936104.1 /// XP_939729.1 /// XP_939731.1 /// XP_939734.1 /// XP_939735.1 /// XP_939737.1 /// XP_939738.1 /// XP_939740.1 /// XP_939741.1 /// XP_939743.1 /// XP_939744.1 /// XP_939746.1 /// XP_939748.1	NM_005054 /// NM_032260 /// XM_926077 /// XM_930324 /// XM_930929 /// XM_930945 /// XM_930953 /// XM_930956 /// XM_930963 /// XM_930968 /// XM_930978 /// XM_930987 /// XM_930995 /// XM_931004 /// XM_931011 /// XM_934636 /// XM_934638 /// XM_934641 /// XM_934642 /// XM_934644 /// XM_934645 /// XM_934647 /// XM_934648 /// XM_934650 /// XM_934651 /// XM_934653 /// XM_934655
207764_s_at	1.201887614	homeodomain interacting protein kinase 3	HIPK3	ENSG00000110422	10114	Q6TAR1 /// Q9H422	NP_005725.2	NM_005734
1553338_at	1.20112687	chromosome 1 open reading frame 55	C1orf55	ENSG00000143751	163859	Q6IQ49 /// Q6ZS26 /// Q8NAG7	NP_689821.2	NM_152608
1555950_a_at	1.192283653	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	CD55	ENSG00000196352	1604	P08174 /// Q14UF2 /// Q14UF3 /// Q14UF4 /// Q14UF5 /// Q14UF6 /// Q8TD11 /// Q8TD12 /// Q8TD13 /// Q8TD14	NP_000565.1	NM_000574
221477_s_at	1.189528804	hypothetical protein MGC5618	MGC5618	NA	79099	NA	NA	NA
231597_x_at	1.185620893	NA	NA	NA	NA	NA	NA	NA
235996_at	1.179093269	Ras association (RalGDS/AF-6) domain family 8	RASSF8	ENSG00000123094	11228	Q5SCI0 /// Q6IB99 /// Q8NHQ8	NP_009142.2	NM_007211
1566671_a_at	1.166502662	chromosome 21 open reading frame 124	C21orf124	ENSG00000160209	85006	Q96HW9	NP_116309.1	NM_032920
207038_at	1.155208102	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)	SLC16A6	ENSG00000108932	9120	O15403 /// Q6P1X3	NP_004685.2	NM_004694
204051_s_at	1.153486689	secreted frizzled-related protein 4	SFRP4	ENSG00000106483	6424	Q1ZYW2 /// Q6FHJ7	NP_003005.1	NM_003014
200730_s_at	1.146964751	protein tyrosine phosphatase type IVA, member 1	PTP4A1	ENSG00000112245	7803	Q93096	NP_003454.1	NM_003463
207904_s_at	1.146312016	leucyl/cystinyl aminopeptidase	LNPEP	ENSG00000113441	4012	Q59H76 /// Q7Z4C4 /// Q8N8H6 /// Q9UIQ6	NP_005566.2 /// NP_787116.2	NM_005575 /// NM_175920
209212_s_at	1.142280327	Kruppel-like factor 5 (intestinal)	KLF5	ENSG00000102554	688	Q13887 /// Q5T6X2	NP_001721.2	NM_001730
219483_s_at	1.139866868	porcupine homolog (Drosophila)	PORCN	ENSG00000102312	64840	Q96MW6 /// Q9H237	NP_073736.2 /// NP_982299.1 /// NP_982300.1 /// NP_982301.1 /// NP_982302.1	NM_022825 /// NM_203473 /// NM_203474 /// NM_203475 /// NM_203476
235821_at	1.138548774	CDNA FLJ14388 fis, clone HEMBA1002716	NA	NA	NA	NA	NA	NA
203108_at	1.137770672	G protein-coupled receptor, family C, group 5, member A	GPRC5A	ENSG00000013588	9052	Q8NFJ5	NP_003970.1	NM_003979
213668_s_at	1.13147877	SRY (sex determining region Y)-box 4	SOX4	ENSG00000124766	6659	Q06945	NP_003098.1	NM_003107
