UniGene ID	Gene title	Gene symbol	Chromosomal location
Hs.590919	ADAM metallopeptidase with thrombospondin type 1 motif, 3	ADAMTS3	chr4q13.3
Hs.620557	Ankyrin 2, neuronal	ANK2	chr4q25–q27
Hs.315369	Aquaporin 4	AQP4	chr18q11.2–q12.1
Hs.300304	Aristaless related homeobox	ARX	chrXp22.1–p21.3
Hs.524672	Achaete-scute complex-like 1 (Drosophila)	ASCL1	chr12q22–q23
Hs.34114	ATPase, Na +/K+ transporting, alpha 2 (+) polypeptide	ATP1A2	chr1q21–q23
Hs.380027	Chromosome 1 open reading frame 61	C1orf61	chr1q22
Hs.75360	Carboxypeptidase E	CPE	chr4q32.3
Hs.169047	Chondroitin sulfate proteoglycan 3 (neurocan)	CSPG3	chr19p12
Hs.45127	Chondroitin sulfate proteoglycan 5 (neuroglycan C)	CSPG5	chr3p21.3
Hs.314543	Catenin (cadherin-associated protein), delta 2	CTNND2	chr5p15.2
Hs.507755	Doublecortin and CaM kinase-like 1	DCAMKL1	chr13q13
Hs.34780	Doublecortex; lissencephaly, X-linked (doublecortin)	DCX	chrXq22.3–q23
Hs.234074	Delta-notch-like EGF repeat-containing transmembrane	DNER	chr2q36.3
Hs.82002	Endothelin receptor type B	EDNRB	chr13q22
Hs.22634	ets variant gene 1	ETV1	chr7p21.3
Hs.26770	Fatty acid binding protein 7, brain	FABP7	chr6q22–q23
Hs.506357	Family with sequence similarity 107, member A	FAM107A	chr3p21.1
Hs.528335	Family with sequence similarity 123A	FAM123A	chr13q12.13
Hs.491856	Family with sequence similarity 77, member D	FAM77D	chr8q12.3
Hs.98523	FAT tumor suppressor homolog 3 (Drosophila)	FAT3	chr11q14.3
Hs.632336	Forkhead box G1	FOXG1	chr14q12–q13
Hs.420036	Glutamate decarboxylase 1 (brain, 67kDa)	GAD1	chr2q31
Hs.134974	Growth-associated protein 43	GAP43	chr3q13.1–q13.2
Hs.65029	Growth arrest-specific 1	GAS1	chr9q21.3–q22
Hs.387995	Glycosyltransferase 25 domain containing 2	GLT25D2	chr1q25
Hs.75819	Glycoprotein M6A	GPM6A	chr4q34
Hs.495710	Glycoprotein M6B	GPM6B	chrXp22.2
Hs.32763	Glutamate receptor, ionotropic, AMPA 2	GRIA2	chr4q32–q33
Hs.385956	Heparan sulfate 6-O-sulfotransferase 2	HS6ST2	chrXq26.2
Hs.592171	Integrin, beta 8	ITGB8	chr7p15.3
Hs.445265	LIM homeobox 2	LHX2	chr9q33–q34.1
Hs.380048	Hypothetical gene supported by AK091454	LOC285382	chr3q27.2
Hs.12827	Hypothetical protein LOC645323	LOC645323	chr5q14.3
Hs.517868	Leucine-rich repeat containing 3B	LRRC3B	chr3p24
Hs.163244	Leucine-rich repeat neuronal 1	LRRN1	chr3p26.2
Hs.368281	Microtubule-associated protein 2	MAP2	chr2q34–q35
Hs.438709	Multiple EGF-like-domains 10	MEGF10	chr5q33
Hs.591101	Likely ortholog of mouse neighbor of Punc E11	NOPE	chr15q22.31
Hs.468505	Neurexin 1	NRXN1	chr2p16.3
Hs.591993	Paired box gene 6 (aniridia, keratitis)	PAX6	chr11p13
Hs.371249	Pleiotrophin (neurite growth-promoting factor 1)	PTN	chr7q33–q34
Hs.489824	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1	PTPRZ1	chr7q31.3
Hs.388827	Regulatory factor X, 4 (influences HLA class II expression)	RFX4	chr12q24
Hs.135787	sal-like 1 (Drosophila)	SALL1	chr16q12.1
Hs.511265	Sema domain, transmembrane domain (TM), cytoplasmic domain 6D	SEMA6D	chr15q21.1
Hs.132591	Solute carrier family 10 (sodium/bile acid cotransporter family), 4	SLC10A4	chr4p12
Hs.502338	Solute carrier family 1 (glial high affinity glutamate transporter), 2	SLC1A2	chr11p13–p12
Hs.481918	Solute carrier family 1 (glial high affinity glutamate transporter), 3	SLC1A3	chr5p13
Hs.432638	SRY (sex determining region Y)-box 11	SOX11	chr2p25
Hs.518438	SRY (sex determining region Y)-box 2	SOX2	chr3q26.3–q27
Hs.592098	SRY (sex determining region Y)-box 9	SOX9	chr17q24.3–q25.1
Hs.195922	Sp8 transcription factor	SP8	chr7p21.2
Hs.62886	SPARC-like 1 (mast9, hevin)	SPARCL1	chr4q22.1
Hs.303609	ST6-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	ST6GALNAC5	chr1p31.1
Hs.56145	Thymosin-like 8	TMSL8	chrXq21.33–q22.3
Hs.143250	Tenascin C (hexabrachion)	TNC	chr9q33
Hs.460789	Trinucleotide repeat containing 9	TNRC9	chr16q12.1
Hs.300701	Tubulin, beta 2B	TUBB2B	chr6p25
Hs.535724	Zic family member 1 (odd-paired homolog, Drosophila)	ZIC1	chr3q24
