HG-U133A	Gene	Localization	GenBank	Description	Function
207087_X_AT	ANK	8p21.1-p11.2	NM_020478	Ankyrin 1, erythrocytic	Hemato-specific molecules
205686_S_AT	CD86	3q21	NM_006889	CD86antigen	Hemato-specific molecules
208488_S_AT	CD35	1q32	NM_000651	Complement component (3b/4b) receptor 1	Hemato-specific molecules
204787_AT	Z39IG	Xq12-q13.3	NM_007268	Immunoglobulin superfamily protein	Hemato-specific molecules
205819_AT	MARCO	2q12-q13	NM_006770	Macrophage receptor with collagenous structure	Hemato-specific molecules
216598_S_AT	MCP1	17q11.2-q21.1	S69738	Monocyte chemotactic protein 1	Hemato-specific molecules
206407_S_AT	NCC1	17q11.2	NM_005408	Small inducible cytokine subfamily A, member 13	Hemato-specific molecules
203662_S_AT	D9S57E	9q22.3	NM_003275	Tropomodulin	Hemato-specific molecules
211434_S_AT	CKRX	3p21	AF015524	Chemokine (C-C motif) receptor-like 2	Signal transduction
221792_AT	RAB6B	3	AW118072	Member Ras oncogene family	Signal transduction
635_S_AT	PP2A	11q12	L42374	Protein phosphatase 2A B56-beta	Signal transduction
203911_AT	KREV-1	1p36.1-p35	NM_002885	RAP1, GTPase activating protein 1	Signal transduction
37117_AT	ARHGAP8	22q13.31	Z83838	Rho GTPase activating protein 8	Signal transduction
205625_S_AT	CALB1	8q21.3-q22.1	AW014927	Calbindin1	Metabolism
206085_S_AT	CTH	16	NM_001902	Cystathionase	Metabolism
220892_S_AT	PSA	9	NM_021154	Phosphoserine aminotransferase	Metabolism
210357_S_AT	FLJ20746	20	BC000669	Spermine oxidase, transcript variant 2	Metabolism
209921_AT	SLC7A11	4	AB040875	Solute carrier family 7 member 11	Transporter
206857_S_AT	FKBP1B	2p24.1	NM_004116	FK506-binding protein 1B (12.6 kD)	Unclassified
210112_AT	HPS1	10q23.1-q23.3	U96721	Hermansky-Pudlak syndrome	Unclassified
213407_AT	KIAA0931	16q22.2	AB023148	KIAA0931protein	Hypothetical proteins
