Gene	Symbol	Accession no.	Ratio (Log2)	SD	Functional Category
CD36 antigen	CD36	R09416	-2.3	0.6	Cell surface receptors/ligands
Cadherin 1 type l/e-cadherin (epithelial)†	CDH1	R89322	-3.6	0.5	Cell surface receptors/ligands
xk mRNA for membrane transport protein‡	XK	H18932	-2.3	1.1	Transporter/signal transduction
(pwd) gene†	ATP7B	H84807	-2.3	0.3	Transporter/signal transduction
Erythroid Kruppel-like factorEKLFgene	KLF1	H65733	-2.7	0.7	Transcription factors/cell cycle
-Globin (hbb)‡	HBB	N69245	-2.6	1.1	Cellular component/cytoskeleton
?-Globin	HBG1	H53258	-2.4	0.6	Cellular component/cytoskeleton
?-Globin	HBG1	H93108	-2.2	1.5	Cellular component/cytoskeleton
Hemoglobin ?-1‡	HBE1	H79533	-2.1	0.9	Cellular component/cytoskeleton
Adducinsubunit 63 kDa isoform	ADD2	R19254	-2.9	1	Cellular component/cytoskeleton
N-acetylglucosamine-6-o-sulfotransferase (glcnac6st)‡	CHST2	N80041	-2.3	0.9	Other/unknown
Cystathionine--synthase (cbs)‡	CBS	N54505	-2	1.1	Other/unknown
5-Aminolevulinate synthase 2 (alas2)‡	ALAS2	R98713	-2	1.3	Other/unknown
Follistatin‡	FST	R01927	-2.4	1.3	Other/unknown
EST similar to lphuc1 apolipoprotein c-i precursor		AI589889	-2.1	1.4	Other/unknown
Precursor of apolipoprotein ci (apo ci)‡	APOC1	H95237	-2.2	0.9	Other/unknown
Similar to ae-binding protein 2		H93462	-2.5	0.8	Other/unknown
gs3955	GS3955	R18099	-2.4	0.6	Other/unknown
