Gene symbol	Entrez ID	Chr localization	Protein functional class	Protein name
ARFGEF2	10564	20q13.13	Regulator	Brefeldin A-inhibited guanine nucleotide-exchange protein 2
CENTG1	116986	12q14.1	Regulator	Centaurin-g 1
HOXA3	3200	7p15-p14	Transcription factor	Homeobox protein Hox-A3
NCOA6	23054	20q11	Binding protein	Nuclear receptor coactivator 6
PPM1E	22843	17q22	Phosphatase	Protein phosphatase 1E
RIMS2	9699	8q22.3	Binding protein	Regulating synaptic membrane exocytosis protein 2
SLC6A3	6531	5p15.3	Transporter	Sodium-dependent dopamine transporter
SULF2	55959	20q12-q13.2	Metabolic enzyme	Extracellular sulfatase Sulf-2 precursor
TG	7038	8q24	Binding protein	Thyroglobulin precursor
THBS3	7059	1q21	Binding protein	Thrombospondin-3 precursor
ZFP64	55734	20q13.2	Binding protein	Zinc finger protein 64, isoforms 3 and 4
NA	NA	NA	Binding protein	Zinc finger protein 64, isoforms 1 and 2
ZNF569	148266	19q13.12	Binding protein	Zinc finger protein 569
