Gene description	Symbol	Accession no.	Ratio (Log2)	SD	Functional Category
CD38 antigen	T10	AA417096	-1.9	0.5	Cell surface receptors/ligands
Kell blood group protein	ECE3	H61054	-1.1	0.8	Cell surface receptors/ligands
IL-7 receptor	IL7R	N95337	-1.5	0.9	Cell surface receptors/ligands
CD24 antigen†	CD24A	R96738	-1.8	1.6	Cell surface receptors/ligands
Antigen of monoclonal antibody ki-67†	Ki-67	T72662	-1.3	0.6	Cell surface receptors/ligands
Colony-stimulating factor 2 receptor	CD131	H04648	-1.8	0.3	Cell surface receptors/ligands
T-cell receptor ti rearranged ?-chain mRNA V-J-C region†	TCG	R77295	-2.1	0.9	Cell surface receptors/ligands
CD36 antigen†	GPIV	R09416	-1.2	0.4	Cell surface receptors/ligands
Ig rearranged ? chain mRNA, V-J-C region†	HCAK1	R10121	-1.2	0.3	Cell surface receptors/ligands
High-affinity IgE receptor ? subunit (fceri)†	FCE1A	AI676097	-1.1	0.5	Cell surface receptors/ligands
Ig-related 14.1 protein†	IGL5	W73587	-1.2	0.5	Cell surface receptors/ligands
Hepatocyte growth factor (HGF)†	DFNB39	R37604	-1	0.6	Cell surface receptors/ligands
Macrophage inflammatory protein-1?/RANTES receptor†	MIP1aR	AI570752	-1.1	0.4	Cell surface receptors/ligands
Solute carrier family 11†	SLC11A2	T97261	-1.2	0.5	Transporter/signal transduction
5-Lipoxygenase activating protein (FLAP)†	FLAP	H02307	-2.1	0.8	Transporter/signal transduction
Ionotropic ATP receptor p2x5a mRNA‡	P2X5	AF070573	-1.2	0	Transporter/signal transduction
Very-long-chain acyl-CoA synthetase	ACSL1	AA417046	-1.2	0.2	Transporter/signal transduction
L-histidine decarboxylase	MGC163399	AI695885	-3.7	0.7	Transporter/signal transduction
Lymphoid enhancer-binding factor-1†	TCF1ALPHA	W81128	-1.6	0.7	Transporter/signal transduction
Cyclin PCNA	MGC8367	T82974	-1	0.1	Transcription factors/cell cycle
Cyclin B2	C-B2	AA129846	-1.3	0.3	Transcription factors/cell cycle
Erythroid Kruppel-like factor (EKLF)	KLF1	H65733	-1.6	0.3	Transcription factors/cell cycle
ESTs, weakly similar to nucleolin†	NCL	AA437223	-1.2	0.7	Transcription factors/cell cycle
Homo sapiensmyostatin (gdf8)†	MSTN	H92027	-1.1	0.6	Transcription factors/cell cycle
Pleckstrin (p47)†	P47	R05932	-1	0.4	Cellular component/cytoskeleton
Mast cell carboxypeptidase a (MC-CPA)	R-CPA	N79582	-1.9	0.4	Cellular component/cytoskeleton
Light and heavy chains of myeloperoxidase	MPO	R05801	-3.3	0.5	Cellular component/cytoskeleton
Kinesin-like 7	HKLP2	AI623136	-1.5	0.4	Cellular component/cytoskeleton
Kinesin-like 5 (mitotic kinesin-like protein 1)	MKLP1	AI288408	-1	0.2	Cellular component/cytoskeleton
kiaa0473 protein	DJC6	N38951	-1.1	0.2	Other/unknown
hspc037 protein	GINS2	H58066	-1.4	0.3	Other/unknown
kiaa0101 gene	FLJ58702	R36629	-1.6	0.4	Other/unknown
Retinol dehydrogenase homolog†	HSD17B6	AI540484	-1.7	0.5	Other/unknown
N-acetylglucosamine-6-o-sulfotransferase (glcnac6st)†	C6ST	N80041	-1.1	0.3	Other/unknown
Protein associated with glycosphingolipid microdomains†	PAG1	N50114	-1.3	0.4	Other/unknown
Hypothetical protein flj10540	FLJ10540	AI696847	-1.2	0.3	Other/unknown
zw10 interactor zwin†	ZWINT	AA292765	-1.2	0.4	Other/unknown
Factor XIII subunit a†	FI3A1	H67759	-1.4	0.6	Other/unknown
Hyaluronan receptor (rhamm)†	HMMR	AA460915	-1.5	0.8	Other/unknown
